Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Laba (Rugi) Selisih Kurs,Beban Usaha,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Others,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2020,77249868978.000000,-57456231795.000000,19793637183.000000,-12712186710.000000,-2920263512.000000,-9917050125.000000,125126927.000000,,-12712186710.000000,7081450473.000000,-2281851031.000000,152501028.000000,-2434352059.000000,,-2281851031.000000,4799599442.000000,-709387812.000000,-708407480.000000,285744485.000000,-286724817.000000,-709387812.000000,4090211630.000000,-351120379.000000,3739091251.000000,4090211630.000000,3921104270.000000,169107360.000000,4090211630.000000,3739091251.000000,3569983891.000000,169107360.000000,3739091251.000000
12M 2021,81378093670.000000,-59972711803.000000,21405381867.000000,-13460774063.000000,-3284122855.000000,-10264670346.000000,88019138.000000,,-13460774063.000000,7944607804.000000,-3140829124.000000,358178945.000000,-3499008069.000000,,-3140829124.000000,4803778680.000000,-1503209237.000000,-928795101.000000,491844226.000000,-1066258362.000000,-1503209237.000000,3300569443.000000,589499953.000000,3890069396.000000,3300569443.000000,3285859681.000000,14709762.000000,3300569443.000000,3890069396.000000,3875359634.000000,14709762.000000,3890069396.000000
12M 2022,131344565847.000000,-97650977851.000000,33693587996.000000,-16404603458.000000,-3872704076.000000,-12528134729.000000,-3764653.000000,,-16404603458.000000,17288984538.000000,-2436519552.000000,290421450.000000,-2726941002.000000,,-2436519552.000000,14852464986.000000,-2505463425.000000,-1220565972.000000,552176626.000000,-1837074079.000000,-2505463425.000000,12347001561.000000,412194261.000000,12759195822.000000,12347001561.000000,11707382178.000000,639619383.000000,12347001561.000000,12759195822.000000,12119576439.000000,639619383.000000,12759195822.000000
12M 2023,138149489212.000000,-94883677667.000000,43265811545.000000,-25901963613.000000,-3837904993.000000,-22064058620.000000,,,-25901963613.000000,17363847932.000000,-2276054492.000000,376331907.000000,-2652386399.000000,,-2276054492.000000,15087793440.000000,-969498868.000000,-2191824443.000000,1222325575.000000,,-969498868.000000,14118294572.000000,22137172.000000,14140431744.000000,14118294572.000000,13861731292.000000,256563280.000000,14118294572.000000,14140431744.000000,13883868464.000000,256563280.000000,14140431744.000000
12M 2024,107361316760.000000,-74777641123.000000,32583675637.000000,-19818486593.000000,-4667665363.000000,-15150821230.000000,,,-19818486593.000000,12765189044.000000,-1061378929.000000,2177574455.000000,-3238953384.000000,,-1061378929.000000,11703810115.000000,-1717337774.000000,-1960290244.000000,242952470.000000,,-1717337774.000000,9986472341.000000,127540385.000000,10114012726.000000,9986472341.000000,9993643481.000000,-7171140.000000,9986472341.000000,10114012726.000000,10121183866.000000,-7171140.000000,10114012726.000000
