Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2020,0.65 B,6.03,0.00,0.00,9.90 B,4.21%,8.27%,16.90%,2.91
12M 2021,0.65 B,5.06,0.00,0.00,10.38 B,2.59%,6.40%,9.07%,2.27
12M 2022,48.10 B,0.24,0.00,0.00,19.99 B,10.13%,18.46%,17.82%,6.34
12M 2023,48.10 B,0.29,0.00,0.00,20.66 B,11.96%,18.53%,16.12%,6.55
12M 2024,48.10 B,0.21,366.67,34.50,17.23 B,4.74%,6.69%,8.44%,3.94
