Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.18,389.59,0.18,389.59,57 B,28 B,85 B,80 B,149 B
12M 2009,0.54,395.53,0.54,395.53,58 B,19 B,77 B,72 B,163 B
12M 2010,0.68,398.30,0.68,398.30,125 B,5 B,130 B,94 B,131 B
12M 2011,0.51,403.68,0.51,403.68,160 B,29 B,189 B,176 B,104 B
12M 2012,0.63,406.00,0.63,406.00,212 B,24 B,236 B,231 B,84 B
12M 2013,0.55,394.06,0.55,394.06,260 B,16 B,277 B,269 B,73 B
12M 2014,0.44,395.76,0.44,395.76,263 B,9 B,272 B,263 B,88 B
12M 2015,0.28,397.82,0.28,397.82,265 B,1 B,265 B,258 B,91 B
12M 2016,0.33,404.72,0.33,404.72,269 B,,269 B,264 B,98 B
12M 2017,0.45,373.08,0.45,373.08,239 B,61 B,300 B,295 B,127 B
12M 2018,0.44,327.70,0.44,327.70,235 B,55 B,291 B,285 B,62 B
12M 2019,0.31,286.88,0.31,286.88,245 B,37 B,,280 B,76 B
12M 2020,0.35,244.41,0.35,244.41,227 B,35 B,262 B,259 B,51 B
12M 2021,0.86,226.08,0.86,226.08,231 B,41 B,272 B,269 B,71 B
12M 2022,0.57,204.22,0.57,204.22,220 B,34 B,255 B,250 B,64 B
12M 2023,0.63,175.52,0.63,175.52,244 B,7 B,251 B,244 B,4 B
12M 2024,0.99,138.02,0.99,138.02,81 B,181 B,262 B,254 B,174 B
