Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Atas Penjualan Aset Tetap,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,326182642756.000000,-265440126658.000000,60742516098.000000,-42064648327.000000,-14956967344.000000,-27107680983.000000,-42064648327.000000,18677867771.000000,-14584805483.000000,,59800776.000000,-3718817197.000000,-10896211189.000000,-29577873.000000,-14584805483.000000,4093062288.000000,-1521122566.000000,,-1521122566.000000,-1521122566.000000,2571939722.000000,,,,,2571939722.000000,2571939722.000000,,2571939722.000000,,,,
12M 2009,381140623990.000000,-317889570213.000000,63251053777.000000,-45340407628.000000,-15165908124.000000,-30174499504.000000,-45340407628.000000,17910646149.000000,-10030073971.000000,,44025186.000000,2684290946.000000,-11976326843.000000,-782063260.000000,-10030073971.000000,7880572178.000000,-1888855382.000000,,-1888855382.000000,-1888855382.000000,5991716796.000000,,,,,5991716796.000000,5991716796.000000,,5991716796.000000,,,,
12M 2010,401594186536.000000,-327568495952.000000,74025690584.000000,-58447631006.000000,-23732331474.000000,-34715299532.000000,-58447631006.000000,15578059578.000000,-11013250603.000000,,99209817.000000,666354078.000000,-10758347214.000000,-1020467284.000000,-11013250603.000000,4564808975.000000,-1770704763.000000,-2102210173.000000,331505410.000000,-1770704763.000000,2794104212.000000,,,,,2794104212.000000,2794104212.000000,,2794104212.000000,,,,
12M 2011,502186982451.000000,-413111388545.000000,89075593906.000000,-65668151854.000000,-25795807588.000000,-39872344266.000000,-65668151854.000000,23407442052.000000,-15662221420.000000,,,,-15341990065.000000,-320231355.000000,-15662221420.000000,7745220632.000000,-2320897842.000000,-1888050500.000000,-432847342.000000,-2320897842.000000,5424322790.000000,,,,5424322790.000000,5424322790.000000,5424322790.000000,,5424322790.000000,5424322790.000000,5424322790.000000,,5424322790.000000
12M 2012,598259974490.000000,-486091124682.000000,112168849808.000000,-77676600508.000000,-29814517793.000000,-47862082715.000000,-77676600508.000000,34492249300.000000,-29411373466.000000,,,,-23360909410.000000,-6050464056.000000,-29411373466.000000,5080875834.000000,-2740201815.000000,-1837052759.000000,-903149056.000000,-2740201815.000000,2340674019.000000,,,,2340674019.000000,2340674019.000000,2340674019.000000,,2340674019.000000,2340674019.000000,2340674019.000000,,2340674019.000000
12M 2013,676111070762.000000,-548113571921.000000,127997498841.000000,-93029637923.000000,-38261749407.000000,-54767888516.000000,-93029637923.000000,34967860918.000000,-48987313275.000000,,,,-29383094161.000000,-19604219114.000000,-48987313275.000000,-14019452357.000000,1979041160.000000,,1979041160.000000,1979041160.000000,-12040411197.000000,,,,-12040411197.000000,-12040411197.000000,-12040411197.000000,,-12040411197.000000,-12040411197.000000,-12040411197.000000,,-12040411197.000000
12M 2014,513547309970.000000,-410834974144.000000,102712335826.000000,-67600803949.000000,-14684564372.000000,-52916239577.000000,-67600803949.000000,35111531877.000000,-32108584808.000000,,,,-32873170855.000000,764586047.000000,-32108584808.000000,3002947069.000000,-1292356494.000000,,-1292356494.000000,-1292356494.000000,1710590575.000000,,,,1710590575.000000,1710590575.000000,1710590575.000000,,1710590575.000000,1710590575.000000,1710590575.000000,,1710590575.000000
12M 2015,452693585202.000000,-347849400201.000000,104844185001.000000,-61670777066.000000,-14350472948.000000,-47320304118.000000,-61670777066.000000,43173407935.000000,-36299718133.000000,,,,-32026697070.000000,-4273021063.000000,-36299718133.000000,6873689802.000000,-2905643494.000000,,,-2905643494.000000,3968046308.000000,1589370750.000000,1589370750.000000,1589370750.000000,5557417058.000000,3968046308.000000,3968046308.000000,,3968046308.000000,5557417058.000000,5557417058.000000,,5557417058.000000
12M 2016,411945398299.000000,-309581855172.000000,102363543127.000000,-69572599520.000000,-19415832565.000000,-50156766955.000000,-69572599520.000000,32790943607.000000,-21606865682.000000,,,,-30942898687.000000,9336033005.000000,-21606865682.000000,11184077925.000000,-4251042468.000000,-516453749.000000,-3734588719.000000,-4251042468.000000,6933035457.000000,-3892003402.000000,-3892003402.000000,-3892003402.000000,3041032055.000000,6933035457.000000,6933035457.000000,,6933035457.000000,3041032055.000000,3041032055.000000,,3041032055.000000
12M 2017,411144165006.000000,-330347656497.000000,80796508509.000000,-78326586880.000000,-26858694848.000000,-51467892032.000000,-78326586880.000000,2469921629.000000,-37068499708.000000,,,,-29955822052.000000,-7112677656.000000,-37068499708.000000,-34598578079.000000,3458019905.000000,-2281106.000000,3460301011.000000,3458019905.000000,-31140558174.000000,-775233639.000000,-775233639.000000,-775233639.000000,-31915791813.000000,-31140558174.000000,-31140558174.000000,,-31140558174.000000,-31915791813.000000,-31915791813.000000,,-31915791813.000000
