Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada:,Pemasok Dan Karyawan,Pemasok,Karyawan,Total Pemasok Dan Karyawan,Direksi,Total Pembayaran Kas Kepada:,Pembayaran:,Pajak,Beban Bunga Dan Beban Bank,Beban Bunga,Beban Bank,Total Pembayaran:,Penerimaan:,Pendapatan Bunga,Taksiran Pajak Penghasilan,Restitusi,Penjualan Aset Tidak Lancar Yang Dimiliki Untuk Dijual,Total Penerimaan:,Pendapatan (Beban) Lain-Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Dari Penjualan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Penambahan Aset Hak-Guna,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Bank Jangka Pendek,Pengurangan (Penambahan) Piutang Pihak-Pihak Berelasi – Bersih,Pengurangan Hutang Pihak Berelasi,Pembayaran Utang Lain-Lain,Pembayaran Utang Bank Jangka Panjang,Pembayaran Utang Sewa Pembiayaan,Pembayaran Liabilitas Sewa,Penerimaan Utang Lain-Lain,Penerimaan Utang Sewa Pembiayaan,Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Pendek,Kenaikan Utang Pihak-Pihak Berelasi,Kenaikan (Penurunan) Bersih Aset Lancar Lainnya,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,-9589220981.000000,334143531270.000000,,-257504643547.000000,,,-257504643547.000000,-54172084845.000000,-311676728392.000000,,-21369181531.000000,,-10355301141.000000,-528005323.000000,-32252487995.000000,,59800776.000000,,,,59800776.000000,136663360.000000,-9589220981.000000,-10867772574.000000,96000000.000000,49052892.000000,,-11012825466.000000,-10867772574.000000,20022695959.000000,25041362464.000000,481333495.000000,,,-5500000000.000000,,,,,,,,,20022695959.000000,-434297596.000000,-39718878.000000,5921588250.000000,5447571776.000000
12M 2009,12909610155.000000,380674253966.000000,,-274621501164.000000,,,-274621501164.000000,-59499308340.000000,-334120809504.000000,,-21725347540.000000,,-11467153492.000000,-546529525.000000,-33739030557.000000,,44025186.000000,,,,44025186.000000,51171064.000000,12909610155.000000,-5622788935.000000,582463565.000000,-386036778.000000,,-5819215722.000000,-5622788935.000000,-8166258535.000000,,377434085.000000,,,-7500000000.000000,,,990229785.000000,,,-2033922405.000000,,,-8166258535.000000,-879437315.000000,-7773563.000000,5447571776.000000,4560360898.000000
12M 2010,19786335831.000000,388956970702.000000,,-272734454146.000000,,,-272734454146.000000,-66173964284.000000,-338908418430.000000,,-20489142621.000000,,-10125012826.000000,-812626796.000000,-31426782243.000000,,99209817.000000,260942894.000000,,,360152711.000000,804413091.000000,19786335831.000000,-41639374259.000000,2971952750.000000,-8590685772.000000,,-36020641237.000000,-41639374259.000000,53059622494.000000,111975065833.000000,333388837.000000,,-692538184.000000,-30543750000.000000,-675292792.000000,,632000000.000000,3726875000.000000,21000000000.000000,-51957205892.000000,,-738920308.000000,53059622494.000000,31206584066.000000,-2232846.000000,4560360898.000000,35764712118.000000
12M 2011,-3527598887.000000,482999128929.000000,,-371960795880.000000,,,-371960795880.000000,-81414178338.000000,-453374974218.000000,,-17937651477.000000,,-14718739361.000000,-684755534.000000,-33341146372.000000,,147297191.000000,,,,147297191.000000,42095583.000000,-3527598887.000000,-77892964814.000000,135250000.000000,-26311395976.000000,,-51716818838.000000,-77892964814.000000,59044905428.000000,42806089659.000000,97579992.000000,,-993941601.000000,-14500000000.000000,-3123550192.000000,,385500000.000000,9466220000.000000,24837210000.000000,,,69797570.000000,59044905428.000000,-22375658273.000000,-6583304.000000,35764712118.000000,13382470541.000000
12M 2012,-14434800236.000000,573549951407.000000,,-542511446488.000000,,,-542511446488.000000,,-542511446488.000000,,-21228542472.000000,,-22850687613.000000,-595500001.000000,-44674730086.000000,,55209503.000000,,236652890.000000,,291862393.000000,-1090437462.000000,-14434800236.000000,-41584800161.000000,31000000.000000,-1219441782.000000,,-40396358379.000000,-41584800161.000000,48115895271.000000,52079391330.000000,627419994.000000,,-522166989.000000,-5000000000.000000,-6086664802.000000,,554000000.000000,5632003000.000000,162790000.000000,,,669122738.000000,48115895271.000000,-7903705126.000000,1284065.000000,13382470541.000000,5480049480.000000
12M 2013,-28721183892.000000,677462014683.000000,,-643911597250.000000,,,-643911597250.000000,,-643911597250.000000,,-32561808888.000000,,-28752204787.000000,-717708339.000000,-62031722014.000000,,50462900.000000,,,,50462900.000000,-290342211.000000,-28721183892.000000,-9531068434.000000,819500000.000000,-2110440414.000000,,-8240128020.000000,-9531068434.000000,40093311360.000000,49842680942.000000,-60870000.000000,,-291250812.000000,-4000000000.000000,-5789228794.000000,,,644558084.000000,,,,-252578060.000000,40093311360.000000,1841059034.000000,1714039.000000,5480049480.000000,7322822553.000000
12M 2014,7786642389.000000,514332075680.000000,,-443258922655.000000,,,-443258922655.000000,,-443258922655.000000,,-32143767510.000000,,-32221906487.000000,-650000000.000000,-65015673997.000000,,33087294.000000,,,,33087294.000000,1696076067.000000,7786642389.000000,-1197861190.000000,687350000.000000,-91463778.000000,,-1793747412.000000,-1197861190.000000,-4845139044.000000,3541611692.000000,,,-61832200.000000,-5000000000.000000,-3323818536.000000,,,,,,-1100000.000000,,-4845139044.000000,1743642155.000000,6509242.000000,7322822553.000000,9072973950.000000
12M 2015,16467774299.000000,504409498607.000000,,,-313919335605.000000,-125885534135.000000,-439804869740.000000,,-439804869740.000000,,-17340600362.000000,,-31381654924.000000,,-48722255286.000000,,28150366.000000,,,,28150366.000000,557250352.000000,16467774299.000000,-10576057043.000000,2862681819.000000,-385298729.000000,,-13053440133.000000,-10576057043.000000,-7532252554.000000,854735914.000000,,,-500000000.000000,-7000000000.000000,-471100968.000000,,,,,,-415887500.000000,,-7532252554.000000,-1640535298.000000,-2499695.000000,9072973950.000000,7429938957.000000
12M 2016,17977995613.000000,433961520280.000000,,-373375379967.000000,,,-373375379967.000000,,-373375379967.000000,,-13427252898.000000,,-30303644855.000000,-650000000.000000,-44380897753.000000,,20476078.000000,,,737750000.000000,758226078.000000,1014526975.000000,17977995613.000000,-11167937560.000000,190909091.000000,-113929197.000000,,-11244917454.000000,-11167937560.000000,-9921326459.000000,-1052201459.000000,,-240377486.000000,-420000000.000000,-8000000000.000000,,,-208747514.000000,,,,,,-9921326459.000000,-3111268406.000000,-2209975.000000,7429938957.000000,4316460576.000000
12M 2017,-16797834611.000000,467392962651.000000,,-445591904700.000000,,,-445591904700.000000,,-445591904700.000000,,-10944444677.000000,,-28736097722.000000,-650000000.000000,-40330542399.000000,,24242929.000000,,,978600001.000000,1002842930.000000,728806907.000000,-16797834611.000000,-16348462234.000000,335300000.000000,,,-16683762234.000000,-16348462234.000000,34437790522.000000,11560972124.000000,,23680000000.000000,-355196602.000000,,,,-447985000.000000,,,,,,34437790522.000000,1291493677.000000,1004346.000000,4316460576.000000,5608958599.000000
12M 2018,29060369596.000000,568156597313.000000,,-502965720372.000000,,,-502965720372.000000,,-502965720372.000000,,-11889507038.000000,,-27410965756.000000,-262500000.000000,-39562972794.000000,,29083323.000000,,,1061000000.000000,1090083323.000000,2342382126.000000,29060369596.000000,-14906117224.000000,226500000.000000,,,-15132617224.000000,-14906117224.000000,-14540989951.000000,-8109005415.000000,,-760000000.000000,-223077036.000000,-5000000000.000000,,,-448907500.000000,,,,,,-14540989951.000000,-386737579.000000,3184691.000000,5608958599.000000,5225405711.000000
12M 2019,18147515192.000000,645724565644.000000,,-578413761045.000000,,,-578413761045.000000,,-578413761045.000000,,-18552081977.000000,,-25539380569.000000,-578750000.000000,-44670212546.000000,,29008584.000000,,,1089900000.000000,1118908584.000000,-5611985445.000000,18147515192.000000,-13666969288.000000,,,,-13666969288.000000,-13666969288.000000,-6906489035.000000,4951886287.000000,,-7700000000.000000,-264015336.000000,-5000000000.000000,,,1105640014.000000,,,,,,-6906489035.000000,-2425943131.000000,-9073764.000000,5225405711.000000,2790388816.000000
12M 2020,30879382236.000000,598426094158.000000,,-537955706740.000000,,,-537955706740.000000,,-537955706740.000000,,-18540152585.000000,,-15762718395.000000,-615000000.000000,-34917870980.000000,,29130560.000000,,,5519150000.000000,5548280560.000000,-221414762.000000,30879382236.000000,-6424652998.000000,188100000.000000,-47913372.000000,,-6564839626.000000,-6424652998.000000,-23799106063.000000,,,-7880000000.000000,-541588587.000000,,-630000000.000000,,,,,-14747517476.000000,,,-23799106063.000000,655623175.000000,-5766536.000000,2790388816.000000,3440245455.000000
12M 2021,-6098636403.000000,626764182841.000000,,-597975052934.000000,,,-597975052934.000000,,-597975052934.000000,,-19455196645.000000,,-16674683246.000000,-540000000.000000,-36669879891.000000,,29830348.000000,,,1506430800.000000,1536261148.000000,245852433.000000,-6098636403.000000,-3946436729.000000,650000000.000000,-817862500.000000,,-3778574229.000000,-3946436729.000000,8978541982.000000,,,,-746376204.000000,-2400000000.000000,-630000000.000000,,,,,12754918186.000000,,,8978541982.000000,-1066531150.000000,-6374165.000000,3440245455.000000,2367340140.000000
