Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Piutang Lain-Lain,Pihak Ketiga,Total Piutang Lain-Lain,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Lain Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Beban Akrual,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Jangka Panjang Dari Pihak Berelasi,Utang Lain Jangka Panjang,Pihak Ketiga,Pihak Berelasi,Total Utang Lain Jangka Panjang,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,5447571776.000000,87611210976.000000,83417298887.000000,4193912089.000000,87611210976.000000,398064232.000000,,,398064232.000000,165065501820.000000,1472110207.000000,259994459011.000000,,717587922.000000,,,,166689422871.000000,,132676734145.000000,300083744938.000000,560078203949.000000,,,110549090076.000000,49656871017.000000,40135957099.000000,2892987459.000000,,,2892987459.000000,,,7500000000.000000,,,7500000000.000000,10363274501.000000,110549090076.000000,56619326875.000000,,,28000000000.000000,,,,,,,,28000000000.000000,25042064614.000000,3577262261.000000,56619326875.000000,167168416951.000000,,504258834500.000000,,-111349047502.000000,,392909786998.000000,560078203949.000000,1008517669.000000
12M 2009,,,4560360898.000000,107281104569.000000,103014743030.000000,4266361539.000000,107281104569.000000,163869166.000000,,,163869166.000000,140553149655.000000,1747859026.000000,254306343314.000000,,701258486.000000,,,,161251671834.000000,,124254446861.000000,286207377181.000000,540513720495.000000,,,91336492731.000000,47622948612.000000,19599359840.000000,2892987459.000000,,,2892987459.000000,,,9500000000.000000,,702334968.000000,10202334968.000000,11018861852.000000,91336492731.000000,50275723970.000000,,,18500000000.000000,,361104649.000000,287894817.000000,,,287894817.000000,,19148999466.000000,26930919996.000000,4195804508.000000,50275723970.000000,141612216701.000000,,504258834500.000000,,-105357330706.000000,,398901503794.000000,540513720495.000000,1008517669.000000
12M 2010,,,35764712118.000000,134980125305.000000,129633196266.000000,5346929039.000000,134980125305.000000,227760874.000000,,,227760874.000000,129888308252.000000,2036764267.000000,302897670816.000000,,6765000.000000,,,,183886160793.000000,,122129506908.000000,306022432701.000000,608920103517.000000,,,171870176880.000000,107640808553.000000,37317033152.000000,1212564137.000000,,,1212564137.000000,,,14465000000.000000,1578418524.000000,929691601.000000,16973110125.000000,8726660913.000000,171870176880.000000,35354318631.000000,,,3991250000.000000,1473163684.000000,,,,,,,5464413684.000000,26599414586.000000,3290490361.000000,35354318631.000000,207224495511.000000,,504258834500.000000,,-102563226494.000000,,401695608006.000000,608920103517.000000,1008517669.000000
12M 2011,,,13382470541.000000,166227897971.000000,160044871815.000000,6183026156.000000,166227897971.000000,582561934.000000,,,582561934.000000,135274768179.000000,7595690338.000000,323063388963.000000,,69000000.000000,,,,229799514619.000000,,132963715744.000000,362832230363.000000,685895619326.000000,,,218702472895.000000,150388773212.000000,48192034947.000000,207717325.000000,,,207717325.000000,,,4978750000.000000,4616685413.000000,321250000.000000,9916685413.000000,9997261998.000000,218702472895.000000,60073215635.000000,,,23787210000.000000,4777566603.000000,159814992.000000,,,,,,28724591595.000000,27032261928.000000,4316362112.000000,60073215635.000000,278775688530.000000,,504258834500.000000,,-97138903704.000000,,407119930796.000000,685895619326.000000,1008517669.000000
12M 2012,,,5480049480.000000,201861759567.000000,194833470056.000000,7028289511.000000,201861759567.000000,860464695.000000,,,860464695.000000,221482919161.000000,2527837191.000000,432213030094.000000,,69130000.000000,,,,274266729051.000000,,108604136190.000000,382939995241.000000,815153025335.000000,,,348710206692.000000,202374414542.000000,124406103941.000000,324309158.000000,,,324309158.000000,,,3991918103.000000,5619992727.000000,291250800.000000,9903161630.000000,11702217421.000000,348710206692.000000,56982213828.000000,,,19959590517.000000,3319597487.000000,787364986.000000,61832212.000000,,,61832212.000000,,24128385202.000000,27935410984.000000,4918417642.000000,56982213828.000000,405692420520.000000,,504258834500.000000,,-94798229685.000000,,409460604815.000000,815153025335.000000,1008517669.000000
12M 2013,,,7322822553.000000,228519632552.000000,219434249411.000000,9085383141.000000,228519632552.000000,966920788.000000,,,966920788.000000,210044497976.000000,2656533677.000000,449510407546.000000,,,,,,280320061937.000000,,92359037394.000000,372679099331.000000,822189506877.000000,,,376618147965.000000,252123345484.000000,100475757227.000000,,202390960.000000,505870000.000000,708260960.000000,,,4987068965.000000,3300047298.000000,61832200.000000,8348948463.000000,14961835831.000000,376618147965.000000,48151165294.000000,,,14977370690.000000,494872206.000000,657364986.000000,,,,,,16129607882.000000,25956369824.000000,6065187588.000000,48151165294.000000,424769313259.000000,,504258834500.000000,,-106838640882.000000,,397420193618.000000,822189506877.000000,1008517669.000000
12M 2014,,,9072973950.000000,249978404590.000000,248385887660.000000,1592516930.000000,249978404590.000000,454986915.000000,,,454986915.000000,194645138281.000000,959879024.000000,455111382760.000000,,,,,,264086403130.000000,,89694452454.000000,353780855584.000000,808892238344.000000,,,366938314354.000000,255664957176.000000,85873476629.000000,,1010854940.000000,1055520000.000000,2066374940.000000,,,6987068966.000000,454574776.000000,,7441643742.000000,15891861867.000000,366938314354.000000,42823139797.000000,,,7990301724.000000,16526192.000000,656264986.000000,,,,,,8663092902.000000,27248726319.000000,6911320576.000000,42823139797.000000,409761454151.000000,,504258834500.000000,,-105128050307.000000,,399130784193.000000,808892238344.000000,1008517669.000000
12M 2015,,,7429938957.000000,241723792912.000000,240695549896.000000,1028243016.000000,241723792912.000000,383976159.000000,,,383976159.000000,190669843103.000000,2276568147.000000,442484119278.000000,,,,,,261750620000.000000,,88858773322.000000,350609393322.000000,793093512600.000000,,,351301587089.000000,256519693090.000000,54371859564.000000,,685436073.000000,1619364800.000000,2304800873.000000,,,7990301724.000000,,420000000.000000,8410301724.000000,29694931838.000000,351301587089.000000,40580088002.000000,,,,,240377486.000000,280000000.000000,,,280000000.000000,,520377486.000000,29525372149.000000,10534338367.000000,40580088002.000000,391881675091.000000,,504258834500.000000,,-101232033804.000000,-1814963187.000000,401211837509.000000,793093512600.000000,1008517669.000000
12M 2016,,,4316460576.000000,259804167760.000000,258773387062.000000,1030780698.000000,259804167760.000000,754917594.000000,546170080.000000,208747514.000000,754917594.000000,196262291376.000000,1373902566.000000,462511739872.000000,,,,,,261611696096.000000,,86241388754.000000,347853084850.000000,810364824722.000000,,,364348673440.000000,268482529142.000000,57600459505.000000,,667253563.000000,1472464804.000000,2139718367.000000,,,,,280000000.000000,280000000.000000,35845966426.000000,364348673440.000000,37844031718.000000,,,,,,,,,,,,31962626401.000000,5881405317.000000,37844031718.000000,402192705158.000000,,504258834500.000000,3919250000.000000,,-100005964936.000000,408172119564.000000,810364824722.000000,1008517669.000000
12M 2017,,,5608958599.000000,237968647525.000000,236926202097.000000,1042445428.000000,237968647525.000000,1471255050.000000,814522536.000000,656732514.000000,1471255050.000000,240133535437.000000,1960412710.000000,487142809321.000000,,,,,,262152976679.000000,,85252588286.000000,347405564965.000000,834548374286.000000,,,360471900688.000000,230137675627.000000,57521110748.000000,,1473675996.000000,1709434059.000000,3183110055.000000,,4145607120.000000,4990582564.000000,,100262136.000000,9236451820.000000,60393552438.000000,360471900688.000000,97820145847.000000,,,44915243075.000000,,15787603431.000000,125327662.000000,,,125327662.000000,,60828174168.000000,28243914177.000000,8748057502.000000,97820145847.000000,458292046535.000000,,504258834500.000000,3919250000.000000,,-131921756749.000000,376256327751.000000,834548374286.000000,1008517669.000000
