Period,Arus Kas Dari Aktivitas Operasi,"Penerimaan Bunga, Provisi Dan Komisi",Penerimaan Pendapatan Operasional Lainnya,Penerimaan Pendapatan (Pembayaran Beban) Non Operasional,Pembayaran Bunga,Pembayaran Beban Operasional Lainnya,Pembayaran Gaji Dan Tunjangan Karyawan,Pembayaran Pajak Penghasilan,Perubahan Aset Dan Liabilitas Yang Digunakan Untuk Operasi:,Efek-Efek,Efek-Efek Yang Diperdagangkan,Efek-Efek Yang Dibeli Dengan Janji Dijual Kembali,Total Efek-Efek,Giro Pada Bank Lain,Penempatan Pada Bank Lain,Kredit Yang Diberikan,Tagihan Akseptasi,Tagihan Derivatif,Tagihan Transaksi Perdagangan,Tagihan Anjak Piutang,Biaya Dibayar Di Muka,Aktiva Pajak Tangguhan,Aset Lain-Lain,Agunan Yang Diambil Alih,Liabilitas Segera,Simpanan,Simpanan Pada Bank Lain,Efek-Efek Yang Dijual Dengan Janji Dibeli Kembali,Utang Pajak,Liabilitas Akseptasi,Liabilitas Repo,Liabilitas Derivatif,Liabilitas Imbalan Pasca Kerja,Liabilitas Lain-Lain,Total Perubahan Aset Dan Liabilitas Yang Digunakan Untuk Operasi:,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Efek-Efek,Perolehan Aset Tetap,Perolehan Aset Hak Guna,Penambahan Aset Tidak Berwujud,Penerimaan Efek-Efek Yang Telah Jatuh Tempo,Penerimaan Dari Penjualan Efek-Efek Tersedia Untuk Dijual,Hasil Penjualan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Modal Disetor,Pembayaran Liabilitas Sewa,Penerimaan Dari Penawaran Umum Terbatas I (Put I),Biaya Emisi Dari Penawaran Umum Terbatas I (Put I),Penerimaan Dari Penawaran Umum Terbatas Ii (Put Ii),Penerimaan Dari Penawaran Umum Terbatas Iii (Put Iii),Penerimaan Dari Penawaran Umum Terbatas I (Put Iv),Biaya Emisi Dari Penawaran Umum Terbatas I (Put Iv),Biaya Emisi Dari Penawaran Umum Terbatas,Agio,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2012,138330000000.000000,151761000000.000000,10104000000.000000,,-93299000000.000000,-31479000000.000000,-19034000000.000000,-4818000000.000000,,,,22211000000.000000,22211000000.000000,,,35547000000.000000,,,,,863000000.000000,,1379000000.000000,8829000000.000000,1019000000.000000,45884000000.000000,6913000000.000000,,1206000000.000000,,,,,1244000000.000000,125095000000.000000,138330000000.000000,-1044000000.000000,,-1144000000.000000,,,,,100000000.000000,-1044000000.000000,,,,,,,,,,,,,137286000000.000000,209770000000.000000,,347056000000.000000
12M 2013,-150260000000.000000,143176000000.000000,3830000000.000000,,-86988000000.000000,-25042000000.000000,-22279000000.000000,-3034000000.000000,,,,-43546000000.000000,-43546000000.000000,,,30813000000.000000,,,,,149000000.000000,,-1293000000.000000,75000000.000000,676000000.000000,-144710000000.000000,-985000000.000000,,-1246000000.000000,,,,,144000000.000000,-159923000000.000000,-150260000000.000000,-323000000.000000,,-389000000.000000,,,,,66000000.000000,-323000000.000000,30000000000.000000,30000000000.000000,,,,,,,,,,30000000000.000000,-120583000000.000000,347056000000.000000,49000000.000000,226522000000.000000
12M 2014,123579000000.000000,180253000000.000000,3176000000.000000,,-107154000000.000000,-27091000000.000000,-25241000000.000000,-5257000000.000000,,,,-106945000000.000000,-106945000000.000000,,,-201266000000.000000,,,,,-1641000000.000000,,1502000000.000000,,-162000000.000000,443340000000.000000,-31126000000.000000,,1186000000.000000,,,,,5000000.000000,104893000000.000000,123579000000.000000,2001000000.000000,,-421000000.000000,,,,,2422000000.000000,2001000000.000000,117492000000.000000,117492000000.000000,,,,,,,,,,117492000000.000000,243072000000.000000,226522000000.000000,,469594000000.000000
12M 2015,-98670000000.000000,222158000000.000000,3485000000.000000,,-150470000000.000000,-32890000000.000000,-26556000000.000000,-3918000000.000000,,,,-18639000000.000000,-18639000000.000000,,,-204117000000.000000,,,,,-1150000000.000000,,-332000000.000000,,41000000.000000,107850000000.000000,3742000000.000000,,-86000000.000000,,,,,2212000000.000000,-110479000000.000000,-98670000000.000000,-80170000000.000000,-401183000000.000000,-3090000000.000000,,,323958000000.000000,,145000000.000000,-80170000000.000000,,,,,,,,,,,,,-178840000000.000000,469594000000.000000,,290754000000.000000
12M 2016,256998000000.000000,241384000000.000000,6202000000.000000,,-138631000000.000000,-26507000000.000000,-37816000000.000000,-4927000000.000000,,,,27738000000.000000,27738000000.000000,,,77713000000.000000,,,,,-718000000.000000,,-1653000000.000000,,-313000000.000000,66670000000.000000,49795000000.000000,,-99000000.000000,,,,,-1840000000.000000,217293000000.000000,256998000000.000000,-361946000000.000000,-641882000000.000000,-1666000000.000000,,-292000000.000000,240680000000.000000,41214000000.000000,,-361946000000.000000,146088000000.000000,,,150000000000.000000,-3912000000.000000,,,,,,,146088000000.000000,41140000000.000000,290754000000.000000,,331894000000.000000
12M 2017,-209484000000.000000,225556000000.000000,8681000000.000000,,-122067000000.000000,-37997000000.000000,-43800000000.000000,-2988000000.000000,,,,-147872000000.000000,-147872000000.000000,,,-117380000000.000000,,,,,-3332000000.000000,,-2898000000.000000,,796000000.000000,92384000000.000000,-58095000000.000000,,7000000.000000,,,,,-479000000.000000,-236869000000.000000,-209484000000.000000,-240278000000.000000,-753253000000.000000,-7033000000.000000,,,430000000000.000000,90000000000.000000,8000000.000000,-240278000000.000000,695370000000.000000,,,703050000000.000000,,-7680000000.000000,,,,,,695370000000.000000,245608000000.000000,331894000000.000000,,577502000000.000000
12M 2018,505896000000.000000,277137000000.000000,8513000000.000000,,-136064000000.000000,-41458000000.000000,-55742000000.000000,-6492000000.000000,,,,99433000000.000000,99433000000.000000,,,-360498000000.000000,,,,,-658000000.000000,,-2217000000.000000,,-464000000.000000,645887000000.000000,75836000000.000000,,817000000.000000,,,,,1866000000.000000,460002000000.000000,505896000000.000000,-30803000000.000000,-659258000000.000000,-9276000000.000000,,,615185000000.000000,22510000000.000000,36000000.000000,-30803000000.000000,,,,,,,,,,,,,475093000000.000000,577502000000.000000,,1052595000000.000000
12M 2019,415100000000.000000,354027000000.000000,20131000000.000000,,-198843000000.000000,-51984000000.000000,-71712000000.000000,-7466000000.000000,,,,-254878000000.000000,-254878000000.000000,,,-762139000000.000000,,,,,-525000000.000000,,-6761000000.000000,,455000000.000000,1463530000000.000000,-71588000000.000000,,2091000000.000000,,,,,762000000.000000,370947000000.000000,415100000000.000000,-403698000000.000000,-765372000000.000000,-9360000000.000000,,,341000000000.000000,30000000000.000000,34000000.000000,-403698000000.000000,,,,,,,,,,,,,11402000000.000000,1052595000000.000000,,1063997000000.000000
12M 2020,2269456000000.000000,402572000000.000000,72279000000.000000,,-257210000000.000000,-45690000000.000000,-79216000000.000000,-2614000000.000000,,,,-456811000000.000000,-456811000000.000000,,,-487572000000.000000,,,,,3573000000.000000,,-194000000.000000,,2217000000.000000,3101778000000.000000,8573000000.000000,,746000000.000000,,,,,7025000000.000000,2179335000000.000000,2269456000000.000000,-1224925000000.000000,-3914342000000.000000,-22037000000.000000,-14229000000.000000,,752221000000.000000,1972485000000.000000,977000000.000000,-1224925000000.000000,-16409000000.000000,,-16409000000.000000,,,,,,,,,-16409000000.000000,1028122000000.000000,1063997000000.000000,,2092119000000.000000
12M 2021,3434690000000.000000,738657000000.000000,21544000000.000000,,-455515000000.000000,-57117000000.000000,-104541000000.000000,-19358000000.000000,,,-295539000000.000000,-894045000000.000000,-1189584000000.000000,,,-793792000000.000000,-31332000000.000000,-310000000.000000,,,-6694000000.000000,,-127769000000.000000,,5211000000.000000,5397496000000.000000,10206000000.000000,,5144000000.000000,31332000000.000000,,302000000.000000,,10810000000.000000,3311020000000.000000,3434690000000.000000,-1506126000000.000000,-12624709000000.000000,-16748000000.000000,-9173000000.000000,,317000000000.000000,10827503000000.000000,1000000.000000,-1506126000000.000000,1166050000000.000000,,-18052000000.000000,,,,1187419000000.000000,,,-3317000000.000000,,1166050000000.000000,3094614000000.000000,2092119000000.000000,,5186733000000.000000
