Period,Total Pendapatan,Pendapatan Bunga,Total Pendapatan,Total Beban Pokok Penjualan,Beban Bunga,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Others,Total Laba (Rugi) Selisih Kurs,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Non-Operasional,Beban Non-Operasional,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2012,152350000000.000000,152350000000.000000,152350000000.000000,-96511000000.000000,-96511000000.000000,-96511000000.000000,55839000000.000000,-37927000000.000000,-2135000000.000000,-2135000000.000000,-37927000000.000000,-37927000000.000000,17912000000.000000,,,,,17912000000.000000,-4784000000.000000,-4818000000.000000,34000000.000000,-4784000000.000000,13128000000.000000,-57000000.000000,-57000000.000000,-57000000.000000,13071000000.000000,13128000000.000000,13128000000.000000,,13128000000.000000,13071000000.000000,13071000000.000000,,13071000000.000000
12M 2013,143443000000.000000,143443000000.000000,143443000000.000000,-86590000000.000000,-86590000000.000000,-86590000000.000000,56853000000.000000,-45833000000.000000,-28000000.000000,-28000000.000000,-45833000000.000000,-45833000000.000000,11020000000.000000,,,,,11020000000.000000,-3196000000.000000,-3234000000.000000,38000000.000000,-3196000000.000000,7824000000.000000,-1548000000.000000,-1548000000.000000,-1548000000.000000,6276000000.000000,7824000000.000000,7824000000.000000,,7824000000.000000,6276000000.000000,6276000000.000000,,6276000000.000000
12M 2014,182446000000.000000,182446000000.000000,182446000000.000000,-110507000000.000000,-110507000000.000000,-110507000000.000000,71939000000.000000,-51297000000.000000,,,-51297000000.000000,-51297000000.000000,20642000000.000000,,,,,20642000000.000000,-5300000000.000000,-5339000000.000000,39000000.000000,-5300000000.000000,15342000000.000000,-254000000.000000,-254000000.000000,-254000000.000000,15088000000.000000,15342000000.000000,15342000000.000000,,15342000000.000000,15088000000.000000,15088000000.000000,,15088000000.000000
12M 2015,225040000000.000000,225040000000.000000,225040000000.000000,-148700000000.000000,-148700000000.000000,-148700000000.000000,76340000000.000000,-55035000000.000000,,,-55035000000.000000,-55035000000.000000,21305000000.000000,,,,,21305000000.000000,-4428000000.000000,,,-4428000000.000000,16877000000.000000,470000000.000000,470000000.000000,470000000.000000,17347000000.000000,16877000000.000000,16877000000.000000,,16877000000.000000,17347000000.000000,17347000000.000000,,17347000000.000000
12M 2016,241686000000.000000,241686000000.000000,241686000000.000000,-137995000000.000000,-137995000000.000000,-137995000000.000000,103691000000.000000,-80820000000.000000,,,-80820000000.000000,-80820000000.000000,22871000000.000000,,,,,22871000000.000000,-4635000000.000000,,,-4635000000.000000,18236000000.000000,-1051000000.000000,-1051000000.000000,-1051000000.000000,17185000000.000000,18236000000.000000,18236000000.000000,,18236000000.000000,17185000000.000000,17185000000.000000,,17185000000.000000
12M 2017,248101000000.000000,248101000000.000000,248101000000.000000,-122588000000.000000,-122588000000.000000,-122588000000.000000,125513000000.000000,-101307000000.000000,,,-101307000000.000000,-101307000000.000000,24206000000.000000,,,,,24206000000.000000,-5866000000.000000,,,-5866000000.000000,18340000000.000000,7769000000.000000,7769000000.000000,7769000000.000000,26109000000.000000,18340000000.000000,18340000000.000000,,18340000000.000000,26109000000.000000,26109000000.000000,,26109000000.000000
12M 2018,280188000000.000000,280188000000.000000,280188000000.000000,-137605000000.000000,-137605000000.000000,-137605000000.000000,142583000000.000000,-125648000000.000000,,,-125648000000.000000,-125648000000.000000,16935000000.000000,,,,,16935000000.000000,-5540000000.000000,,,-5540000000.000000,11395000000.000000,-7527000000.000000,-7527000000.000000,-7527000000.000000,3868000000.000000,11395000000.000000,11395000000.000000,,11395000000.000000,3868000000.000000,3868000000.000000,,3868000000.000000
12M 2019,353519000000.000000,353519000000.000000,353519000000.000000,-203573000000.000000,-203573000000.000000,-203573000000.000000,149946000000.000000,-140006000000.000000,,,-140006000000.000000,-140006000000.000000,9940000000.000000,,,,,9940000000.000000,-2825000000.000000,,,-2825000000.000000,7115000000.000000,5929000000.000000,5929000000.000000,5929000000.000000,13044000000.000000,7115000000.000000,7115000000.000000,,7115000000.000000,13044000000.000000,13044000000.000000,,13044000000.000000
12M 2020,430256000000.000000,430256000000.000000,430256000000.000000,-261553000000.000000,-261553000000.000000,-261553000000.000000,168703000000.000000,-140082000000.000000,,,-140082000000.000000,-140082000000.000000,28621000000.000000,,,,,28621000000.000000,-9245000000.000000,,,-9245000000.000000,19376000000.000000,41845000000.000000,41845000000.000000,41845000000.000000,61221000000.000000,19376000000.000000,19376000000.000000,,19376000000.000000,61221000000.000000,61221000000.000000,,61221000000.000000
12M 2021,673334000000.000000,673334000000.000000,673334000000.000000,-461747000000.000000,-461747000000.000000,-461747000000.000000,211587000000.000000,-161410000000.000000,,,-161410000000.000000,-161410000000.000000,50177000000.000000,,,,,50177000000.000000,-10429000000.000000,,,-10429000000.000000,39748000000.000000,-67319000000.000000,-67319000000.000000,-67319000000.000000,-27571000000.000000,39748000000.000000,39748000000.000000,,39748000000.000000,-27571000000.000000,-27571000000.000000,,-27571000000.000000
12M 2022,1172750000000.000000,1172750000000.000000,1172750000000.000000,-613873000000.000000,-613873000000.000000,-613873000000.000000,558877000000.000000,-356024000000.000000,,,-356024000000.000000,-356024000000.000000,202853000000.000000,,,,,202853000000.000000,-45805000000.000000,,,-45805000000.000000,157048000000.000000,-37343000000.000000,-37343000000.000000,-37343000000.000000,119705000000.000000,157048000000.000000,157048000000.000000,,157048000000.000000,119705000000.000000,119705000000.000000,,119705000000.000000
12M 2023,1726605000000.000000,1726605000000.000000,1726605000000.000000,-1016631000000.000000,-1016631000000.000000,-1016631000000.000000,709974000000.000000,-442443000000.000000,,,-442443000000.000000,-442443000000.000000,267531000000.000000,,,,,267531000000.000000,-59655000000.000000,,,-59655000000.000000,207876000000.000000,60194000000.000000,60194000000.000000,60194000000.000000,268070000000.000000,207876000000.000000,207876000000.000000,,207876000000.000000,268070000000.000000,268070000000.000000,,268070000000.000000
12M 2024,1889119000000.000000,1889119000000.000000,1889119000000.000000,-1176059000000.000000,-1176059000000.000000,-1176059000000.000000,713060000000.000000,-605597000000.000000,,,-605597000000.000000,-605597000000.000000,107463000000.000000,,,,,107463000000.000000,-25615000000.000000,,,-25615000000.000000,81848000000.000000,-25032000000.000000,-25032000000.000000,-25032000000.000000,56816000000.000000,81848000000.000000,81848000000.000000,,81848000000.000000,56816000000.000000,56816000000.000000,,56816000000.000000
