Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2012,,,,,,,,,,,,,,,0.0
12M 2013,,,,,,,,,53.09,161.9,0.1,0.2,,,0.0
12M 2014,,,,,,,,,130.65,176.96,0.11,0.1,,,0.0
12M 2015,,,,,,,,,108.09,73.67,0.11,0.11,,,0.0
12M 2016,,,,,,,,,72.4,67.11,0.11,0.1,,,0.0
12M 2017,,,,,,,,,39.81,40.64,0.09,0.08,,,0.0
12M 2018,,,,,,,,,20.25,20.78,0.08,0.07,,,0.0
12M 2019,,,,,,,,,17.31,23.17,0.08,0.07,,,0.0
12M 2020,,,,,,,,,7.34,6.66,0.06,0.06,,,0.0
12M 2021,,,,,,,,,7.27,10.18,0.06,0.05,,,0.0
12M 2022,,,,,,,,,12.2,14.59,0.07,0.06,,,0.0
12M 2023,,,,,,,,,15.48,17.28,0.08,0.07,,,0.0
12M 2024,,,,,,,,,10.52,8.91,0.08,0.08,,,0.0
