Period,Aset,Kas Dan Setara Kas,Giro Pada Bank Indonesia,Penempatan Pada Bank Indonesia Dan Bank Lain,Pinjaman Yang Diberikan,Pihak Berelasi,Pihak Ketiga,Others,Total Pinjaman Yang Diberikan,Aset Tetap,Aset Tetap,Others,Total Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Segera,Simpanan Nasabah,Pihak Berelasi,Pihak Ketiga,Total Simpanan Nasabah,Simpanan Dari Bank Lain,Utang Pajak,Beban Akrual,Liabilitas Derivatif,Liabilitas Pajak Tangguhan,Adjustment,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2012,,14745000000.000000,104301000000.000000,227943000000.000000,,226915000000.000000,856636000000.000000,-1838000000.000000,1081713000000.000000,,14964000000.000000,-11332000000.000000,3632000000.000000,412000000.000000,79459000000.000000,1512205000000.000000,,,648000000.000000,1327811000000.000000,75772000000.000000,1252039000000.000000,1327811000000.000000,40716000000.000000,3464000000.000000,3865000000.000000,,,,1726000000.000000,1378230000000.000000,,128000000000.000000,,5994000000.000000,1920000000.000000,4074000000.000000,5994000000.000000,-19000000.000000,133975000000.000000,1512205000000.000000,128000000.000000
12M 2013,,13981000000.000000,88865000000.000000,123180000000.000000,,45688000000.000000,1006380000000.000000,-1001000000.000000,1051067000000.000000,,13611000000.000000,-11839000000.000000,1772000000.000000,450000000.000000,122856000000.000000,1402171000000.000000,,,1324000000.000000,1183101000000.000000,68398000000.000000,1114703000000.000000,1183101000000.000000,39729000000.000000,2418000000.000000,3467000000.000000,,,,1881000000.000000,1231920000000.000000,,158000000000.000000,,13818000000.000000,2735000000.000000,11083000000.000000,13818000000.000000,-1567000000.000000,170251000000.000000,1402171000000.000000,1580000000.000000
12M 2014,,11598000000.000000,126736000000.000000,331147000000.000000,,51389000000.000000,1201361000000.000000,-3582000000.000000,1249168000000.000000,,10152000000.000000,-9131000000.000000,1021000000.000000,489000000.000000,231428000000.000000,1951587000000.000000,,,1162000000.000000,1626441000000.000000,185107000000.000000,1441334000000.000000,1626441000000.000000,8603000000.000000,3686000000.000000,6820000000.000000,,,,2044000000.000000,1648756000000.000000,,210000000000.000000,65492000000.000000,29160000000.000000,4300000000.000000,24860000000.000000,29160000000.000000,-1821000000.000000,302831000000.000000,1951587000000.000000,2100000000.000000
12M 2015,,13476000000.000000,125021000000.000000,122492000000.000000,,96864000000.000000,1359130000000.000000,-1976000000.000000,1454018000000.000000,,3143000000.000000,,3143000000.000000,926000000.000000,362447000000.000000,2081523000000.000000,,,1203000000.000000,1734291000000.000000,108168000000.000000,1626123000000.000000,1734291000000.000000,12345000000.000000,3847000000.000000,,,,,10405000000.000000,1762091000000.000000,,210000000000.000000,65492000000.000000,45260000000.000000,7368000000.000000,37892000000.000000,45260000000.000000,-1320000000.000000,319432000000.000000,2081523000000.000000,2100000000.000000
12M 2016,,16641000000.000000,129101000000.000000,185987000000.000000,,73978000000.000000,1304175000000.000000,-21675000000.000000,1356478000000.000000,,3533000000.000000,,3533000000.000000,1765000000.000000,665584000000.000000,2359089000000.000000,,,890000000.000000,1800961000000.000000,165773000000.000000,1635188000000.000000,1800961000000.000000,62140000000.000000,3946000000.000000,,,,,8447000000.000000,1876384000000.000000,,272500000000.000000,149080000000.000000,63496000000.000000,10744000000.000000,52752000000.000000,63496000000.000000,-2371000000.000000,482705000000.000000,2359089000000.000000,2725000000.000000
12M 2017,,37198000000.000000,140590000000.000000,398981000000.000000,,126456000000.000000,1343096000000.000000,-40514000000.000000,1429038000000.000000,8932000000.000000,,,8932000000.000000,,1108606000000.000000,3123345000000.000000,,,1686000000.000000,1893345000000.000000,167449000000.000000,1725896000000.000000,1893345000000.000000,4045000000.000000,7330000000.000000,,,325000000.000000,,12430000000.000000,1919161000000.000000,,272500000000.000000,844450000000.000000,81836000000.000000,14391000000.000000,67445000000.000000,81836000000.000000,5398000000.000000,1204184000000.000000,3123345000000.000000,2725000000.000000
12M 2018,,101971000000.000000,153197000000.000000,796368000000.000000,,116288000000.000000,1642808000000.000000,-34482000000.000000,1724614000000.000000,18741000000.000000,,,18741000000.000000,4118000000.000000,1055165000000.000000,3854174000000.000000,,,1222000000.000000,2539232000000.000000,131036000000.000000,2408196000000.000000,2539232000000.000000,79881000000.000000,9128000000.000000,,,,,16659000000.000000,2646122000000.000000,,272500000000.000000,844450000000.000000,93231000000.000000,18059000000.000000,75172000000.000000,93231000000.000000,-2129000000.000000,1208052000000.000000,3854174000000.000000,2725000000.000000
12M 2019,,153218000000.000000,300834000000.000000,609087000000.000000,,9311000000.000000,2509902000000.000000,-59192000000.000000,2460021000000.000000,22108000000.000000,,,22108000000.000000,2357000000.000000,1714804000000.000000,5262429000000.000000,,,1677000000.000000,4002762000000.000000,344982000000.000000,3657780000000.000000,4002762000000.000000,8293000000.000000,6794000000.000000,,,,,21807000000.000000,4041333000000.000000,,272500000000.000000,844450000000.000000,100346000000.000000,20338000000.000000,80008000000.000000,100346000000.000000,3800000000.000000,1221096000000.000000,5262429000000.000000,2725000000.000000
12M 2020,,80069000000.000000,157741000000.000000,1742189000000.000000,,220539000000.000000,2710909000000.000000,-103598000000.000000,2827850000000.000000,95139000000.000000,,,95139000000.000000,2199000000.000000,3532498000000.000000,8437685000000.000000,,,3894000000.000000,7104540000000.000000,1111722000000.000000,5992818000000.000000,7104540000000.000000,16866000000.000000,16642000000.000000,,,,,78599000000.000000,7220541000000.000000,,565438000000.000000,551512000000.000000,54518000000.000000,21761000000.000000,32757000000.000000,54518000000.000000,45676000000.000000,1217144000000.000000,8437685000000.000000,5654375000.000000
12M 2021,,81103000000.000000,1638794000000.000000,3249029000000.000000,,164746000000.000000,3544589000000.000000,-143179000000.000000,3566156000000.000000,90187000000.000000,,,90187000000.000000,32073000000.000000,6398508000000.000000,15055850000000.000000,,,9105000000.000000,12502036000000.000000,4330066000000.000000,8171970000000.000000,12502036000000.000000,27072000000.000000,25141000000.000000,,302000000.000000,,,118519000000.000000,12682175000000.000000,,565438000000.000000,1735614000000.000000,94266000000.000000,25636000000.000000,68630000000.000000,94266000000.000000,-21643000000.000000,2373675000000.000000,15055850000000.000000,5654375000.000000
