Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2021,1 B,(0 B),1 B,850560.59
12M 2022,2 B,(10 B),(8 B),-7537220.90
12M 2023,15 B,(15 B),(1 B),-1721.34
12M 2024,10 B,(12 B),(2 B),-1.14
