Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Adjustment,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Adjustment,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2021,4394293000.000000,-1331566878.000000,3062726122.000000,-2233550237.000000,-2233550237.000000,,-2233550237.000000,829175885.000000,-2585406.000000,5053456.000000,-14863549.000000,,7224687.000000,-2585406.000000,826590479.000000,-94606911.000000,-86791234.000000,-7815677.000000,-94606911.000000,731983568.000000,,731983568.000000,40267622.000000,772251190.000000,731983568.000000,731983568.000000,,731983568.000000,772251190.000000,772251190.000000,,772251190.000000
12M 2022,6619094117.000000,-1821292500.000000,4797801617.000000,-3378230805.000000,-3378230805.000000,,-3378230805.000000,1419570812.000000,-408536482.000000,7882763.000000,-417697516.000000,,1278271.000000,-408536482.000000,1011034330.000000,-142771704.000000,-152054755.000000,9283051.000000,-142771704.000000,868262626.000000,,868262626.000000,2219059.000000,870481685.000000,868262626.000000,868262626.000000,,868262626.000000,870481685.000000,870481685.000000,,870481685.000000
12M 2023,50011558103.000000,-11350886980.000000,38660671123.000000,-26456867506.000000,-26456867506.000000,,-26456867506.000000,12203803617.000000,-694748832.000000,190963002.000000,-1091041909.000000,,205330075.000000,-694748832.000000,11509054785.000000,-1426094852.000000,-1497693180.000000,71598328.000000,-1426094852.000000,10082959933.000000,-9023932616.000000,1059027317.000000,8400529.000000,1067427846.000000,1059027317.000000,1059027317.000000,,1059027317.000000,1067427846.000000,1067427846.000000,,1067427846.000000
12M 2024,57507282241.000000,-13383116870.000000,44124165371.000000,-33260492958.000000,-33260492958.000000,,-33260492958.000000,10863672413.000000,-192938515.000000,104999650.000000,-1330896265.000000,,1032958100.000000,-192938515.000000,10670733898.000000,-1554000180.000000,-1640933431.000000,86933251.000000,-1554000180.000000,9116733718.000000,,9116733718.000000,150121913.000000,9266855631.000000,9116733718.000000,9113873962.000000,2859756.000000,9116733718.000000,9266855631.000000,9264067572.000000,2788059.000000,9266855631.000000
