Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Berelasi,Total Piutang Lain-Lain,Aset Pajak Tangguhan,Aset Tetap,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Lain-Lain,Pihak Berelasi,Total Utang Lain-Lain,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2021,,,1897879894.000000,,,,,,,,1897879894.000000,,,,,34976773.000000,626188746.000000,661165519.000000,2559045413.000000,,,26150949.000000,,,,,,,,26150949.000000,,,,,,,26150949.000000,158985332.000000,,,,,,,,158985332.000000,158985332.000000,185136281.000000,,100000000.000000,,2233641510.000000,,2233641510.000000,2233641510.000000,,40267622.000000,2373909132.000000,2559045413.000000,1000.000000
12M 2022,,,5012867174.000000,,1173787562.000000,,1173787562.000000,1173787562.000000,264621400.000000,153206429.000000,6604482565.000000,,,,,43633936.000000,9618825341.000000,9662459277.000000,16266941842.000000,,,4848219210.000000,,259150000.000000,663712961.000000,922862961.000000,,2250000000.000000,2250000000.000000,75356249.000000,,,1600000000.000000,,1600000000.000000,,4848219210.000000,8234331815.000000,,2435995747.000000,2435995747.000000,,5599999996.000000,,5599999996.000000,198336072.000000,8234331815.000000,13082551025.000000,,100000000.000000,,3041904136.000000,240000000.000000,2801904136.000000,3041904136.000000,,42486681.000000,3184390817.000000,16266941842.000000,1000.000000
12M 2023,,,19599136854.000000,51001536.000000,2787045468.000000,,2787045468.000000,2787045468.000000,1406978549.000000,721848712.000000,24566011119.000000,,1489939227.000000,1489939227.000000,1489939227.000000,307979046.000000,39203414044.000000,41001332317.000000,65567343436.000000,,,6246851127.000000,,219720000.000000,937112732.000000,1156832732.000000,,,,1072957741.000000,3186387.000000,,2954105719.000000,1054958548.000000,4009064267.000000,4810000.000000,6246851127.000000,7938879744.000000,,1254500000.000000,1254500000.000000,,4829813548.000000,454661452.000000,5284475000.000000,1399904744.000000,7938879744.000000,14185730871.000000,,40381000000.000000,9635388167.000000,1300931453.000000,240000000.000000,1060931453.000000,1300931453.000000,13405735.000000,50887210.000000,51381612565.000000,65567343436.000000,406450.000000
