Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Untuk Beban Operasional Lainnya,Penerimaan Penghasilan Keuangan,Pembayaran Beban Keuangan,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penjualan Aset Tetap,Pembayaran Uang Muka Sewa,Akuisisi Entitas Anak Dari Entitas Sepengendali,Pembayaran Piutang Lain-Lain Pihak Berelasi,Penerimaan Piutang Lain-Lain Pihak Berelasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Peningkatan Modal Disetor,Pebayaran Dividen,Pembayaran Biaya Emisi Dibayar Di Muka,Penerimaan Melalui Utang Bank,Pembayaran Utang Bank,Pembayaran Utang Pembiayaan Konsumen,Kenaikan Utang Lain-Lain – Pihak Pihak Ketiga,Penerimaan Utang Lain-Lain Pihak Berelasi,Pembayaran Utang Lain-Lain Pihak Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Awal Periode – Entitas Anak,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2021,870186589.000000,4400993000.000000,-1331566878.000000,-2126911436.000000,5053456.000000,-14863549.000000,-62518004.000000,870186589.000000,-19626000.000000,-19626000.000000,,,,,,-19626000.000000,-133793000.000000,,,,,,-133793000.000000,,,,-133793000.000000,716767589.000000,1181112305.000000,,,1897879894.000000
12M 2022,2060301244.000000,6619094117.000000,-1316257368.000000,-2729561354.000000,7882763.000000,-417697516.000000,-103159398.000000,2060301244.000000,-10771309707.000000,-9597522145.000000,,,,-1569374018.000000,395586456.000000,-10771309707.000000,11825995743.000000,,-60000000.000000,,8000000000.000000,-800000004.000000,,,7580791434.000000,-2894795687.000000,11825995743.000000,3114987280.000000,1897879894.000000,,,5012867174.000000
12M 2023,14521841760.000000,49969990064.000000,-11121975205.000000,-22616485682.000000,190963002.000000,-1091041909.000000,-809608510.000000,14521841760.000000,-35724041731.000000,-15221481811.000000,17998775.000000,-330000000.000000,-16251000000.000000,-4158750650.000000,219191955.000000,-35724041731.000000,25840016965.000000,37481000000.000000,,-245000000.000000,1000000000.000000,-2793639656.000000,-1117044800.000000,,1104500000.000000,-9589798579.000000,25840016965.000000,4637816994.000000,5012867174.000000,9948452686.000000,,19599136854.000000
