Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Keuntungan (Rugi) Atas Transaksi Derivatif,Beban Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2010,692113077647.000000,,692113077647.000000,-503908959863.000000,-503908959863.000000,-503908959863.000000,188204117784.000000,1046714148.000000,2310204815.000000,6993559350.000000,-1069839592.000000,3202821645.000000,,-10390032070.000000,1046714148.000000,189250831932.000000,-50039980109.000000,139210851823.000000,,139210851823.000000,,139210851823.000000,139210851823.000000,66250756473.000000,72960095350.000000,,139210851823.000000,139210851823.000000,66250756473.000000,72960095350.000000,139210851823.000000
12M 2011,790877329125.000000,,790877329125.000000,-590664136094.000000,-590664136094.000000,-590664136094.000000,200213193031.000000,4376607997.000000,10815009492.000000,9215067979.000000,-11171449166.000000,-5307320273.000000,,825299965.000000,4376607997.000000,204589801028.000000,-53802709961.000000,150787091067.000000,,150787091067.000000,-2290531460.000000,148496559607.000000,150787091067.000000,70433141470.000000,80353949597.000000,,150787091067.000000,148496559607.000000,68142610010.000000,80353949597.000000,148496559607.000000
12M 2012,1006269488000.000000,,1006269488000.000000,-752035132000.000000,-752035132000.000000,-752035132000.000000,254234356000.000000,-1678148000.000000,20169899000.000000,-6727704000.000000,-20122405000.000000,2556740000.000000,,2445322000.000000,-1678148000.000000,252556208000.000000,-63127902000.000000,189428306000.000000,,189428306000.000000,-730323000.000000,188697983000.000000,189428306000.000000,87532644000.000000,101895662000.000000,,189428306000.000000,188697983000.000000,86802321000.000000,101895662000.000000,188697983000.000000
12M 2013,1319303842000.000000,,1319303842000.000000,-993368027000.000000,-993368027000.000000,-993368027000.000000,325935815000.000000,17106927000.000000,18363982000.000000,-8458691000.000000,-20057456000.000000,23862583000.000000,,3396509000.000000,17106927000.000000,343042742000.000000,-93025646000.000000,250017096000.000000,,250017096000.000000,644301000.000000,250661397000.000000,250017096000.000000,109714596000.000000,140302500000.000000,,250017096000.000000,250661397000.000000,110358897000.000000,140302500000.000000,250661397000.000000
12M 2014,1520443629000.000000,,1520443629000.000000,-1175229623000.000000,-1175229623000.000000,-1175229623000.000000,345214006000.000000,29400534000.000000,21034730000.000000,381000000.000000,-23992559000.000000,-1826885000.000000,,33804248000.000000,29400534000.000000,374614540000.000000,-104854455000.000000,269760085000.000000,,269760085000.000000,1205367000.000000,270965452000.000000,269760085000.000000,110355561000.000000,159404524000.000000,,269760085000.000000,270965452000.000000,111560928000.000000,159404524000.000000,270965452000.000000
12M 2015,1631764589000.000000,,1631764589000.000000,-1218114828000.000000,-1218114828000.000000,-1218114828000.000000,413649761000.000000,545901000.000000,27367456000.000000,,-41273991000.000000,23025534000.000000,,-8573098000.000000,545901000.000000,414195662000.000000,-120624150000.000000,293571512000.000000,,293571512000.000000,1398217000.000000,294969729000.000000,293571512000.000000,118116393000.000000,175455119000.000000,,293571512000.000000,294969729000.000000,119041320000.000000,175928409000.000000,294969729000.000000
12M 2016,1778033680000.000000,,1778033680000.000000,-1344221528000.000000,-1344221528000.000000,-1344221528000.000000,433812152000.000000,-5280407000.000000,27600867000.000000,,-36807638000.000000,-10611855000.000000,,14538219000.000000,-5280407000.000000,428531745000.000000,-132155187000.000000,296376558000.000000,,296376558000.000000,-13347373000.000000,283029185000.000000,296376558000.000000,121169486000.000000,175207072000.000000,,296376558000.000000,283029185000.000000,113703615000.000000,169325570000.000000,283029185000.000000
12M 2017,2057649583000.000000,,2057649583000.000000,-1554277402000.000000,-1554277402000.000000,-1554277402000.000000,503372181000.000000,-53604199000.000000,30393184000.000000,,-55907035000.000000,30773000.000000,,-28121121000.000000,-53604199000.000000,449767982000.000000,-126696315000.000000,323071667000.000000,,323071667000.000000,-26613423000.000000,296458244000.000000,323071667000.000000,130672376000.000000,192399291000.000000,,323071667000.000000,296458244000.000000,117340102000.000000,179118142000.000000,296458244000.000000
12M 2018,2200342255000.000000,,2200342255000.000000,-1788893775000.000000,-1788893775000.000000,-1788893775000.000000,411448480000.000000,-113389880000.000000,26477097000.000000,,-53609410000.000000,-159570000.000000,,-86097997000.000000,-113389880000.000000,298058600000.000000,-101425864000.000000,196632736000.000000,,196632736000.000000,22902033000.000000,219534769000.000000,196632736000.000000,24928914000.000000,171703822000.000000,,196632736000.000000,219534769000.000000,36741706000.000000,182793063000.000000,219534769000.000000
12M 2019,2194306000000.000000,,2194306000000.000000,-1758980000000.000000,-1758980000000.000000,-1758980000000.000000,435326000000.000000,-290214000000.000000,49874000000.000000,,-58082000000.000000,-3291000000.000000,,-278715000000.000000,-290214000000.000000,145112000000.000000,-149590000000.000000,-4478000000.000000,,-4478000000.000000,-13699000000.000000,-18177000000.000000,-4478000000.000000,-139110000000.000000,134632000000.000000,,-4478000000.000000,-18177000000.000000,-146465000000.000000,128288000000.000000,-18177000000.000000
