Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Piutang Pihak Berelasi,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Piutang Usaha,Piutang Pihak Berelasi,Utang Pihak Berelasi,Aset Tetap,Aset Pajak Tangguhan,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Liabilitas Derivatif,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Pendek,Utang Bank,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Pihak Berelasi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Liabilitas Derivatif,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2009,,,89567113762.000000,93920614223.000000,25446457776.000000,68474156447.000000,93920614223.000000,1866205096.000000,1010897783.000000,855307313.000000,1866205096.000000,,5580787000.000000,73023231180.000000,263957951261.000000,,,,,,96545419575.000000,16566861503.000000,,13215337064.000000,126327618142.000000,390285569403.000000,,,136429895016.000000,,2255133106.000000,21145766572.000000,23400899678.000000,,,4826221720.000000,4826221720.000000,35744763421.000000,72456600197.000000,,,,,,,,1410000.000000,136429895016.000000,31045600000.000000,,,,,,,,31045600000.000000,31045600000.000000,167475495016.000000,,192000000000.000000,,6183168375.000000,,,6183168375.000000,108250024531.000000,-83623118519.000000,222810074387.000000,390285569403.000000,192000.000000
12M 2010,,,124201788655.000000,69047243778.000000,5838233737.000000,63209010041.000000,69047243778.000000,5405664062.000000,1648453655.000000,3757210407.000000,5405664062.000000,,4793628584.000000,53517040909.000000,256965365988.000000,,,,,,117569208450.000000,24224565738.000000,,7082927491.000000,148876701679.000000,405842067667.000000,,,122363541555.000000,,4359680827.000000,12884308593.000000,17243989420.000000,,312958985.000000,6120075280.000000,6433034265.000000,23914600760.000000,58711748829.000000,,,,,,,,16060168281.000000,122363541555.000000,35938121000.000000,,,,,,,,35938121000.000000,35938121000.000000,158301662555.000000,,192000000000.000000,,26438724848.000000,,,26438724848.000000,112724798783.000000,-83623118519.000000,247540405112.000000,405842067667.000000,192000.000000
12M 2011,,,188615654800.000000,112672188430.000000,8675655945.000000,103996532485.000000,112672188430.000000,32928247834.000000,24142685893.000000,8785561941.000000,32928247834.000000,,7542559907.000000,44452903023.000000,386211553994.000000,,6573630000.000000,,127697532236.000000,,130648966615.000000,27249206488.000000,16640205085.000000,38365050469.000000,347174590893.000000,733386144887.000000,,,177841856444.000000,,5797590553.000000,36158225531.000000,41955816084.000000,,,5185956414.000000,5185956414.000000,30537747207.000000,59508386492.000000,1486805670.000000,,,,39167144577.000000,,39167144577.000000,,177841856444.000000,223176986727.000000,,,175227197791.000000,,175227197791.000000,,2290531460.000000,45659257476.000000,223176986727.000000,401018843171.000000,,208695000000.000000,48016769100.000000,70471866318.000000,,,70471866318.000000,113857552083.000000,-108673885785.000000,332367301716.000000,733386144887.000000,2086950000.000000
12M 2012,,,176775748000.000000,150463508000.000000,4417435000.000000,146046073000.000000,150463508000.000000,40335727000.000000,32282953000.000000,8052774000.000000,40335727000.000000,,13159002000.000000,49635684000.000000,430369669000.000000,,,,145223793000.000000,,149588095000.000000,43453537000.000000,16640205000.000000,9740159000.000000,364645789000.000000,795015458000.000000,,,247412754000.000000,,686002000.000000,62627429000.000000,63313431000.000000,,2867098000.000000,7890700000.000000,10757798000.000000,49403937000.000000,64762568000.000000,5788509000.000000,,,,50860363000.000000,,50860363000.000000,2526148000.000000,247412754000.000000,196245555000.000000,,,141064128000.000000,,141064128000.000000,,4027806000.000000,51153621000.000000,196245555000.000000,443658309000.000000,,208695000000.000000,48016769000.000000,146341509000.000000,,,146341509000.000000,110451436000.000000,-162147565000.000000,351357149000.000000,795015458000.000000,2086950000.000000
12M 2013,,,121320495000.000000,232962027000.000000,10508265000.000000,222453762000.000000,232962027000.000000,44357413000.000000,35178993000.000000,9178420000.000000,44357413000.000000,,20007077000.000000,64340558000.000000,482987570000.000000,,,,178631333000.000000,,177056323000.000000,53577771000.000000,16640205000.000000,7700359000.000000,433605991000.000000,916593561000.000000,,,315416064000.000000,,2796269000.000000,68944172000.000000,71740441000.000000,,,7376805000.000000,7376805000.000000,73458032000.000000,97369338000.000000,,,,,62212930000.000000,1079857000.000000,63292787000.000000,2178661000.000000,315416064000.000000,192431075000.000000,,,120081876000.000000,1834805000.000000,121916681000.000000,,3168738000.000000,67345656000.000000,192431075000.000000,507847139000.000000,,208695000000.000000,-135027739000.000000,230898574000.000000,41739000000.000000,189159574000.000000,230898574000.000000,106557140000.000000,-2376553000.000000,408746422000.000000,916593561000.000000,2086950000.000000
12M 2014,,,152133456000.000000,272990456000.000000,2669093000.000000,270321363000.000000,272990456000.000000,58080568000.000000,40697690000.000000,17382878000.000000,58080568000.000000,,16858807000.000000,89704504000.000000,589767791000.000000,,,,181169604000.000000,,236409025000.000000,55181462000.000000,16640205000.000000,6292269000.000000,495692565000.000000,1085460356000.000000,,,353250744000.000000,,4297969000.000000,63372835000.000000,67670804000.000000,,,13213200000.000000,13213200000.000000,76838396000.000000,92293184000.000000,,,,,93208380000.000000,1123262000.000000,94331642000.000000,8903518000.000000,353250744000.000000,243691371000.000000,,,157275526000.000000,908708000.000000,158184234000.000000,,1561581000.000000,83945556000.000000,243691371000.000000,596942115000.000000,,208695000000.000000,-135027739000.000000,297654135000.000000,41739000000.000000,255915135000.000000,297654135000.000000,118368031000.000000,-1171186000.000000,488518241000.000000,1085460356000.000000,2086950000.000000
12M 2015,,,154646607000.000000,315306584000.000000,4639306000.000000,310667278000.000000,315306584000.000000,72154684000.000000,57123920000.000000,15030764000.000000,72154684000.000000,202475886000.000000,16664771000.000000,171590035000.000000,932838567000.000000,,,,,,246571254000.000000,62812102000.000000,17116427000.000000,20168662000.000000,346668445000.000000,1279507012000.000000,,,417406003000.000000,,1367095000.000000,69544839000.000000,70911934000.000000,,,2017239000.000000,2017239000.000000,83296313000.000000,144452075000.000000,,,,,93954680000.000000,1000682000.000000,94955362000.000000,21773080000.000000,417406003000.000000,303683778000.000000,,,212340910000.000000,101943000.000000,212442853000.000000,,,91240925000.000000,303683778000.000000,721089781000.000000,,208695000000.000000,-88941501000.000000,372423166000.000000,41739000000.000000,330684166000.000000,372423166000.000000,112326804000.000000,-46086238000.000000,558417231000.000000,1279507012000.000000,2086950000.000000
12M 2016,,,109116758000.000000,263849726000.000000,4406802000.000000,259442924000.000000,263849726000.000000,107878357000.000000,77697870000.000000,30180487000.000000,107878357000.000000,196590155000.000000,14879499000.000000,394170035000.000000,1086484530000.000000,,,,,,423652698000.000000,54334097000.000000,17116427000.000000,65867030000.000000,560970252000.000000,1647454782000.000000,,,487042513000.000000,,2484826000.000000,80837876000.000000,83322702000.000000,,671800000.000000,1779207000.000000,2451007000.000000,54834395000.000000,168059093000.000000,,,93217572000.000000,37244160000.000000,,24956766000.000000,155418498000.000000,22956818000.000000,487042513000.000000,365390345000.000000,,,159453420000.000000,88575595000.000000,248029015000.000000,,,117361330000.000000,365390345000.000000,852432858000.000000,,208695000000.000000,-87923169000.000000,462502507000.000000,41739000000.000000,420763507000.000000,462502507000.000000,167979924000.000000,43767662000.000000,795021924000.000000,1647454782000.000000,2086950000.000000
12M 2017,,,136190720000.000000,306728225000.000000,918957000.000000,305809268000.000000,306728225000.000000,32277373000.000000,13894371000.000000,18383002000.000000,32277373000.000000,8411308000.000000,15759877000.000000,334762455000.000000,834129958000.000000,,,,230827549000.000000,,690329213000.000000,63068389000.000000,17116427000.000000,71563294000.000000,1072904872000.000000,1907034830000.000000,,,626321050000.000000,,3829187000.000000,59947728000.000000,63776915000.000000,,54928209000.000000,936322000.000000,55864531000.000000,73680742000.000000,203869251000.000000,,,84891003000.000000,65842163000.000000,,37484468000.000000,188217634000.000000,40911977000.000000,626321050000.000000,481882247000.000000,,,191722681000.000000,129816193000.000000,321538874000.000000,,,160343373000.000000,481882247000.000000,1108203297000.000000,,208695000000.000000,-170032887000.000000,567788586000.000000,41739000000.000000,526049586000.000000,567788586000.000000,148684328000.000000,43696506000.000000,798831533000.000000,1907034830000.000000,2086950000.000000
12M 2018,,,200513624000.000000,346221570000.000000,774747000.000000,345446823000.000000,346221570000.000000,47411423000.000000,40047595000.000000,7363828000.000000,47411423000.000000,,20188229000.000000,314407928000.000000,928742774000.000000,,,,242812198000.000000,,712578123000.000000,72717084000.000000,17116427000.000000,36916864000.000000,1082140696000.000000,2010883470000.000000,,,744343032000.000000,,8562799000.000000,101393566000.000000,109956365000.000000,,58465194000.000000,4882705000.000000,63347899000.000000,66008861000.000000,254570762000.000000,,,94386714000.000000,80260929000.000000,,38066442000.000000,212714085000.000000,37745060000.000000,744343032000.000000,430509261000.000000,,,158995522000.000000,126406699000.000000,285402221000.000000,,,145107040000.000000,430509261000.000000,1174852293000.000000,,208695000000.000000,-170032887000.000000,571279170000.000000,41739000000.000000,529540170000.000000,571279170000.000000,181802732000.000000,44287162000.000000,836031177000.000000,2010883470000.000000,2086950000.000000
