Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Penerimaan Imbalan Bunga,Penerimaan Pembayaran Kembali Stp,Penerimaan Bunga,Pembayaran Bunga Dan Biaya Bank,Pembayaran Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Perolehan Konsesi,Pembayaran Pinjaman Kepada Pihak Berelasi,Penerimaan Pinjaman Kepada Pihak Berelasi,Pembayaran Pinjaman Kendaraan,Pembayaran Advance,Pengembalian Uang Muka Investasi,Uang Muka Investasi,Pembayaran Uang Muka,Investasi Saham,Investasi Mandatory Convertible Bonds,Penanaman Modal Saham Entitas Anak Baru,Akuisisi Unit Bisnis,Pemberian Pinjaman Dan Wesel Tagih Kepada Pihak Berelasi,Pembayaran Diterima Dari Pinjaman Kepada Pihak Berelasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Dividen,Uang Muka Dividen Diterima,Uang Muka Dividen Dibayar,Penerimaan Pinjaman Dari Pihak Berelasi,Pemberian Pinjaman Kepada Pihak Berelasi,Penerimaan Pembayaran Pinjaman Dari Pihak Ketiga,Pembayaran Pinjaman Bank,Penerimaan Pinjaman Bank,Pembayaran Utang Bank Jangka Panjang,Pembayaran Utank Bank Jangka Pendek,Penerimaan Pinjaman Sementara,Pembayaran Pinjaman Sementara,Penerbitan Saham Baru Oleh Entitas Anak,Uang Muka Setoran Modal Dari Kepentingan Nonpengendali,Penerimaan Dari Penawaran Saham Perdana Bersih,Penerimaan Sewa Pembiayaan,Pembayaran Sewa Pembiayaan,Penerimaan Setoran Modal Dari Kepentingan Nonpengendali,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Kas Entitas Anak Baru,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2010,176749672768.000000,763994233309.000000,-521807081035.000000,,,,2253492236.000000,-926620372.000000,-66764351370.000000,176749672768.000000,-43268781034.000000,-45183460617.000000,1914679583.000000,,,,,,,,,,,,,,,-43268781034.000000,-98145055010.000000,-98145055010.000000,,,,,,,,,,,,,,,,,,-98145055010.000000,35335836724.000000,-701161831.000000,,89567113762.000000,124201788655.000000
12M 2011,174199683866.000000,800332186051.000000,-561277727625.000000,,595128536.000000,1754005390.000000,2887665526.000000,-11000582680.000000,-59090991332.000000,174199683866.000000,-288714185678.000000,-32506908360.000000,380703243.000000,,,,,,,-27347917441.000000,,,-41568524958.000000,,-38449100000.000000,-154594828162.000000,5372390000.000000,-288714185678.000000,178710695182.000000,-119203705438.000000,6926020212.000000,-6926020212.000000,,,,,214394342368.000000,,,128055000000.000000,-128055000000.000000,,17969899152.000000,64711769100.000000,,,838390000.000000,178710695182.000000,64196193370.000000,217672775.000000,,124201788655.000000,188615654800.000000
12M 2012,187493484000.000000,972660587000.000000,-701808292000.000000,,2349400000.000000,716078000.000000,1553308000.000000,-15111715000.000000,-72865882000.000000,187493484000.000000,-56856631000.000000,-38454576000.000000,923947000.000000,,,,,,4000000000.000000,,,,-23326002000.000000,,,,,-56856631000.000000,-143364111000.000000,-104170323000.000000,,,,,,-39193788000.000000,,,,,,,,,,,,-143364111000.000000,-12727258000.000000,-142176000.000000,,189645182000.000000,176775748000.000000
12M 2013,242172511000.000000,1372638531000.000000,-994841345000.000000,,,,4270250000.000000,-26224805000.000000,-113670120000.000000,242172511000.000000,-61315061000.000000,-71633285000.000000,941454000.000000,,,,,,253500000.000000,,,,,,,,9123270000.000000,-61315061000.000000,-238070152000.000000,-181734631000.000000,,,,,,-55580252000.000000,,,,,,,,,,-755269000.000000,,-238070152000.000000,-57212702000.000000,1757449000.000000,,176775748000.000000,121320495000.000000
12M 2014,261980740000.000000,1480415200000.000000,-1125101979000.000000,,,39809854000.000000,2814183000.000000,-23159578000.000000,-112796940000.000000,261980740000.000000,-104361582000.000000,-113038936000.000000,1279226000.000000,,,,,,-1500000000.000000,,,,,,,,8898128000.000000,-104361582000.000000,-127286965000.000000,-191193633000.000000,,,,,,-78940287000.000000,144096287000.000000,,,,,,,,,-1249332000.000000,,-127286965000.000000,30332193000.000000,480768000.000000,,121320495000.000000,152133456000.000000
12M 2015,230026726000.000000,1589448461000.000000,-1214995473000.000000,,,10097415000.000000,5026034000.000000,-34927752000.000000,-124621959000.000000,230026726000.000000,-59721312000.000000,-65925943000.000000,1045925000.000000,,,,,,,,,,,,,,5158706000.000000,-59721312000.000000,-169295001000.000000,-226861513000.000000,,,,,,-314042526000.000000,373477762000.000000,,,,,,,,,-1868724000.000000,,-169295001000.000000,1010413000.000000,1502738000.000000,,152133456000.000000,154646607000.000000
12M 2016,338415608000.000000,1830674276000.000000,-1312559367000.000000,,,,3247840000.000000,-38891251000.000000,-144055890000.000000,338415608000.000000,-317851045000.000000,-224813985000.000000,120666019000.000000,,,,,,,,-219588810000.000000,,,,,,5885731000.000000,-317851045000.000000,-65236502000.000000,-159675753000.000000,,,,,,-188661409000.000000,172280971000.000000,,,,,,,,,-1131572000.000000,111951261000.000000,-65236502000.000000,-44671939000.000000,-857910000.000000,,154646607000.000000,109116758000.000000
12M 2017,362463326000.000000,2019607016000.000000,-1491431440000.000000,,,,3581668000.000000,-56750385000.000000,-112543533000.000000,362463326000.000000,-136069600000.000000,-87223813000.000000,1380499000.000000,,,,,,,,-7181350000.000000,-85335903000.000000,,,,,42290967000.000000,-136069600000.000000,-201081391000.000000,-216354854000.000000,,,,,,-234868901000.000000,285526433000.000000,,,,,,,,,-35384069000.000000,,-201081391000.000000,25312335000.000000,629080000.000000,,110249305000.000000,136190720000.000000
12M 2018,380240488000.000000,2164333926000.000000,-1623188121000.000000,,,,4055077000.000000,-51216090000.000000,-113744304000.000000,380240488000.000000,-69890534000.000000,-98974586000.000000,29084052000.000000,,,,,,,,,,,,,,,-69890534000.000000,-250013078000.000000,-182335125000.000000,,,,,,-336153060000.000000,301692027000.000000,,,,,,,,,-33216920000.000000,,-250013078000.000000,60336876000.000000,3986028000.000000,,136190720000.000000,200513624000.000000
12M 2019,374517000000.000000,2247884000000.000000,-1700160000000.000000,,,,28548000000.000000,-55618000000.000000,-146137000000.000000,374517000000.000000,-24576000000.000000,-34992000000.000000,8180000000.000000,,,2236000000.000000,,,,,,,,,,,,-24576000000.000000,-282348000000.000000,-159669000000.000000,,,,,,-108465000000.000000,22188000000.000000,,,,,,,,,-36402000000.000000,,-282348000000.000000,67593000000.000000,-3092000000.000000,,200514000000.000000,265015000000.000000
12M 2020,248120000000.000000,1357591000000.000000,-1069593000000.000000,,,,40890000000.000000,-26493000000.000000,-54275000000.000000,248120000000.000000,-10892000000.000000,-18202000000.000000,819000000.000000,,,6491000000.000000,,,,,,,,,,,,-10892000000.000000,-228257000000.000000,-65622000000.000000,,,,,,-294379000000.000000,218054000000.000000,,,,,,,,,-86310000000.000000,,-228257000000.000000,8971000000.000000,272000000.000000,,265015000000.000000,274258000000.000000
12M 2021,321869000000.000000,1422880000000.000000,-1110413000000.000000,,,,50221000000.000000,-20476000000.000000,-20343000000.000000,321869000000.000000,-6523000000.000000,-9896000000.000000,660000000.000000,,,2713000000.000000,,,,,,,,,,,,-6523000000.000000,-162621000000.000000,-21364000000.000000,,,,,,-78763000000.000000,,,,,,,,,,-62494000000.000000,,-162621000000.000000,152725000000.000000,500000000.000000,,274258000000.000000,427483000000.000000
12M 2022,321403000000.000000,1630002000000.000000,-760229000000.000000,-529881000000.000000,,,37896000000.000000,-10296000000.000000,-46089000000.000000,321403000000.000000,-133947000000.000000,-51906000000.000000,2283000000.000000,-84324000000.000000,,,,,,,,,,,,,,-133947000000.000000,-267612000000.000000,-113000000000.000000,,,,,,,,-96624000000.000000,,,,4343000000.000000,,,,-62331000000.000000,,-267612000000.000000,-80156000000.000000,4459000000.000000,,427483000000.000000,351786000000.000000
12M 2023,403875000000.000000,2099009000000.000000,-938908000000.000000,-601549000000.000000,,,4773000000.000000,-2052000000.000000,-157398000000.000000,403875000000.000000,-84914000000.000000,-89786000000.000000,4872000000.000000,,,,,,,,,,,,,,,-84914000000.000000,-216603000000.000000,-148887000000.000000,,,,,,,,,,,,,,,,-67716000000.000000,,-216603000000.000000,102358000000.000000,-991000000.000000,,351786000000.000000,453153000000.000000
12M 2024,883403000000.000000,2715401000000.000000,-1021691000000.000000,-669889000000.000000,,,39322000000.000000,-3902000000.000000,-175838000000.000000,883403000000.000000,-120423000000.000000,-120861000000.000000,438000000.000000,,,,,,,,,,,,,,,-120423000000.000000,261487000000.000000,-117412000000.000000,,,,,456399000000.000000,,,,,,,,,,,-77500000000.000000,,261487000000.000000,1024467000000.000000,2434000000.000000,,453153000000.000000,1480054000000.000000
