Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,1.08,401.97,1.08,401.97,"1,505 B","1,225 B","2,730 B","2,333 B",729 B
12M 2009,2.52,892.97,2.52,892.97,551 B,334 B,884 B,496 B,"1,476 B"
12M 2010,6.77,271.89,6.77,271.89,169 B,285 B,455 B,(862 B),"2,813 B"
12M 2011,5.72,375.73,5.73,375.28,278 B,767 B,"1,044 B",168 B,"3,675 B"
12M 2012,7.34,497.42,7.34,497.42,637 B,"1,629 B","2,266 B","1,311 B","5,013 B"
12M 2013,5.57,605.76,5.57,605.76,122 B,"3,021 B","3,143 B","1,996 B","6,498 B"
12M 2014,5.67,666.28,5.67,666.28,"1,874 B","4,992 B","6,866 B","5,981 B","5,542 B"
12M 2015,3.40,765.16,3.48,747.31,"2,383 B","5,978 B","8,361 B","6,682 B","6,309 B"
12M 2016,3.58,862.18,3.73,828.87,"2,964 B","3,891 B","6,855 B","4,350 B","6,509 B"
12M 2017,3.14,956.50,3.24,926.01,"2,881 B","3,097 B","5,978 B","4,184 B","6,661 B"
12M 2018,6.11,1181.59,6.27,1151.94,"1,700 B","2,862 B","4,562 B","1,759 B","9,365 B"
12M 2019,5.06,1284.22,5.18,1255.40,"2,770 B","2,377 B","5,147 B","3,185 B","8,109 B"
12M 2020,4.59,1422.92,4.68,1394.79,"2,770 B","1,440 B","4,210 B","1,532 B","8,175 B"
12M 2021,3.88,1532.83,3.95,1504.94,"4,587 B","1,496 B","6,083 B","4,279 B","7,879 B"
12M 2022,3.52,1604.49,3.58,1576.66,"6,649 B","2,445 B","9,094 B","7,052 B","7,922 B"
12M 2023,3.05,1647.30,3.10,1620.18,"7,393 B","1,841 B","9,233 B","6,905 B","7,201 B"
12M 2024,2.58,1846.20,2.62,1819.07,"5,400 B","2,794 B","8,194 B","3,747 B","12,750 B"
