Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Karyawan,Pembayaran Untuk Beban Usaha,Pembayaran Tunai Kepada Pemasok,Pembayaran Kepada Karyawan,Total Pembayaran Kepada Pemasok Dan Karyawan,Penerimaan Dari (Pembayaran Untuk):,Pendapatan Keuangan,Biaya Keuangan,Pajak Penghasilan,Penghasilan Bunga,Tagihan Pajak,Kegiatan Operasional Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Dari Hasil Penjualan Aset Tetap,Penerimaan Investasi Jangka Pendek,Perolehan Aset Tetap,Kombinasi Bisnis Entitas Sepengendali,Penarikan Deposito Yang Dibatasi Penggunaannya,Penerimaan Dari Hasil Penjualan Saham Entitas Anak,Perolehan Investasi Saham,Uang Muka Untuk Perolehan Aset Tetap,Perolehan Aset Keuangan Tidak Lancar,Penambahan Aset Tidak Berwujud,Penambahan Piutang Peternak,Pelunasan Piutang Peternk,Penambahan Aset Hak Guna,Penghasilan Dividen,Akuisisi Entitas Anak - Dikurangi Kas Yang Diperoleh,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari:,Utang Bank Jangka Pendek,Utang Bank Jangka Panjang,Utang Instrumen Derivatif,Perolehan Investasi Saham,Total Penerimaan Dari:,Pembayaran Untuk:,Utang Bank Jangka Pendek,Utang Bank Jangka Panjang,Dividen Tunai Kepada Pemegang Saham Non-Pengendali Entitas Anak,Utang Sewa Pembiayaan,Dividen Tunai,Modal Saham Yang Diperoleh Kembali,Utang Hubungan Istimewa,Utang Instrumen Derivatif,Penurunan Utang Obligasi,Liabilitas Sewa,Total Pembayaran Untuk:,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,244737000000.000000,13273517000000.000000,-12331051000000.000000,,,,-12331051000000.000000,,,-252394000000.000000,-174036000000.000000,4082000000.000000,,-275381000000.000000,244737000000.000000,-333883000000.000000,7462000000.000000,,-378504000000.000000,,37159000000.000000,,,,,,,,,,,-333883000000.000000,353405000000.000000,,2405294000000.000000,490579000000.000000,,,2895873000000.000000,,-1967706000000.000000,-68850000000.000000,-754000000.000000,-5158000000.000000,,,,,-500000000000.000000,,-2542468000000.000000,353405000000.000000,264259000000.000000,,132685000000.000000,396944000000.000000
12M 2009,1855546000000.000000,14450164000000.000000,-12154007000000.000000,,,,-12154007000000.000000,,,-217499000000.000000,-357872000000.000000,14503000000.000000,,120257000000.000000,1855546000000.000000,-153401000000.000000,2890000000.000000,,-153093000000.000000,,,,,,,,,,,,-3198000000.000000,-153401000000.000000,-1711093000000.000000,,1023020000000.000000,,,,1023020000000.000000,,-2233772000000.000000,-490928000000.000000,-78000000.000000,-9335000000.000000,,,,,,,-2734113000000.000000,-1711093000000.000000,-8948000000.000000,,396944000000.000000,387996000000.000000
12M 2010,2405095000000.000000,15035164000000.000000,-11906022000000.000000,,,,-11906022000000.000000,,,-60618000000.000000,-761278000000.000000,21066000000.000000,,76783000000.000000,2405095000000.000000,-387346000000.000000,2935000000.000000,,-390281000000.000000,,,,,,,,,,,,,-387346000000.000000,-1090985000000.000000,,150000000000.000000,45675000000.000000,,,195675000000.000000,,-190000000000.000000,-405320000000.000000,-4647000000.000000,-1841000000.000000,-643774000000.000000,-41078000000.000000,,,,,-1286660000000.000000,-1090985000000.000000,926764000000.000000,,387996000000.000000,1314760000000.000000
12M 2011,1076052000000.000000,17641866000000.000000,-15763151000000.000000,,,,-15763151000000.000000,,,-58816000000.000000,-827749000000.000000,28376000000.000000,38152000000.000000,17374000000.000000,1076052000000.000000,-1435558000000.000000,11725000000.000000,,-1432350000000.000000,,,,,,,,,,,,-14933000000.000000,-1435558000000.000000,-79767000000.000000,,660818000000.000000,884384000000.000000,,,1545202000000.000000,,-542574000000.000000,-426490000000.000000,-2423000000.000000,-842000000.000000,-652640000000.000000,,,,,,-1624969000000.000000,-79767000000.000000,-439273000000.000000,711000000.000000,1314760000000.000000,876198000000.000000
12M 2012,1689376000000.000000,21020109000000.000000,-18567131000000.000000,,,,-18567131000000.000000,,37385000000.000000,-72922000000.000000,-759000000000.000000,,,30935000000.000000,1689376000000.000000,-1772354000000.000000,53957000000.000000,,-1712469000000.000000,,,,,-113842000000.000000,,,,,,,,-1772354000000.000000,142630000000.000000,,318438000000.000000,646800000000.000000,,,965238000000.000000,,-90850000000.000000,-37697000000.000000,-5162000000.000000,-183000000.000000,-688716000000.000000,,,,,,-822608000000.000000,142630000000.000000,59652000000.000000,18844000000.000000,876198000000.000000,954694000000.000000
12M 2013,2061273000000.000000,25160477000000.000000,-22239569000000.000000,,,,-22239569000000.000000,,21365000000.000000,-143309000000.000000,-778138000000.000000,,112768000000.000000,-72321000000.000000,2061273000000.000000,-2155498000000.000000,65357000000.000000,,-2179051000000.000000,,,,,-41804000000.000000,,,,,,,,-2155498000000.000000,220321000000.000000,,337230000000.000000,3094620000000.000000,,,3431850000000.000000,,-458350000000.000000,-1998799000000.000000,-54000000.000000,-18000000.000000,-754308000000.000000,,,,,,-3211529000000.000000,220321000000.000000,126096000000.000000,66062000000.000000,954694000000.000000,1146852000000.000000
12M 2014,239221000000.000000,28773136000000.000000,-27169660000000.000000,,,,-27169660000000.000000,,23371000000.000000,-285336000000.000000,-691856000000.000000,,-316722000000.000000,-93712000000.000000,239221000000.000000,-3586399000000.000000,14697000000.000000,,-2993825000000.000000,,,,-219000000.000000,-607052000000.000000,,,,,,,,-3586399000000.000000,2896039000000.000000,,1446600000000.000000,2403800000000.000000,,,3850400000000.000000,,-200000000000.000000,,-53000000.000000,,-754308000000.000000,,,,,,-954361000000.000000,2896039000000.000000,-451139000000.000000,72780000000.000000,1146852000000.000000,768493000000.000000
12M 2015,1707438000000.000000,30051253000000.000000,-26920272000000.000000,,,,-26920272000000.000000,,22553000000.000000,-640941000000.000000,-628226000000.000000,,,-176929000000.000000,1707438000000.000000,-1869377000000.000000,101630000000.000000,,-1982450000000.000000,,,,-17281000000.000000,-41021000000.000000,,-14000000000.000000,,,,,83745000000.000000,-1869377000000.000000,1108970000000.000000,,650000000000.000000,3566542000000.000000,,,4216542000000.000000,,-311000000000.000000,-2501383000000.000000,-25000000.000000,,-295164000000.000000,,,,,,-3107572000000.000000,1108970000000.000000,947031000000.000000,-36251000000.000000,768493000000.000000,1679273000000.000000
12M 2016,4157137000000.000000,39566065000000.000000,-34511239000000.000000,,,,-34511239000000.000000,,44906000000.000000,-664705000000.000000,-564587000000.000000,,139015000000.000000,147682000000.000000,4157137000000.000000,-1176737000000.000000,25507000000.000000,,-629037000000.000000,-481254000000.000000,,,-3500000000.000000,-2033000000.000000,,,-178028000000.000000,,,,91608000000.000000,-1176737000000.000000,-2145489000000.000000,,4237980000000.000000,1200000000000.000000,,,5437980000000.000000,,-4550260000000.000000,-2557647000000.000000,-20000000.000000,,-475542000000.000000,,,,,,-7583469000000.000000,-2145489000000.000000,834911000000.000000,-9750000000.000000,1679273000000.000000,2504434000000.000000
12M 2017,1624465000000.000000,36383195000000.000000,,-1515533000000.000000,-30320368000000.000000,-928935000000.000000,-32764836000000.000000,,49304000000.000000,-471506000000.000000,-1452945000000.000000,,27392000000.000000,-146139000000.000000,1624465000000.000000,-801010000000.000000,28275000000.000000,20000000000.000000,-601679000000.000000,,,,-35000000000.000000,-155850000000.000000,,,-56756000000.000000,,,,,-801010000000.000000,-1586728000000.000000,,1699720000000.000000,,,,1699720000000.000000,,-1399495000000.000000,-968665000000.000000,,,-918288000000.000000,,,,,,-3286448000000.000000,-1586728000000.000000,-763273000000.000000,2604000000.000000,2504434000000.000000,1743765000000.000000
