Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Ayam Pembibit Turunan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Pajak Tangguhan,Aset Tetap,Goodwill,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank,Utang Sewa Pembiayaan,Utang Obligasi,Liabilitas Derivatif,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pihak Berelasi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,396944000000.000000,,749028000000.000000,724002000000.000000,25026000000.000000,749028000000.000000,23929000000.000000,23929000000.000000,,23929000000.000000,1447561000000.000000,363728000000.000000,128407000000.000000,3109597000000.000000,,203567000000.000000,12631000000.000000,1657000000000.000000,,,195745000000.000000,2068943000000.000000,5178540000000.000000,,,2380193000000.000000,1286554000000.000000,,558627000000.000000,29713000000.000000,588340000000.000000,,90555000000.000000,,90555000000.000000,90252000000.000000,91618000000.000000,,209466000000.000000,9311000000.000000,,,218777000000.000000,14097000000.000000,2380193000000.000000,1464005000000.000000,19714000000.000000,9195000000.000000,,1203200000000.000000,1990000000.000000,1205190000000.000000,,229906000000.000000,1464005000000.000000,3844198000000.000000,,164228000000.000000,147259000000.000000,1034683000000.000000,7000000000.000000,1027683000000.000000,1034683000000.000000,14034000000.000000,-25862000000.000000,1334342000000.000000,5178540000000.000000,3284561408.000000
12M 2009,,,387996000000.000000,,857442000000.000000,857286000000.000000,156000000.000000,857442000000.000000,11791000000.000000,11791000000.000000,,11791000000.000000,1575018000000.000000,396759000000.000000,52269000000.000000,3281275000000.000000,,187568000000.000000,22176000000.000000,1685370000000.000000,,,172986000000.000000,2068100000000.000000,5349375000000.000000,,,1805400000000.000000,40000000000.000000,,688602000000.000000,46729000000.000000,735331000000.000000,,83785000000.000000,,83785000000.000000,333527000000.000000,62111000000.000000,,508917000000.000000,1820000000.000000,,,510737000000.000000,39909000000.000000,1805400000000.000000,592301000000.000000,14831000000.000000,11552000000.000000,,318103000000.000000,781000000.000000,318884000000.000000,,247034000000.000000,592301000000.000000,2397701000000.000000,,164228000000.000000,147259000000.000000,2647393000000.000000,8000000000.000000,2639393000000.000000,2647393000000.000000,18656000000.000000,-25862000000.000000,2951674000000.000000,5349375000000.000000,3284561408.000000
12M 2010,,,1316840000000.000000,,890490000000.000000,883855000000.000000,6635000000.000000,890490000000.000000,56113000000.000000,55743000000.000000,370000000.000000,56113000000.000000,1554780000000.000000,395111000000.000000,61302000000.000000,4274636000000.000000,,,71036000000.000000,1931069000000.000000,,,241535000000.000000,2243640000000.000000,6518276000000.000000,,,1461341000000.000000,2080000000.000000,,737302000000.000000,17892000000.000000,755194000000.000000,,107073000000.000000,77161000000.000000,184234000000.000000,269492000000.000000,71028000000.000000,,165994000000.000000,955000000.000000,,,166949000000.000000,12364000000.000000,1461341000000.000000,574899000000.000000,,10342000000.000000,,285299000000.000000,178000000.000000,285477000000.000000,,279080000000.000000,574899000000.000000,2036240000000.000000,,163980000000.000000,147037000000.000000,4173277000000.000000,9000000000.000000,4164277000000.000000,4173277000000.000000,23604000000.000000,-25862000000.000000,4482036000000.000000,6518276000000.000000,16398000000.000000
12M 2011,,,876198000000.000000,,1353070000000.000000,1331463000000.000000,21607000000.000000,1353070000000.000000,28637000000.000000,22307000000.000000,6330000000.000000,28637000000.000000,2339543000000.000000,527496000000.000000,125301000000.000000,5250245000000.000000,,,70486000000.000000,3198604000000.000000,7438000000.000000,,321431000000.000000,3597959000000.000000,8848204000000.000000,,,1575552000000.000000,241360000000.000000,,599017000000.000000,30236000000.000000,629253000000.000000,,143185000000.000000,217640000000.000000,360825000000.000000,215865000000.000000,81086000000.000000,,36163000000.000000,42000000.000000,,,36205000000.000000,10958000000.000000,1575552000000.000000,1083182000000.000000,,2718000000.000000,,766611000000.000000,159000000.000000,766770000000.000000,,313694000000.000000,1083182000000.000000,2658734000000.000000,,163980000000.000000,147037000000.000000,5876112000000.000000,10000000000.000000,5866112000000.000000,5876112000000.000000,28203000000.000000,-25862000000.000000,6189470000000.000000,8848204000000.000000,16398000000.000000
12M 2012,,,954694000000.000000,,1793282000000.000000,1766767000000.000000,26515000000.000000,1793282000000.000000,53294000000.000000,53294000000.000000,,53294000000.000000,3366317000000.000000,624710000000.000000,388593000000.000000,7180890000000.000000,,15812000000.000000,92337000000.000000,4593000000000.000000,,,466588000000.000000,5167737000000.000000,12348627000000.000000,,,2167652000000.000000,477575000000.000000,,976661000000.000000,37085000000.000000,1013746000000.000000,,190229000000.000000,,190229000000.000000,209055000000.000000,103833000000.000000,,159834000000.000000,18000000.000000,,,159852000000.000000,13362000000.000000,2167652000000.000000,2004511000000.000000,329272000000.000000,3271000000.000000,,1299367000000.000000,,1299367000000.000000,,372601000000.000000,2004511000000.000000,4172163000000.000000,,163980000000.000000,121175000000.000000,7871460000000.000000,33000000000.000000,7838460000000.000000,7871460000000.000000,19849000000.000000,,8176464000000.000000,12348627000000.000000,16398000000.000000
12M 2013,,,1146852000000.000000,,2503169000000.000000,2435567000000.000000,67602000000.000000,2503169000000.000000,113781000000.000000,113781000000.000000,,113781000000.000000,4044737000000.000000,787843000000.000000,228518000000.000000,8824900000000.000000,,27920000000.000000,80396000000.000000,6389545000000.000000,,,399436000000.000000,6897297000000.000000,15722197000000.000000,,,2327048000000.000000,121890000000.000000,,1313284000000.000000,125334000000.000000,1438618000000.000000,,304738000000.000000,,304738000000.000000,343053000000.000000,109757000000.000000,,,,,,,8992000000.000000,2327048000000.000000,3444249000000.000000,252660000000.000000,11724000000.000000,,2768197000000.000000,,2768197000000.000000,,411668000000.000000,3444249000000.000000,5771297000000.000000,,163980000000.000000,121175000000.000000,9648061000000.000000,33000000000.000000,9615061000000.000000,9648061000000.000000,17684000000.000000,,9950900000000.000000,15722197000000.000000,16398000000.000000
12M 2014,,,884831000000.000000,,3159286000000.000000,3021952000000.000000,137334000000.000000,3159286000000.000000,362923000000.000000,362923000000.000000,,362923000000.000000,4333238000000.000000,1077653000000.000000,191739000000.000000,10009670000000.000000,,14947000000.000000,375061000000.000000,9058302000000.000000,,,1404459000000.000000,10852769000000.000000,20862439000000.000000,,,4467240000000.000000,1487338000000.000000,,1491270000000.000000,99836000000.000000,1591106000000.000000,,498971000000.000000,,498971000000.000000,365426000000.000000,115936000000.000000,,386752000000.000000,,,,386752000000.000000,21711000000.000000,4467240000000.000000,5451910000000.000000,268858000000.000000,2862000000.000000,,4722759000000.000000,,4722759000000.000000,,457431000000.000000,5451910000000.000000,9919150000000.000000,,163980000000.000000,121175000000.000000,10640548000000.000000,33000000000.000000,10607548000000.000000,10640548000000.000000,17586000000.000000,,10943289000000.000000,20862439000000.000000,16398000000.000000
12M 2015,,,1679273000000.000000,,2998307000000.000000,2709134000000.000000,289173000000.000000,2998307000000.000000,341542000000.000000,341542000000.000000,,341542000000.000000,5454001000000.000000,1172874000000.000000,367297000000.000000,12013294000000.000000,,6589000000.000000,466629000000.000000,11123465000000.000000,,292659000000.000000,782279000000.000000,12671621000000.000000,24684915000000.000000,,,5703842000000.000000,1710000000000.000000,,2357885000000.000000,105883000000.000000,2463768000000.000000,,444260000000.000000,,444260000000.000000,260521000000.000000,123236000000.000000,,673440000000.000000,,,,673440000000.000000,28617000000.000000,5703842000000.000000,6419646000000.000000,97248000000.000000,31785000000.000000,,5880522000000.000000,,5880522000000.000000,,410091000000.000000,6419646000000.000000,12123488000000.000000,,163980000000.000000,121175000000.000000,12261973000000.000000,33000000000.000000,12228973000000.000000,12261973000000.000000,14299000000.000000,,12561427000000.000000,24684915000000.000000,16398000000.000000
12M 2016,,,2504434000000.000000,20870000000.000000,2316015000000.000000,2187133000000.000000,128882000000.000000,2316015000000.000000,521381000000.000000,521381000000.000000,,521381000000.000000,5109719000000.000000,1227729000000.000000,359285000000.000000,12059433000000.000000,,11770000000.000000,70927000000.000000,11233847000000.000000,444803000000.000000,101418000000.000000,282796000000.000000,12145561000000.000000,24204994000000.000000,,,5550257000000.000000,1400000000000.000000,,1114310000000.000000,152636000000.000000,1266946000000.000000,,460274000000.000000,,460274000000.000000,676825000000.000000,157713000000.000000,,1563819000000.000000,,,,1563819000000.000000,24680000000.000000,5550257000000.000000,4497494000000.000000,244714000000.000000,90938000000.000000,,3646082000000.000000,,3646082000000.000000,,515760000000.000000,4497494000000.000000,10047751000000.000000,,163980000000.000000,-43385000000.000000,13999362000000.000000,33000000000.000000,13966362000000.000000,13999362000000.000000,19252000000.000000,18034000000.000000,14157243000000.000000,24204994000000.000000,16398000000.000000
12M 2017,,,1793454000000.000000,1990000000.000000,2359678000000.000000,2239906000000.000000,119772000000.000000,2359678000000.000000,208420000000.000000,208420000000.000000,,208420000000.000000,5696607000000.000000,1266298000000.000000,394283000000.000000,11720730000000.000000,,59570000000.000000,97734000000.000000,11009361000000.000000,444803000000.000000,55159000000.000000,1135236000000.000000,12801863000000.000000,24522593000000.000000,,,5059552000000.000000,1749689000000.000000,,864644000000.000000,158636000000.000000,1023280000000.000000,,768027000000.000000,,768027000000.000000,200800000000.000000,168054000000.000000,,1131086000000.000000,,,,1131086000000.000000,18616000000.000000,5059552000000.000000,3760216000000.000000,91872000000.000000,73113000000.000000,,3005172000000.000000,,3005172000000.000000,,590059000000.000000,3760216000000.000000,8819768000000.000000,,163980000000.000000,-43385000000.000000,15545762000000.000000,33000000000.000000,15512762000000.000000,15545762000000.000000,18192000000.000000,18276000000.000000,15702825000000.000000,24522593000000.000000,16398000000.000000
