Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,13311141000000.000000,-11567718000000.000000,1743423000000.000000,-784489000000.000000,-210562000000.000000,-573927000000.000000,,-784489000000.000000,958934000000.000000,-583345000000.000000,4082000000.000000,-259282000000.000000,-372012000000.000000,43867000000.000000,-583345000000.000000,375589000000.000000,-118518000000.000000,257071000000.000000,-3094000000.000000,253977000000.000000,,,253977000000.000000,257071000000.000000,-3094000000.000000,253977000000.000000,,,,
12M 2009,14559005000000.000000,-11689920000000.000000,2869085000000.000000,-812204000000.000000,-199328000000.000000,-612876000000.000000,,-812204000000.000000,2056881000000.000000,103515000000.000000,14503000000.000000,-201916000000.000000,229435000000.000000,61493000000.000000,103515000000.000000,2160396000000.000000,-540978000000.000000,1619418000000.000000,-6708000000.000000,1612710000000.000000,,,1612710000000.000000,1619418000000.000000,-6708000000.000000,1612710000000.000000,,,,
12M 2010,15077822000000.000000,-11323708000000.000000,3754114000000.000000,-993116000000.000000,-240682000000.000000,-752434000000.000000,,-993116000000.000000,2760998000000.000000,57229000000.000000,21066000000.000000,-55008000000.000000,39865000000.000000,51306000000.000000,57229000000.000000,2818227000000.000000,-598366000000.000000,2219861000000.000000,-9595000000.000000,2210266000000.000000,,,2210266000000.000000,2219861000000.000000,-9595000000.000000,2210266000000.000000,,,,
12M 2011,17957972000000.000000,-14033726000000.000000,3924246000000.000000,-915033000000.000000,-267625000000.000000,-672157000000.000000,24749000000.000000,-915033000000.000000,3009213000000.000000,-34633000000.000000,28376000000.000000,-63009000000.000000,,,-34633000000.000000,2974580000000.000000,-612083000000.000000,2362497000000.000000,,2362497000000.000000,,2362497000000.000000,2362497000000.000000,2355475000000.000000,7022000000.000000,2362497000000.000000,2362497000000.000000,2355475000000.000000,7022000000.000000,2362497000000.000000
12M 2012,21310925000000.000000,-16819413000000.000000,4491512000000.000000,-1032832000000.000000,-336259000000.000000,-754463000000.000000,57890000000.000000,-1032832000000.000000,3458680000000.000000,-82181000000.000000,37385000000.000000,-119566000000.000000,,,-82181000000.000000,3376499000000.000000,-695627000000.000000,2680872000000.000000,,2680872000000.000000,,2680872000000.000000,2680872000000.000000,2684064000000.000000,-3192000000.000000,2680872000000.000000,2680872000000.000000,2684064000000.000000,-3192000000.000000,2680872000000.000000
12M 2013,25662992000000.000000,-20513184000000.000000,5149808000000.000000,-1571511000000.000000,-379734000000.000000,-866141000000.000000,-325636000000.000000,-1571511000000.000000,3578297000000.000000,-126964000000.000000,21365000000.000000,-148329000000.000000,,,-126964000000.000000,3451333000000.000000,-922643000000.000000,2528690000000.000000,,2528690000000.000000,,2528690000000.000000,2528690000000.000000,2530909000000.000000,-2219000000.000000,2528690000000.000000,2528690000000.000000,2530909000000.000000,-2219000000.000000,2528690000000.000000
12M 2014,29150275000000.000000,-25016020000000.000000,4134255000000.000000,-1766507000000.000000,-545889000000.000000,-960589000000.000000,-260029000000.000000,-1766507000000.000000,2367748000000.000000,-260856000000.000000,23371000000.000000,-284227000000.000000,,,-260856000000.000000,2106892000000.000000,-360248000000.000000,1746644000000.000000,,1746644000000.000000,,1746644000000.000000,1746644000000.000000,1746795000000.000000,-151000000.000000,1746644000000.000000,1746644000000.000000,1746795000000.000000,-151000000.000000,1746644000000.000000
12M 2015,30107727000000.000000,-24967568000000.000000,5140159000000.000000,-1652086000000.000000,-627460000000.000000,-1070037000000.000000,45411000000.000000,-1652086000000.000000,3488073000000.000000,-1206445000000.000000,22559000000.000000,-642227000000.000000,-586777000000.000000,,-1206445000000.000000,2281628000000.000000,-449030000000.000000,1832598000000.000000,,1832598000000.000000,17794000000.000000,1850392000000.000000,1832598000000.000000,1836978000000.000000,-4380000000.000000,1832598000000.000000,1850392000000.000000,1854985000000.000000,-4593000000.000000,1850392000000.000000
12M 2016,38256857000000.000000,-31743222000000.000000,6513635000000.000000,-2096519000000.000000,-821978000000.000000,-1232950000000.000000,-41591000000.000000,-2096519000000.000000,4417116000000.000000,-433455000000.000000,44911000000.000000,-647186000000.000000,168820000000.000000,,-433455000000.000000,3983661000000.000000,-1731848000000.000000,2251813000000.000000,,2225402000000.000000,-7546000000.000000,2217856000000.000000,2225402000000.000000,2220561000000.000000,4841000000.000000,2225402000000.000000,2217856000000.000000,2212931000000.000000,4925000000.000000,2217856000000.000000
12M 2017,49367386000000.000000,-43116098000000.000000,6251288000000.000000,-2535014000000.000000,-1175052000000.000000,-1391056000000.000000,31094000000.000000,-2535014000000.000000,3716274000000.000000,-460569000000.000000,49294000000.000000,-496087000000.000000,-13776000000.000000,,-460569000000.000000,3255705000000.000000,-758918000000.000000,2496787000000.000000,,2496787000000.000000,-33159000000.000000,2463628000000.000000,2496787000000.000000,2497765000000.000000,-978000000.000000,2496787000000.000000,2463628000000.000000,2464688000000.000000,-1060000000.000000,2463628000000.000000
