Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Penerimaan Dari:,Pendapatan Bunga,Pendapatan Lain-Lain,Aktivitas Operasi Lainnya,Penerimaan Pajak Penghasilan,Restitusi Pajak,Total Penerimaan Dari:,Pembayaran Untuk:,Pajak Penghasilan,Beban Keuangan,Aktivitas Operasi Lainnya,Total Pembayaran Untuk:,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Utang Bank Jangka Pendek,Pelunasan Utang Bank Jangka Pendek,Pembayaran Liabilitas Sewa,Penambahan Utang Bank Jangka Panjang,Pembayaran Utang Pihak Berelasi,Penambahan Pinjaman Dari Pihak Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2014,1230592.000000,34840119.000000,-23470903.000000,-5857665.000000,,2141.000000,,,,134809.000000,136950.000000,,-134544.000000,-192969.000000,-4090396.000000,-4417909.000000,1230592.000000,-995884.000000,44297.000000,-1040181.000000,-995884.000000,-500000.000000,27200000.000000,-12700000.000000,,-15000000.000000,,,-500000.000000,-265292.000000,551398.000000,286106.000000
12M 2015,1493324.000000,33071974.000000,-21981551.000000,-4949584.000000,,2878.000000,,,,90354.000000,93232.000000,,-112811.000000,-205011.000000,-4422925.000000,-4740747.000000,1493324.000000,-55161.000000,2147971.000000,-2203132.000000,-55161.000000,-1400000.000000,2300000.000000,-3700000.000000,,,,,-1400000.000000,38163.000000,580569.000000,618732.000000
12M 2016,2506463.000000,31417702.000000,-19319126.000000,-5425389.000000,,2391.000000,,,,,2391.000000,,-406162.000000,-291971.000000,-3470982.000000,-4169115.000000,2506463.000000,-6825654.000000,120588.000000,-6946242.000000,-6825654.000000,4700000.000000,5700000.000000,-1000000.000000,,,,,4700000.000000,380809.000000,618732.000000,999541.000000
12M 2017,-3220902.000000,33158067.000000,-25365256.000000,-5316736.000000,,2541.000000,,,,,2541.000000,,-329276.000000,-619993.000000,-4750249.000000,-5699518.000000,-3220902.000000,-8460899.000000,27097.000000,-8487996.000000,-8460899.000000,11300000.000000,5500000.000000,-6700000.000000,,,,12500000.000000,11300000.000000,-381801.000000,999541.000000,617740.000000
12M 2018,4545049.000000,40089630.000000,-28661438.000000,-5378057.000000,,2722.000000,,,,,2722.000000,,-75039.000000,-1164227.000000,-268542.000000,-1507808.000000,4545049.000000,-2595447.000000,5334.000000,-2600781.000000,-2595447.000000,-2000000.000000,2000000.000000,-4000000.000000,,,,,-2000000.000000,-50398.000000,617740.000000,567342.000000
12M 2019,1293861.000000,40049774.000000,-29059557.000000,-5444260.000000,,3242.000000,,,,64057.000000,67299.000000,,-508802.000000,-1083689.000000,-2726904.000000,-4319395.000000,1293861.000000,-1883869.000000,52783.000000,-1936652.000000,-1883869.000000,1200000.000000,4500000.000000,-3300000.000000,,,,,1200000.000000,609992.000000,567342.000000,1177334.000000
12M 2020,-168839.000000,20520946.000000,-14436297.000000,-3889511.000000,,1288.000000,,,,,1288.000000,,,-415720.000000,-1949545.000000,-2365265.000000,-168839.000000,-531172.000000,99012.000000,-630184.000000,-531172.000000,-50152.000000,500000.000000,-500000.000000,-50152.000000,,,,-50152.000000,-750163.000000,1177334.000000,427171.000000
12M 2021,-2534929.000000,29803555.000000,-23135457.000000,-4675208.000000,,846.000000,,,,68810.000000,69656.000000,,-438631.000000,-348983.000000,-3809861.000000,-4597475.000000,-2534929.000000,-715719.000000,70491.000000,-786210.000000,-715719.000000,2934707.000000,8700000.000000,-8700000.000000,-65293.000000,,,3000000.000000,2934707.000000,-315941.000000,427171.000000,111230.000000
12M 2022,-3513991.000000,46990125.000000,-38925715.000000,-4811660.000000,,,,,,1227.000000,1227.000000,,,,-6767968.000000,-6767968.000000,-3513991.000000,-571561.000000,6203.000000,-577764.000000,-571561.000000,4283946.000000,9000000.000000,-4700000.000000,-16054.000000,,-1000000.000000,1000000.000000,4283946.000000,198394.000000,111230.000000,309624.000000
12M 2023,-186773.000000,36384895.000000,-26413452.000000,-5256015.000000,,,,,65640.000000,1412.000000,67052.000000,,-19789.000000,-2758429.000000,-2191035.000000,-4969253.000000,-186773.000000,-223052.000000,313169.000000,-536221.000000,-223052.000000,173124.000000,4000000.000000,-6200000.000000,-126876.000000,,-1500000.000000,4000000.000000,173124.000000,-236701.000000,309624.000000,72923.000000
