Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Penyesuaian Proforma,Operasi Yang Dihentikan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2014,34415061.000000,-29735422.000000,4679639.000000,-4064108.000000,-1987997.000000,-1995792.000000,-80319.000000,-4064108.000000,615531.000000,-303725.000000,26870.000000,-139767.000000,2141.000000,-192969.000000,,-303725.000000,311806.000000,,,,,311806.000000,,,311806.000000,-158073.000000,153733.000000,311806.000000,311806.000000,,311806.000000,153733.000000,153733.000000,,153733.000000
12M 2015,32937778.000000,-28653607.000000,4284171.000000,-4625878.000000,-2024714.000000,-2031173.000000,-569991.000000,-4625878.000000,-341707.000000,1721771.000000,2067690.000000,-170491.000000,2878.000000,-205011.000000,26705.000000,1721771.000000,1380064.000000,-97813.000000,,,-97813.000000,1282251.000000,,,1282251.000000,-7114.000000,1275137.000000,1282251.000000,1282251.000000,,1282251.000000,1275137.000000,1275137.000000,,1275137.000000
12M 2016,32069611.000000,-28645338.000000,3424273.000000,-4170994.000000,-1522247.000000,-2132773.000000,-515974.000000,-4170994.000000,-746721.000000,-149100.000000,136110.000000,-137423.000000,2391.000000,-291971.000000,141793.000000,-149100.000000,-895821.000000,-478029.000000,,,-478029.000000,-1373850.000000,,,-1373850.000000,-1554.000000,-1375404.000000,-1373850.000000,-1373850.000000,,-1373850.000000,-1375404.000000,-1375404.000000,,-1375404.000000
12M 2017,33141185.000000,-28906582.000000,4234603.000000,-4479792.000000,-1731840.000000,-2567938.000000,-180014.000000,-4479792.000000,-245189.000000,-909369.000000,-173482.000000,-159607.000000,2541.000000,-619993.000000,41172.000000,-909369.000000,-1154558.000000,-228248.000000,,,-228248.000000,-1382806.000000,,,-1382806.000000,-103099.000000,-1485905.000000,-1382806.000000,-1382806.000000,,-1382806.000000,-1485905.000000,-1485905.000000,,-1485905.000000
12M 2018,41276720.000000,-35911850.000000,5364870.000000,-4307480.000000,-1928881.000000,-2254512.000000,-124087.000000,-4307480.000000,1057390.000000,-738255.000000,3734.000000,44678.000000,2722.000000,-1164227.000000,374838.000000,-738255.000000,319135.000000,-524569.000000,,,-524569.000000,-205434.000000,,,-205434.000000,147691.000000,-57743.000000,-205434.000000,-205434.000000,,-205434.000000,-57743.000000,-57743.000000,,-57743.000000
12M 2019,38121024.000000,-34600413.000000,3520611.000000,-4254451.000000,-2086081.000000,-1953864.000000,-214506.000000,-4254451.000000,-733840.000000,-999530.000000,-14401.000000,-55986.000000,3242.000000,-1050311.000000,117926.000000,-999530.000000,-1733370.000000,-483119.000000,,,-483119.000000,-2216489.000000,,,-2216489.000000,133015.000000,-2083474.000000,-2216489.000000,-2216489.000000,,-2216489.000000,-2083474.000000,-2083474.000000,,-2083474.000000
12M 2020,18429539.000000,-20061617.000000,-1632078.000000,-2868911.000000,-1237232.000000,-1597364.000000,-34315.000000,-2868911.000000,-4500989.000000,-633017.000000,-47665.000000,-271927.000000,1288.000000,-394434.000000,79721.000000,-633017.000000,-5134006.000000,9538.000000,,,9538.000000,-5124468.000000,,,-5124468.000000,-77960.000000,-5202428.000000,-5124468.000000,-5124468.000000,,-5124468.000000,-5202428.000000,-5202428.000000,,-5202428.000000
12M 2021,33645215.000000,-33460975.000000,184240.000000,-4684821.000000,-2672972.000000,-1855159.000000,-156690.000000,-4684821.000000,-4500581.000000,-568748.000000,-203691.000000,-95462.000000,846.000000,-344394.000000,73953.000000,-568748.000000,-5069329.000000,-372727.000000,,,-372727.000000,-5442056.000000,,,-5442056.000000,-22576.000000,-5464632.000000,-5442056.000000,-5442056.000000,,-5442056.000000,-5464632.000000,-5464632.000000,,-5464632.000000
12M 2022,46361320.000000,-42826818.000000,3534502.000000,-4340687.000000,-2790283.000000,-1508476.000000,-41928.000000,-4340687.000000,-806185.000000,-1227658.000000,-851.000000,267637.000000,1227.000000,-1570476.000000,74805.000000,-1227658.000000,-2033843.000000,-12094.000000,,,-12094.000000,-2045937.000000,,,-2045937.000000,-43891.000000,-2089828.000000,-2045937.000000,-2045937.000000,,-2045937.000000,-2089828.000000,-2089828.000000,,-2089828.000000
12M 2023,33672172.000000,-32905819.000000,766353.000000,-3949094.000000,-2082301.000000,-1723020.000000,-143773.000000,-3949094.000000,-3182741.000000,-2429938.000000,54453.000000,115230.000000,1412.000000,-2757488.000000,156455.000000,-2429938.000000,-5612679.000000,-264.000000,,,-264.000000,-5612943.000000,,,-5612943.000000,-74484.000000,-5687427.000000,-5612943.000000,-5612943.000000,,-5612943.000000,-5687427.000000,-5687427.000000,,-5687427.000000
