Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Properti Investasi,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Adjustment,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2013,,,551398.000000,6551852.000000,5496201.000000,1055651.000000,6551852.000000,163626.000000,,,163626.000000,5393136.000000,820240.000000,13480252.000000,,,,17275917.000000,289423.000000,17565340.000000,31045592.000000,,,27578010.000000,8000000.000000,,2625837.000000,186511.000000,2812348.000000,,,,,75997.000000,1668502.000000,,15021163.000000,,15021163.000000,,27578010.000000,1882777.000000,,,,,,,1882777.000000,1882777.000000,29460787.000000,,18396572.000000,92800.000000,,,,,,-16904567.000000,1584805.000000,31045592.000000,3500000.000000
12M 2014,,,286106.000000,5926794.000000,5091309.000000,835485.000000,5926794.000000,139922.000000,,,139922.000000,5730856.000000,1468391.000000,13552069.000000,,,,16818108.000000,412118.000000,17230226.000000,30782295.000000,,,26923459.000000,22500000.000000,,1929760.000000,418427.000000,2348187.000000,,,,,66821.000000,1420725.000000,,,,,587726.000000,26923459.000000,2120298.000000,,,,,,,2120298.000000,2120298.000000,29043757.000000,,18396572.000000,92800.000000,,,,,,-16750834.000000,1738538.000000,30782295.000000,3500000.000000
12M 2015,,,618732.000000,5977077.000000,4512474.000000,1464603.000000,5977077.000000,95558.000000,,,95558.000000,5708326.000000,2316120.000000,14715813.000000,,,16807656.000000,,420663.000000,17228319.000000,31944132.000000,,,27130266.000000,22500000.000000,,1880545.000000,742768.000000,2623313.000000,,,,,68444.000000,1782470.000000,,,,,156039.000000,27130266.000000,2242948.000000,,,,,,,2242948.000000,2242948.000000,29373214.000000,,18396572.000000,92800.000000,,,,,,-15918454.000000,2570918.000000,31944132.000000,3500000.000000
12M 2016,,,999541.000000,6628986.000000,5672831.000000,956155.000000,6628986.000000,158167.000000,,,158167.000000,5135602.000000,3065462.000000,15987758.000000,,,21343629.000000,,1192989.000000,22536618.000000,38524376.000000,,,34521315.000000,27200000.000000,,2662804.000000,2379980.000000,5042784.000000,,,,,65916.000000,1651717.000000,,,,,560898.000000,34521315.000000,2807547.000000,,,,,,,2807547.000000,2807547.000000,37328862.000000,,18396572.000000,92800.000000,,,,,,-17293858.000000,1195514.000000,38524376.000000,70000000.000000
12M 2017,,,617740.000000,6612104.000000,5135750.000000,1476354.000000,6612104.000000,74470.000000,40045.000000,34425.000000,74470.000000,6222916.000000,4770556.000000,18297786.000000,,,29088266.000000,,745966.000000,29834232.000000,48132018.000000,,,32808570.000000,26000000.000000,,1354978.000000,2081503.000000,3436481.000000,,,,,66632.000000,1941793.000000,,,,,1363664.000000,32808570.000000,15613838.000000,,,,,,,15613838.000000,15613838.000000,48422408.000000,,18396572.000000,92800.000000,,,,,,-18779763.000000,-290391.000000,48132017.000000,70000000.000000
12M 2018,,,567342.000000,7799194.000000,4029689.000000,3769505.000000,7799194.000000,90726.000000,10499.000000,80227.000000,90726.000000,8116932.000000,2394108.000000,18968302.000000,,,27980714.000000,,543444.000000,28524158.000000,47492460.000000,,,32552834.000000,24000000.000000,,1334124.000000,4462516.000000,5796640.000000,,,,,50502.000000,1994486.000000,,,,,711206.000000,32552834.000000,15287760.000000,,,,,,,15287760.000000,15287760.000000,47840594.000000,,18396572.000000,92800.000000,,,,,,-18837506.000000,-348134.000000,47492460.000000,70000000.000000
12M 2019,,,1177334.000000,5870444.000000,4285740.000000,1584704.000000,5870444.000000,42390.000000,17171.000000,25219.000000,42390.000000,7659642.000000,1829232.000000,16579042.000000,,,26940030.000000,,385024.000000,27325054.000000,43904096.000000,,,31526933.000000,25200000.000000,,1108723.000000,3063543.000000,4172266.000000,,,,,38615.000000,1962566.000000,,,,,153486.000000,31526933.000000,14808771.000000,,,,,,,14808771.000000,14808771.000000,46335704.000000,,18396572.000000,92800.000000,,,,,,-20920980.000000,-2431608.000000,43904096.000000,70000000.000000
12M 2020,,,427171.000000,3779037.000000,2109658.000000,1669379.000000,3779037.000000,24816.000000,12182.000000,12634.000000,24816.000000,5949596.000000,1317851.000000,11498471.000000,,,24772611.000000,,345319.000000,25117930.000000,36616401.000000,,,41729369.000000,25200000.000000,,762994.000000,1434601.000000,2197595.000000,,,,,37757.000000,1474009.000000,,,,,12820008.000000,41729369.000000,2521068.000000,,,,,,,2521068.000000,2521068.000000,44250437.000000,,18396572.000000,92800.000000,,,,,,-26123408.000000,-7634036.000000,36616401.000000,70000000.000000
12M 2021,,,111230.000000,7620697.000000,4783112.000000,2837585.000000,7620697.000000,101018.000000,100344.000000,674.000000,101018.000000,7087283.000000,1975487.000000,16895715.000000,,,22735593.000000,,331808.000000,23067401.000000,39963116.000000,,,50400389.000000,25200000.000000,,1921066.000000,5281059.000000,7202125.000000,,,,,49113.000000,1927469.000000,,,,,16021682.000000,50400389.000000,2661395.000000,,,,,,,2661395.000000,2661395.000000,53061784.000000,,18396572.000000,92800.000000,,,,,,-31588040.000000,-13098668.000000,39963116.000000,70000000.000000
12M 2022,,,309624.000000,6991892.000000,3609709.000000,3382183.000000,6991892.000000,78428.000000,56096.000000,22332.000000,78428.000000,7957512.000000,3180709.000000,18518165.000000,,,20877512.000000,,406038.000000,21283550.000000,39801715.000000,,,52280478.000000,21500000.000000,,2308246.000000,2750699.000000,5058945.000000,,,,,83210.000000,1732698.000000,,,,,23905625.000000,52280478.000000,2304945.000000,,,,,,,2304945.000000,2304945.000000,54585423.000000,,18396572.000000,92800.000000,,,,,,-33273080.000000,-14783708.000000,39801715.000000,70000000.000000
