Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Untuk Operasional,Penghasilan (Beban) Lain Lain,Pendapatan Keuangan,Pembayaran Pajak Penghasilan - Neto,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Pihak Berelasi,Pembayaran Pihak Berelasi,Uang Muka Pembelian Tanah,Uang Muka Pembelian Aset,Biaya Akuisisi,Perolehan Aset Tetap,Perolehan Perangkat Lunak,Perolehan Aset Takberwujud,Pembayaran Dan Penambahan Aset Hak Guna,Penempatan Obligasi,Akuisisi Entitas Anak,Penambahan Investasi,Penempatan Uang Jaminan Dan Beban Emisi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Dividen,Penerimaan Utang Pinjaman Bank,Pembayaran Beban Emisi,Pembayaran Utang Pembiayaan Konsumen,Pembayaran Liabilitas Sewa,Setoran Modal - Masyarakat,Setoran Modal Di Entitas Anak,Tambahan Modal Disetor,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setra Kas Akhir Periode
12M 2019,1716531906.000000,15068536052.000000,-9297369022.000000,-2086027664.000000,-906921708.000000,,-31175105.000000,-1030510647.000000,1716531906.000000,-2480862778.000000,,-1434821433.000000,,,,-32801345.000000,,,,,,,-1013240000.000000,-2480862778.000000,,,,,,,,,,,-764330872.000000,236034944.000000,-528295928.000000
12M 2020,9924545782.000000,32066684267.000000,-16117467001.000000,-3175012852.000000,-643131124.000000,,-134961212.000000,-2071566296.000000,9924545782.000000,-4852508079.000000,,-1138137524.000000,,,,-3626734055.000000,,,,,,,-87636500.000000,-4852508079.000000,-3000000000.000000,-3000000000.000000,,,,,,,,-3000000000.000000,2072037703.000000,-528295928.000000,1543741775.000000
12M 2021,4851444073.000000,29076493870.000000,-14148934157.000000,-4455335958.000000,-3337057940.000000,,-12312649.000000,-2271409093.000000,4851444073.000000,-531360164.000000,15382552.000000,,,,,-396742716.000000,,,,,,,-150000000.000000,-531360164.000000,-5650000000.000000,-5050000000.000000,,,,-600000000.000000,,,,-5650000000.000000,-1329916091.000000,1543741774.000000,213825683.000000
12M 2022,5195060252.000000,27445094762.000000,-6859186752.000000,-7807231641.000000,-4442005730.000000,,-42654926.000000,-3098955461.000000,5195060252.000000,-17494193076.000000,1728337993.000000,,-5000000000.000000,,-10998900000.000000,-1836853491.000000,,,-1485599078.000000,,,,98821500.000000,-17494193076.000000,19597854114.000000,-5666000000.000000,,-1221070596.000000,-115075290.000000,,,10000000000.000000,16600000000.000000,19597854114.000000,7298721290.000000,213825682.000000,7512546972.000000
12M 2023,-14219793056.000000,23227815640.000000,-10663189012.000000,-10395010729.000000,-16267252469.000000,,1153307694.000000,-1275464180.000000,-14219793056.000000,-32682784560.000000,-301594104.000000,,5000000000.000000,,,-22256964044.000000,,-13969404079.000000,-1154822333.000000,,,,,-32682784560.000000,68844618775.000000,,,-3625695177.000000,-639686048.000000,-1890000000.000000,,,75000000000.000000,68844618775.000000,21942041159.000000,7512546972.000000,29454588131.000000
12M 2024,-8280816575.000000,41849448564.000000,-30480176546.000000,-12419466536.000000,-7125815347.000000,,1030265124.000000,-1135071834.000000,-8280816575.000000,-9698023176.000000,-2410000000.000000,,,,,-3723599485.000000,,-3564423691.000000,,,,,,-9698023176.000000,-312672701.000000,,,,-312672701.000000,,,,,-312672701.000000,-18291512452.000000,29454588131.000000,11163075679.000000
