Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Laba Pra Akuisisi,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2019,18418651591.000000,-10205797339.000000,8212854252.000000,-3884943362.000000,-3884943362.000000,-3884943362.000000,4327910890.000000,-31175105.000000,-31175105.000000,-31175105.000000,4296735785.000000,-1030126106.000000,-1050360852.000000,20234746.000000,-1030126106.000000,,3266609679.000000,,3266609679.000000,3266609679.000000,3266609679.000000,,,3266609679.000000,3266609679.000000,3266609679.000000,,3266609679.000000
12M 2020,31453729934.000000,-17926939127.000000,13526790807.000000,-5680164098.000000,-5680164098.000000,-5680164098.000000,7846626709.000000,355176.000000,355176.000000,355176.000000,7846981885.000000,-1897685343.000000,-1929428019.000000,31742676.000000,-1897685343.000000,,7084612930.000000,-17788751.000000,7066824179.000000,7084612929.000000,7084612929.000000,,,7084612929.000000,7066824179.000000,7066824179.000000,,7066824179.000000
12M 2021,28490868701.000000,-11788457777.000000,16702410924.000000,-8571648958.000000,-8571648958.000000,-8571648958.000000,8130761966.000000,-13026351.000000,-13026351.000000,-13026351.000000,8117735615.000000,-2329060509.000000,-2413428700.000000,84368191.000000,-2329060509.000000,,9315659052.000000,14137099.000000,9329796151.000000,9315659052.000000,9315659052.000000,,,9315659052.000000,9329796151.000000,9329796151.000000,,9329796151.000000
12M 2022,27206600029.000000,-8865753173.000000,18340846856.000000,-12938962380.000000,-12938962380.000000,-12938962380.000000,5401884476.000000,-54642544.000000,-54642544.000000,-54642544.000000,5347241932.000000,-2046481099.000000,-2047958387.000000,1477288.000000,-2046481099.000000,,7448178051.000000,-302490870.000000,7145687181.000000,7448178051.000000,7448146209.000000,31842.000000,,7448178051.000000,7145687181.000000,7145686978.000000,203.000000,7145687181.000000
12M 2023,31792536857.000000,-11576831518.000000,20215705339.000000,-19481404415.000000,-19481404415.000000,-19481404415.000000,734300924.000000,1020630890.000000,1020630890.000000,1020630890.000000,1754931814.000000,-1130035645.000000,-1325842322.000000,195806677.000000,-1130035645.000000,,624896169.000000,-206707981.000000,418188188.000000,624896169.000000,624962293.000000,-66124.000000,,624896169.000000,418188188.000000,418259890.000000,-71702.000000,418188188.000000
12M 2024,42043116105.000000,-18938484555.000000,23104631550.000000,-22087615674.000000,-22087615674.000000,-22087615674.000000,1017015876.000000,1030265124.000000,1030265124.000000,1030265124.000000,2047281000.000000,-1142749964.000000,-1321440435.000000,178690471.000000,-1142749964.000000,,904531036.000000,870461532.000000,1774992568.000000,904531036.000000,664181414.000000,240349622.000000,,904531036.000000,1774992568.000000,1534628716.000000,240363852.000000,1774992568.000000
