Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,,,,,9.48,,0.29,,,0.0
12M 2009,,,,,,,,,8.46,8.08,0.32,0.33,,,0.0
12M 2010,,,,,,,,,7.72,6.77,0.33,0.27,,,0.0
12M 2011,,,,,,,,,8.49,8.35,0.34,0.31,,,0.0
12M 2012,,,,,,,,,9.41,9.66,0.33,0.32,,,0.0
12M 2013,,,,,,,,,10.68,10.59,0.36,0.36,,,0.0
12M 2014,,,,,,,,,11.24,11.37,0.35,0.33,,,0.0
12M 2015,,,,,,,,,11.4,11.02,0.36,0.36,,,0.0
12M 2016,,,,,,,,,9.49,9.37,0.36,0.4,,,0.0
12M 2017,,,,,,,,,9.19,9.35,0.42,0.45,,,0.0
12M 2018,,,,,,,,,9.09,8.81,0.43,0.41,,,0.0
12M 2019,,,,,,,,,10.33,10.29,0.42,0.38,,,0.0
12M 2020,,,,,,,,,9.03,9.2,0.35,0.38,,,0.0
12M 2021,,,,,,,,,10.14,10.46,0.37,0.35,,,0.0
12M 2022,,,,,,,,,12.7,12.54,0.37,0.34,,,0.0
12M 2023,,,,,,,,,11.68,11.04,0.33,0.33,,,0.0
12M 2024,,,,,,,,,11.61,11.52,0.36,0.36,,,0.0
