Period,Aset,Kas Dan Setara Kas,Others,Total Kas Dan Setara Kas,Piutang Pembiayaan Konsumen,Pihak Ketiga,Others,Total Pihak Ketiga,Total Piutang Pembiayaan Konsumen,Piutang Lain-Lain,Pihak Ketiga,Total Piutang Lain-Lain,Piutang Pihak Berelasi,Aset Pajak Tangguhan,Aset Tetap,Aset Tak Berwujud,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Utang Bank,Medium Term Notes,Utang Obligasi,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Sewa Pembiayaan,Liabilitas Derivatif,Beban Akrual,Sukuk Mudharabah,Utang Lain-Lain,Utang Pajak,Liabilitas Pajak Tangguhan,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,93061486082.000000,93061486082.000000,,1932979472824.000000,1932979472824.000000,1932979472824.000000,1932979472824.000000,,5192371860.000000,5192371860.000000,1487117634.000000,,71340006706.000000,,107542878714.000000,2211603333820.000000,,,1743761085733.000000,,,8862485668.000000,8777060668.000000,85425000.000000,8862485668.000000,3474828214.000000,,8134379709.000000,,5196307064.000000,20869263122.000000,16636530097.000000,8230809341.000000,1815165688948.000000,,132500000000.000000,27277374756.000000,236660270116.000000,2100000000.000000,234560270116.000000,236660270116.000000,,396437644872.000000,2211603333820.000000,1325000000.000000
12M 2009,,,106811905105.000000,106811905105.000000,,1796239272992.000000,1796239272992.000000,1796239272992.000000,1796239272992.000000,,2799776312.000000,2799776312.000000,783769634.000000,,87620808675.000000,,63447564119.000000,2057703096837.000000,,,1512250262640.000000,,,18590471442.000000,18386556442.000000,203915000.000000,18590471442.000000,8265856342.000000,,8940253498.000000,,7966858556.000000,4761202113.000000,15368422825.000000,8604969211.000000,1584748296627.000000,,132500000000.000000,27277374756.000000,313177425454.000000,3100000000.000000,310077425454.000000,313177425454.000000,,472954800210.000000,2057703096837.000000,1325000000.000000
12M 2010,,,72463771876.000000,72463771876.000000,,2857548546157.000000,2857548546157.000000,2857548546157.000000,2857548546157.000000,,3561203086.000000,3561203086.000000,485852334.000000,,133712799500.000000,,61143991356.000000,3128916164309.000000,,,2444250242502.000000,,,42013650881.000000,41257640881.000000,756010000.000000,42013650881.000000,7664234300.000000,,9379637819.000000,,5157370816.000000,13567719075.000000,12795171964.000000,10062695764.000000,2544890723121.000000,,132500000000.000000,27277374756.000000,424248066432.000000,4100000000.000000,420148066432.000000,424248066432.000000,,584025441188.000000,3128916164309.000000,1325000000.000000
12M 2011,,,76088000000.000000,76088000000.000000,,3497049000000.000000,3497049000000.000000,3497049000000.000000,3497049000000.000000,,3570000000.000000,3570000000.000000,244000000.000000,,141890000000.000000,,63573000000.000000,3782414000000.000000,,,2857900000000.000000,114622000000.000000,,31712000000.000000,29900000000.000000,1812000000.000000,31712000000.000000,5299000000.000000,4125000000.000000,7234000000.000000,,1829000000.000000,17556000000.000000,6937000000.000000,10664000000.000000,3057878000000.000000,,132500000000.000000,27277000000.000000,564759000000.000000,5100000000.000000,559659000000.000000,564759000000.000000,,724536000000.000000,3782414000000.000000,1325000000.000000
12M 2012,,,96845000000.000000,96845000000.000000,,3744786000000.000000,3744786000000.000000,3744786000000.000000,3744786000000.000000,,5356000000.000000,5356000000.000000,69000000.000000,,132620000000.000000,,83090000000.000000,4062766000000.000000,,,2832610000000.000000,76397000000.000000,98801000000.000000,97362000000.000000,94918000000.000000,2444000000.000000,97362000000.000000,4810000000.000000,5485000000.000000,22783000000.000000,,4104000000.000000,17037000000.000000,3109000000.000000,11790000000.000000,3174288000000.000000,,132500000000.000000,27277000000.000000,728701000000.000000,26500000000.000000,702201000000.000000,728701000000.000000,,888478000000.000000,4062766000000.000000,1325000000.000000
12M 2013,,,124271000000.000000,124271000000.000000,,3587134000000.000000,3587134000000.000000,3587134000000.000000,3587134000000.000000,,1432000000.000000,1432000000.000000,,,134450000000.000000,,119071000000.000000,3966358000000.000000,,,2683171000000.000000,38259000000.000000,9927000000.000000,57972000000.000000,56641000000.000000,1331000000.000000,57972000000.000000,1148000000.000000,374000000.000000,12360000000.000000,,8991000000.000000,11007000000.000000,5437000000.000000,12168000000.000000,2840814000000.000000,,132500000000.000000,27277000000.000000,965767000000.000000,26500000000.000000,939267000000.000000,965767000000.000000,,1125544000000.000000,3966358000000.000000,1325000000.000000
12M 2014,,,80275000000.000000,80275000000.000000,,4431350000000.000000,4431350000000.000000,4431350000000.000000,4431350000000.000000,,1170000000.000000,1170000000.000000,,,140728000000.000000,,152067000000.000000,4805590000000.000000,,,2915632000000.000000,99895000000.000000,215297000000.000000,97696000000.000000,93825000000.000000,3871000000.000000,97696000000.000000,,2922000000.000000,16722000000.000000,,15889000000.000000,22366000000.000000,3604000000.000000,14368000000.000000,3404391000000.000000,,132500000000.000000,27277000000.000000,1241422000000.000000,26500000000.000000,1214922000000.000000,1241422000000.000000,,1401199000000.000000,4805590000000.000000,1325000000.000000
12M 2015,,,72034000000.000000,72034000000.000000,,4227900000000.000000,4227900000000.000000,4227900000000.000000,4227900000000.000000,,4476000000.000000,4476000000.000000,,7165000000.000000,157501000000.000000,,126065000000.000000,4595141000000.000000,,,2211303000000.000000,69963000000.000000,560985000000.000000,54584000000.000000,53681000000.000000,903000000.000000,54584000000.000000,,255000000.000000,33039000000.000000,,19615000000.000000,13309000000.000000,,37703000000.000000,3000756000000.000000,,132500000000.000000,27277000000.000000,1462666000000.000000,26500000000.000000,1436166000000.000000,1462666000000.000000,-28058000000.000000,1594385000000.000000,4595141000000.000000,1325000000.000000
12M 2016,,,58592000000.000000,58592000000.000000,,3263919000000.000000,3263919000000.000000,3263919000000.000000,3263919000000.000000,,6682000000.000000,6682000000.000000,,11429000000.000000,155405000000.000000,,66208000000.000000,3562235000000.000000,,,1245934000000.000000,,331027000000.000000,45031000000.000000,44075000000.000000,956000000.000000,45031000000.000000,,96000000.000000,53511000000.000000,,16581000000.000000,11871000000.000000,,44758000000.000000,1748809000000.000000,,132500000000.000000,27277000000.000000,1692775000000.000000,26500000000.000000,1666275000000.000000,1692775000000.000000,-39126000000.000000,1813426000000.000000,3562235000000.000000,1325000000.000000
12M 2017,,,64472000000.000000,64472000000.000000,,2910103000000.000000,2910103000000.000000,2910103000000.000000,2910103000000.000000,,9706000000.000000,9706000000.000000,,16382000000.000000,154549000000.000000,2917000000.000000,57056000000.000000,3215185000000.000000,,,979419000000.000000,,124806000000.000000,52811000000.000000,51532000000.000000,1279000000.000000,52811000000.000000,,,15694000000.000000,,20843000000.000000,28394000000.000000,,59244000000.000000,1281211000000.000000,,132500000000.000000,27329000000.000000,1826957000000.000000,26500000000.000000,1800457000000.000000,1826957000000.000000,-52812000000.000000,1933974000000.000000,3215185000000.000000,1325000000.000000
12M 2018,,,60132000000.000000,60132000000.000000,,3282081000000.000000,3282081000000.000000,3282081000000.000000,3282081000000.000000,,24754000000.000000,24754000000.000000,,20410000000.000000,170262000000.000000,1536000000.000000,62489000000.000000,3621664000000.000000,,,912024000000.000000,,446884000000.000000,63989000000.000000,61712000000.000000,2277000000.000000,63989000000.000000,,,27760000000.000000,,16828000000.000000,25209000000.000000,,68303000000.000000,1560997000000.000000,,132500000000.000000,27329000000.000000,1961553000000.000000,26500000000.000000,1935053000000.000000,1961553000000.000000,-60715000000.000000,2060667000000.000000,3621664000000.000000,2650000000.000000
12M 2019,,,54272000000.000000,54272000000.000000,,4402457000000.000000,4402457000000.000000,4402457000000.000000,4402457000000.000000,,20745000000.000000,20745000000.000000,,25686000000.000000,167840000000.000000,2269000000.000000,52885000000.000000,4726154000000.000000,,,1379191000000.000000,,772695000000.000000,95523000000.000000,92647000000.000000,2876000000.000000,95523000000.000000,,,50170000000.000000,,14449000000.000000,49875000000.000000,,86356000000.000000,2448259000000.000000,,132500000000.000000,27329000000.000000,2206137000000.000000,26500000000.000000,2179637000000.000000,2206137000000.000000,-88071000000.000000,2277895000000.000000,4726154000000.000000,2650000000.000000
12M 2020,,,476595000000.000000,476595000000.000000,,3454379000000.000000,3454379000000.000000,3454379000000.000000,3454379000000.000000,,22192000000.000000,22192000000.000000,,37750000000.000000,177857000000.000000,3968000000.000000,37652000000.000000,4210393000000.000000,,,787278000000.000000,,837565000000.000000,65342000000.000000,62392000000.000000,2950000000.000000,65342000000.000000,,,38274000000.000000,,38008000000.000000,31226000000.000000,,77728000000.000000,1875421000000.000000,,132500000000.000000,27329000000.000000,2258807000000.000000,26500000000.000000,2232307000000.000000,2258807000000.000000,-83664000000.000000,2334972000000.000000,4210393000000.000000,2650000000.000000
12M 2021,,,627398000000.000000,627398000000.000000,,4439797000000.000000,4439797000000.000000,4439797000000.000000,4439797000000.000000,,28784000000.000000,28784000000.000000,,35799000000.000000,173343000000.000000,11914000000.000000,28261000000.000000,5345296000000.000000,,,869331000000.000000,,1086411000000.000000,59459000000.000000,58530000000.000000,929000000.000000,59459000000.000000,,,45433000000.000000,347629000000.000000,43422000000.000000,72348000000.000000,,58314000000.000000,2582347000000.000000,,132500000000.000000,27329000000.000000,2693708000000.000000,26500000000.000000,2667208000000.000000,2693708000000.000000,-90588000000.000000,2762949000000.000000,5345296000000.000000,2650000000.000000
12M 2022,,,1511938000000.000000,1511938000000.000000,,4742659000000.000000,4742659000000.000000,4742659000000.000000,4742659000000.000000,,38353000000.000000,38353000000.000000,,35008000000.000000,175704000000.000000,19919000000.000000,44806000000.000000,6568387000000.000000,,,1872260000000.000000,,513001000000.000000,50139000000.000000,49462000000.000000,677000000.000000,50139000000.000000,,3371000000.000000,57249000000.000000,647037000000.000000,58011000000.000000,79399000000.000000,,51976000000.000000,3332443000000.000000,,132500000000.000000,27329000000.000000,3158772000000.000000,26500000000.000000,3132272000000.000000,3158772000000.000000,-82657000000.000000,3235944000000.000000,6568387000000.000000,2650000000.000000
12M 2023,,,1358700000000.000000,1358700000000.000000,,4936039000000.000000,4936039000000.000000,4936039000000.000000,4936039000000.000000,,43913000000.000000,43913000000.000000,,42885000000.000000,203252000000.000000,31524000000.000000,47263000000.000000,6663576000000.000000,,,1763811000000.000000,,499215000000.000000,80420000000.000000,79441000000.000000,979000000.000000,80420000000.000000,,6424000000.000000,41848000000.000000,693580000000.000000,78525000000.000000,49983000000.000000,,53340000000.000000,3267146000000.000000,,132500000000.000000,27329000000.000000,3316682000000.000000,26500000000.000000,3290182000000.000000,3316682000000.000000,-80081000000.000000,3396430000000.000000,6663576000000.000000,2650000000.000000
12M 2024,,,405361000000.000000,405361000000.000000,,5877637000000.000000,5877637000000.000000,5877637000000.000000,5877637000000.000000,,30808000000.000000,30808000000.000000,,81566000000.000000,205060000000.000000,48523000000.000000,35625000000.000000,6684580000000.000000,,,1972426000000.000000,,,91671000000.000000,91671000000.000000,,91671000000.000000,,,51179000000.000000,395529000000.000000,78839000000.000000,108937000000.000000,,91569000000.000000,2790150000000.000000,,133844000000.000000,143485000000.000000,3714846000000.000000,26500000000.000000,3688346000000.000000,3714846000000.000000,-97745000000.000000,3894430000000.000000,6684580000000.000000,2676887872.000000
