Period,Total Pendapatan,Pendapatan Pembiayaan Konsumen,Pendapatan Bunga,Others,Total Pendapatan,Total Beban Usaha,Beban Tenaga Kerja,Beban Umum Dan Administrasi,Pembentukan Cadangan Kerugian Penurunan Nilai,Beban Penyusutan,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,644137065145.000000,625039781533.000000,2164503403.000000,16932780209.000000,644137065145.000000,-290603071716.000000,-127482184242.000000,-74134287737.000000,-38214681000.000000,-10790105581.000000,-39981813156.000000,-290603071716.000000,353533993429.000000,-207119066283.000000,-207119066283.000000,-207119066283.000000,146414927146.000000,-41106926731.000000,-39910541300.000000,-1196385431.000000,-41106926731.000000,105308000415.000000,,,,,105308000415.000000,105308000415.000000,,105308000415.000000,,,,
12M 2009,672495019240.000000,636556223787.000000,2220559872.000000,33718235581.000000,672495019240.000000,-315302392068.000000,-153451363474.000000,-82199990817.000000,-14539120400.000000,-14711703289.000000,-50400214088.000000,-315302392068.000000,357192627172.000000,-209005383506.000000,-209005383506.000000,-209005383506.000000,148187243666.000000,-40082088328.000000,-41350195600.000000,1268107272.000000,-40082088328.000000,108105155338.000000,,,,,108105155338.000000,108105155338.000000,,108105155338.000000,,,,
12M 2010,853891053005.000000,843388644618.000000,884178496.000000,9618229891.000000,853891053005.000000,-426746656158.000000,-222101673836.000000,-113112012678.000000,-33459086666.000000,-19533670749.000000,-38540212229.000000,-426746656158.000000,427144396847.000000,-250248000384.000000,-250248000384.000000,-250248000384.000000,176896396463.000000,-44233778890.000000,-46807029750.000000,2573250860.000000,-44233778890.000000,132662617573.000000,,,,,132662617573.000000,132662617573.000000,,132662617573.000000,,,,
12M 2011,1170319000000.000000,1167805000000.000000,782000000.000000,1732000000.000000,1170319000000.000000,-565344000000.000000,-281419000000.000000,-135275000000.000000,-55166000000.000000,-24090000000.000000,-69394000000.000000,-565344000000.000000,604975000000.000000,-364198000000.000000,-364198000000.000000,-364198000000.000000,240777000000.000000,-60516000000.000000,-66374000000.000000,5858000000.000000,-60516000000.000000,180261000000.000000,,,,180261000000.000000,180261000000.000000,180261000000.000000,,180261000000.000000,180261000000.000000,180261000000.000000,,180261000000.000000
12M 2012,1291914000000.000000,1277938000000.000000,380000000.000000,13596000000.000000,1291914000000.000000,-636358000000.000000,-347484000000.000000,-144467000000.000000,-23987000000.000000,-30257000000.000000,-90163000000.000000,-636358000000.000000,655556000000.000000,-364171000000.000000,-364171000000.000000,-364171000000.000000,291385000000.000000,-73383000000.000000,-77211000000.000000,3828000000.000000,-73383000000.000000,218002000000.000000,,,,218002000000.000000,218002000000.000000,218002000000.000000,,218002000000.000000,218002000000.000000,218002000000.000000,,218002000000.000000
12M 2013,1426536000000.000000,1397033000000.000000,942000000.000000,28561000000.000000,1426536000000.000000,-763500000000.000000,-388794000000.000000,-156658000000.000000,-35855000000.000000,-28247000000.000000,-153946000000.000000,-763500000000.000000,663036000000.000000,-317080000000.000000,-317080000000.000000,-317080000000.000000,345956000000.000000,-87027000000.000000,-84699000000.000000,-2328000000.000000,-87027000000.000000,258929000000.000000,,,,258929000000.000000,258929000000.000000,258929000000.000000,,258929000000.000000,258929000000.000000,258929000000.000000,,258929000000.000000
12M 2014,1546600000000.000000,1538164000000.000000,4340000000.000000,4096000000.000000,1546600000000.000000,-814780000000.000000,-433623000000.000000,-185820000000.000000,-60078000000.000000,-25916000000.000000,-109343000000.000000,-814780000000.000000,731820000000.000000,-329587000000.000000,-329587000000.000000,-329587000000.000000,402233000000.000000,-100740000000.000000,-102573000000.000000,1833000000.000000,-100740000000.000000,301493000000.000000,,,,301493000000.000000,301493000000.000000,301493000000.000000,,301493000000.000000,301493000000.000000,301493000000.000000,,301493000000.000000
12M 2015,1700357000000.000000,1679793000000.000000,4324000000.000000,16240000000.000000,1700357000000.000000,-974460000000.000000,-509238000000.000000,-230431000000.000000,-82122000000.000000,,-152669000000.000000,-974460000000.000000,725897000000.000000,-396460000000.000000,-396460000000.000000,-396460000000.000000,329437000000.000000,-82873000000.000000,-86006000000.000000,3133000000.000000,-82873000000.000000,246564000000.000000,-8259000000.000000,-8259000000.000000,-8259000000.000000,238305000000.000000,246564000000.000000,246564000000.000000,,246564000000.000000,238305000000.000000,238305000000.000000,,238305000000.000000
12M 2016,1484312000000.000000,1448137000000.000000,3588000000.000000,32587000000.000000,1484312000000.000000,-876842000000.000000,-528868000000.000000,-217481000000.000000,-68194000000.000000,,-62299000000.000000,-876842000000.000000,607470000000.000000,-268503000000.000000,-268503000000.000000,-268503000000.000000,338967000000.000000,-83683000000.000000,-84258000000.000000,575000000.000000,-83683000000.000000,255284000000.000000,-11068000000.000000,-11068000000.000000,-11068000000.000000,244216000000.000000,255284000000.000000,255284000000.000000,,255284000000.000000,244216000000.000000,244216000000.000000,,244216000000.000000
12M 2017,1424616000000.000000,1398092000000.000000,1197000000.000000,25327000000.000000,1424616000000.000000,-831932000000.000000,-495104000000.000000,-217916000000.000000,-81061000000.000000,,-37851000000.000000,-831932000000.000000,592684000000.000000,-151041000000.000000,-151041000000.000000,-151041000000.000000,441643000000.000000,-108711000000.000000,-109102000000.000000,391000000.000000,-108711000000.000000,332932000000.000000,-13686000000.000000,-13686000000.000000,-13686000000.000000,319246000000.000000,332932000000.000000,332932000000.000000,,332932000000.000000,319246000000.000000,319246000000.000000,,319246000000.000000
12M 2018,1476141000000.000000,1448383000000.000000,1993000000.000000,25765000000.000000,1476141000000.000000,-897179000000.000000,-532225000000.000000,-226721000000.000000,-99672000000.000000,,-38561000000.000000,-897179000000.000000,578962000000.000000,-133358000000.000000,-133358000000.000000,-133358000000.000000,445604000000.000000,-112258000000.000000,-112258000000.000000,,-112258000000.000000,333346000000.000000,-7903000000.000000,-7903000000.000000,-7903000000.000000,325443000000.000000,333346000000.000000,333346000000.000000,,333346000000.000000,325443000000.000000,325443000000.000000,,325443000000.000000
12M 2019,1745719000000.000000,1724267000000.000000,950000000.000000,20502000000.000000,1745719000000.000000,-1046245000000.000000,-576641000000.000000,-241280000000.000000,-161139000000.000000,,-67185000000.000000,-1046245000000.000000,699474000000.000000,-185614000000.000000,-185614000000.000000,-185614000000.000000,513860000000.000000,-136776000000.000000,-136776000000.000000,,-136776000000.000000,377084000000.000000,-27356000000.000000,-27356000000.000000,-27356000000.000000,349728000000.000000,377084000000.000000,377084000000.000000,,377084000000.000000,349728000000.000000,349728000000.000000,,349728000000.000000
12M 2020,1561215000000.000000,1515488000000.000000,6136000000.000000,39591000000.000000,1561215000000.000000,-1121225000000.000000,-507897000000.000000,-198567000000.000000,-330995000000.000000,,-83766000000.000000,-1121225000000.000000,439990000000.000000,-206504000000.000000,-206504000000.000000,-206504000000.000000,233486000000.000000,-59089000000.000000,-59089000000.000000,,-59089000000.000000,174397000000.000000,4407000000.000000,4407000000.000000,4407000000.000000,178804000000.000000,174397000000.000000,174397000000.000000,,174397000000.000000,178804000000.000000,178804000000.000000,,178804000000.000000
12M 2021,1780314000000.000000,1736156000000.000000,9635000000.000000,34523000000.000000,1780314000000.000000,-980091000000.000000,-413035000000.000000,-218447000000.000000,-273036000000.000000,,-75573000000.000000,-980091000000.000000,800223000000.000000,-186185000000.000000,-186185000000.000000,-186185000000.000000,614038000000.000000,-128787000000.000000,-128787000000.000000,,-128787000000.000000,485251000000.000000,-6924000000.000000,-6924000000.000000,-6924000000.000000,478327000000.000000,485251000000.000000,485251000000.000000,,485251000000.000000,478327000000.000000,478327000000.000000,,478327000000.000000
12M 2022,2217170000000.000000,2124612000000.000000,21522000000.000000,71036000000.000000,2217170000000.000000,-1109522000000.000000,-517076000000.000000,-265463000000.000000,-236900000000.000000,,-90083000000.000000,-1109522000000.000000,1107648000000.000000,-268471000000.000000,-268471000000.000000,-268471000000.000000,839177000000.000000,-180663000000.000000,-180663000000.000000,,-180663000000.000000,658514000000.000000,7931000000.000000,7931000000.000000,7931000000.000000,666445000000.000000,658514000000.000000,658514000000.000000,,658514000000.000000,666445000000.000000,666445000000.000000,,666445000000.000000
12M 2023,2212859000000.000000,2106767000000.000000,63831000000.000000,42261000000.000000,2212859000000.000000,-1375212000000.000000,-566853000000.000000,-314462000000.000000,-386470000000.000000,,-107427000000.000000,-1375212000000.000000,837647000000.000000,-310369000000.000000,-310369000000.000000,-310369000000.000000,527278000000.000000,-104368000000.000000,-104368000000.000000,,-104368000000.000000,422910000000.000000,2576000000.000000,2576000000.000000,2576000000.000000,425486000000.000000,422910000000.000000,422910000000.000000,,422910000000.000000,425486000000.000000,425486000000.000000,,425486000000.000000
12M 2024,2370344000000.000000,2266828000000.000000,30894000000.000000,72622000000.000000,2370344000000.000000,-1476596000000.000000,-580957000000.000000,-378028000000.000000,-399710000000.000000,,-117901000000.000000,-1476596000000.000000,893748000000.000000,-225687000000.000000,-225687000000.000000,-225687000000.000000,668061000000.000000,-152397000000.000000,-152397000000.000000,,-152397000000.000000,515664000000.000000,-17664000000.000000,-17664000000.000000,-17664000000.000000,498000000000.000000,515664000000.000000,515664000000.000000,,515664000000.000000,498000000000.000000,498000000000.000000,,498000000000.000000
