Period,Total Pendapatan,Premi Bruto,Premi Reasuransi,Penurunan (Kenaikan) Premi Yang Belum Merupakan Pendapatan,Hasil Investasi,Total Pendapatan,Total Beban Usaha,Klaim Bruto,Klaim Reasuransi,Kenaikan Manfaat Polis Masa Depan,Beban Komisi,Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,96998596000.000000,157062293000.000000,-90094737000.000000,6541970000.000000,23489070000.000000,96998596000.000000,-85058695000.000000,-77444398000.000000,30591620000.000000,14094499000.000000,-16151204000.000000,-36149212000.000000,,,-36149212000.000000,-85058695000.000000,11939901000.000000,3409880000.000000,,,3409880000.000000,3409880000.000000,15349781000.000000,-9381645000.000000,-31200000.000000,-9350445000.000000,-9381645000.000000,5968136000.000000,-113000.000000,5968023000.000000,,,,,5968023000.000000,5968136000.000000,-113000.000000,5968023000.000000,,,,
12M 2009,78595162000.000000,145090967000.000000,-88373469000.000000,3234087000.000000,18643577000.000000,78595162000.000000,-82666923000.000000,-155564044000.000000,118047082000.000000,12498851000.000000,-13986366000.000000,-43662446000.000000,,,-43662446000.000000,-82666923000.000000,-4071761000.000000,1537655000.000000,,,1537655000.000000,1537655000.000000,-2534106000.000000,6170840000.000000,-31200000.000000,6202040000.000000,6170840000.000000,3636734000.000000,-107000.000000,3636627000.000000,,,,,3636627000.000000,3636734000.000000,-107000.000000,3636627000.000000,,,,
12M 2010,79000596000.000000,168247460000.000000,-84057829000.000000,-11523220000.000000,6334185000.000000,79000596000.000000,-88105032000.000000,-105684085000.000000,81835404000.000000,-2944105000.000000,-12650449000.000000,-48661797000.000000,,,-48661797000.000000,-88105032000.000000,-9104436000.000000,3387237000.000000,,,3387237000.000000,3387237000.000000,-5717199000.000000,8393976000.000000,-36994000.000000,8430970000.000000,8393976000.000000,2676777000.000000,-198000.000000,2676579000.000000,,,,,2676579000.000000,2676777000.000000,-198000.000000,2676579000.000000,,,,
12M 2011,104625630000.000000,190598149000.000000,-92325105000.000000,-5216858000.000000,11569444000.000000,104625630000.000000,-100211125000.000000,-76130125000.000000,39253032000.000000,834212000.000000,-13691717000.000000,-50476527000.000000,,,-50476527000.000000,-100211125000.000000,4414505000.000000,5130791000.000000,,,5130791000.000000,5130791000.000000,9545296000.000000,-426077000.000000,-31200000.000000,-394877000.000000,-426077000.000000,9119219000.000000,,9119219000.000000,731079000.000000,731079000.000000,731079000.000000,9850298000.000000,9119219000.000000,9119000000.000000,219000.000000,9119219000.000000,9850298000.000000,9850079000.000000,219000.000000,9850298000.000000
12M 2012,152889788000.000000,239282446000.000000,-87941958000.000000,-15034125000.000000,16583425000.000000,152889788000.000000,-123051642000.000000,-78269722000.000000,35331801000.000000,264209000.000000,-19357503000.000000,-61020427000.000000,,,-61020427000.000000,-123051642000.000000,29838146000.000000,2788300000.000000,,,2788300000.000000,2788300000.000000,32626446000.000000,-6335721000.000000,-31200000.000000,-6304521000.000000,-6335721000.000000,26290725000.000000,,26290725000.000000,1796909000.000000,1796909000.000000,1796909000.000000,28087634000.000000,26290725000.000000,26290552000.000000,173000.000000,26290725000.000000,28087634000.000000,28087461000.000000,173000.000000,28087634000.000000
12M 2013,163144488000.000000,226262405000.000000,-75413279000.000000,-909133000.000000,13204495000.000000,163144488000.000000,-146526961000.000000,-82549673000.000000,37435995000.000000,-14176843000.000000,-11272010000.000000,-75964430000.000000,,,-75964430000.000000,-146526961000.000000,16617527000.000000,6873091000.000000,,,6873091000.000000,6873091000.000000,23490618000.000000,-3698545000.000000,-447964000.000000,-3250581000.000000,-3698545000.000000,19792073000.000000,,19792073000.000000,-5890448000.000000,-5890448000.000000,-5890448000.000000,13901625000.000000,19792073000.000000,19791807000.000000,266000.000000,19792073000.000000,13901625000.000000,13901359000.000000,266000.000000,13901625000.000000
12M 2014,145258585000.000000,261815474000.000000,-119323099000.000000,-10551590000.000000,13317800000.000000,145258585000.000000,-134232039000.000000,-78902568000.000000,37844545000.000000,210034000.000000,-10275726000.000000,-83108324000.000000,,,-83108324000.000000,-134232039000.000000,11026546000.000000,3106174000.000000,,,3106174000.000000,3106174000.000000,14132720000.000000,-4291145000.000000,-4604615000.000000,313470000.000000,-4291145000.000000,9841575000.000000,,9841575000.000000,4307825000.000000,4307825000.000000,4307825000.000000,14149400000.000000,9841575000.000000,9841256000.000000,319000.000000,9841575000.000000,14149400000.000000,14149081000.000000,319000.000000,14149400000.000000
12M 2015,203177755000.000000,309215380000.000000,-110899120000.000000,-22012900000.000000,26874395000.000000,203177755000.000000,-175342578000.000000,-78238920000.000000,32856267000.000000,-9022486000.000000,-31472761000.000000,-89464678000.000000,,,-89464678000.000000,-175342578000.000000,27835177000.000000,2636135000.000000,,,2636135000.000000,2636135000.000000,30471312000.000000,-2272038000.000000,-3115321000.000000,843283000.000000,-2272038000.000000,28199274000.000000,,28199274000.000000,-852833000.000000,-852833000.000000,-852833000.000000,27346441000.000000,28199274000.000000,28198817000.000000,457000.000000,28199274000.000000,27346441000.000000,27345984000.000000,457000.000000,27346441000.000000
12M 2016,213891077000.000000,333042320000.000000,-114765383000.000000,-16003103000.000000,11617243000.000000,213891077000.000000,-202892313000.000000,-72048940000.000000,25712873000.000000,-282386000.000000,-46980996000.000000,-109292864000.000000,,,-109292864000.000000,-202892313000.000000,10998764000.000000,7731617000.000000,,,7731617000.000000,7731617000.000000,18730381000.000000,-3425600000.000000,-4198484000.000000,772884000.000000,-3425600000.000000,15304781000.000000,,15304781000.000000,2213936000.000000,2213936000.000000,2213936000.000000,17518717000.000000,15304781000.000000,15300776000.000000,4005000.000000,15304781000.000000,17518717000.000000,17514712000.000000,4005000.000000,17518717000.000000
12M 2017,258534236000.000000,393700614000.000000,-145486590000.000000,-22171348000.000000,32491560000.000000,258534236000.000000,-240684158000.000000,-77380067000.000000,27634267000.000000,-4515731000.000000,-58670258000.000000,-127752369000.000000,,,-127752369000.000000,-240684158000.000000,17850078000.000000,-3920165000.000000,,,-3920165000.000000,-3920165000.000000,13929913000.000000,-418515000.000000,-458867000.000000,40352000.000000,-418515000.000000,13511398000.000000,,13511398000.000000,84947276000.000000,84947276000.000000,84947276000.000000,98458674000.000000,13511398000.000000,13420914000.000000,90484000.000000,13511398000.000000,98458674000.000000,98368190000.000000,90484000.000000,98458674000.000000
