Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari:,Premi,Klaim Reasuransi,Lain-Lain,Total Penerimaan Dari:,Pembayaran Untuk:,Klaim,Premi Asuransi,Pegawai,Beban Usaha,Komisi,Pajak,Pajak Penghasilan,Pajak Final,Total Pajak,Beban Lain-Lain,Total Pembayaran Untuk:,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pencairan Deposito,Penerimaan Hasil Investasi,Hasil Pembelian Efek Surat Berharga,Hasil Penjualan Efek,Pencairan Reksadana,Hasil Penjualan Aset Tetap,Penambahan Aset Tidak Berwujud,Hasil Penjualan Properti Investasi,Perolehan Aset Tetap,Pembelian Efek,Penempatan Deposito,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Deviden,Pinjaman Bank,Pembayaran Utang Bank,Pembayaran Liabilitas Sewa,Pembayaran Tanda Laba,Pembayaran Pinjaman Subordinasi,Penerimaan Pinjaman Subordinasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,-1953939000.000000,,153101428000.000000,27519465000.000000,27208283000.000000,207829176000.000000,,-79219791000.000000,-76603690000.000000,-21411371000.000000,-11296911000.000000,-15102690000.000000,-3011978000.000000,,,-3011978000.000000,-3136684000.000000,-209783115000.000000,,-1953939000.000000,-2729212000.000000,158013955000.000000,7688430000.000000,,122951056000.000000,,104210000.000000,,,-495947000.000000,-120488467000.000000,-170502449000.000000,,-2729212000.000000,4064100000.000000,,,,,,,4064100000.000000,4064100000.000000,-619051000.000000,5729597000.000000,67374000.000000,5177920000.000000
12M 2009,-41976260000.000000,,138104484000.000000,125789062000.000000,8510943000.000000,272404489000.000000,,-154374964000.000000,-99571231000.000000,-22956104000.000000,-8916783000.000000,-12481707000.000000,-4481328000.000000,,,-4481328000.000000,-11598632000.000000,-314380749000.000000,,-41976260000.000000,41301893000.000000,213623426000.000000,15252009000.000000,,9144602000.000000,,777271000.000000,,20405725000.000000,-1846243000.000000,-1584500000.000000,-214470397000.000000,,41301893000.000000,,,,,,,,,,-674367000.000000,5177920000.000000,-17675000.000000,4485878000.000000
12M 2010,-2996660000.000000,,185020239000.000000,68646171000.000000,5367207000.000000,259033617000.000000,,-133174927000.000000,-68473516000.000000,-27381189000.000000,-14117436000.000000,-11900703000.000000,-2419778000.000000,,,-2419778000.000000,-4562728000.000000,-262030277000.000000,,-2996660000.000000,-982899000.000000,237067398000.000000,3590849000.000000,,2323786000.000000,,2194221000.000000,,,-2992986000.000000,-4462700000.000000,-238703467000.000000,,-982899000.000000,3247750000.000000,,,,,,,3247750000.000000,3247750000.000000,-731809000.000000,4485878000.000000,-101176000.000000,3652893000.000000
12M 2011,-1820155000.000000,,205275483000.000000,35191339000.000000,5804819000.000000,246271641000.000000,,-73176490000.000000,-91155476000.000000,-22780746000.000000,-29931727000.000000,-25046992000.000000,-4130361000.000000,,,-4130361000.000000,-1870004000.000000,-248091796000.000000,,-1820155000.000000,7810294000.000000,180987201000.000000,4892416000.000000,,1075316000.000000,,5442682000.000000,,5400000000.000000,-2054217000.000000,,-187933104000.000000,,7810294000.000000,-4948728000.000000,,,,,,-4948728000.000000,,-4948728000.000000,1041411000.000000,3652892000.000000,-7043000.000000,4687260000.000000
12M 2012,47438543000.000000,,219888006000.000000,31365550000.000000,6204611000.000000,257458167000.000000,,-68580959000.000000,-84394075000.000000,-30425705000.000000,-2017428000.000000,-12983586000.000000,-4473460000.000000,,,-4473460000.000000,-7144411000.000000,-210019624000.000000,,47438543000.000000,-32935771000.000000,144196135000.000000,3685646000.000000,,1855750000.000000,,354436000.000000,,12000000000.000000,-3373616000.000000,,-191654122000.000000,,-32935771000.000000,-3665515000.000000,-3665515000.000000,,,,,,,-3665515000.000000,10837257000.000000,4687260000.000000,-1513038000.000000,14011479000.000000
12M 2013,23054686000.000000,,218559652000.000000,30829491000.000000,6073188000.000000,255462331000.000000,,-67114464000.000000,-74336690000.000000,-35105918000.000000,-22425308000.000000,-19972226000.000000,-6750001000.000000,,,-6750001000.000000,-6703038000.000000,-232407645000.000000,,23054686000.000000,-28636620000.000000,218294772000.000000,6410031000.000000,,1901501000.000000,,65413000.000000,,20864375000.000000,-7089311000.000000,-12088755000.000000,-256994646000.000000,,-28636620000.000000,-4573581000.000000,-4354831000.000000,,,,-218750000.000000,,,-4573581000.000000,-10155515000.000000,14011479000.000000,2563741000.000000,6419705000.000000
12M 2014,5671237000.000000,,230438804000.000000,46509323000.000000,5511857000.000000,282459984000.000000,,-73100214000.000000,-80941982000.000000,-42818716000.000000,-40076749000.000000,-25055877000.000000,-6147331000.000000,,,-6147331000.000000,-8647878000.000000,-276788747000.000000,,5671237000.000000,1583794000.000000,163197028000.000000,7619139000.000000,,4016000000.000000,,117490000.000000,,,-1968898000.000000,-7080841000.000000,-164316124000.000000,,1583794000.000000,-4573177000.000000,-4354831000.000000,,,,-218346000.000000,,,-4573177000.000000,2681854000.000000,6419705000.000000,2658950000.000000,11760509000.000000
12M 2015,13329332000.000000,,247242870000.000000,47416617000.000000,5623114000.000000,300282601000.000000,,-74576384000.000000,-83851973000.000000,-49698437000.000000,-35609578000.000000,-25264129000.000000,,-11123787000.000000,-43298000.000000,-11167085000.000000,-6785683000.000000,-286953269000.000000,,13329332000.000000,-16342706000.000000,239640537000.000000,9623154000.000000,,3118867000.000000,,19300000.000000,-1171909000.000000,,-3388434000.000000,-14246125000.000000,-249938096000.000000,,-16342706000.000000,-4198711000.000000,-3483865000.000000,,-540000000.000000,,-174846000.000000,,,-4198711000.000000,-7212085000.000000,11760509000.000000,2435092000.000000,6983516000.000000
12M 2016,-11314062000.000000,,265489186000.000000,46868039000.000000,8137535000.000000,320494760000.000000,,-82382540000.000000,-98971536000.000000,-56368978000.000000,-46423496000.000000,-29293074000.000000,,-9986853000.000000,-44507000.000000,-10031360000.000000,-8337838000.000000,-331808822000.000000,,-11314062000.000000,28629042000.000000,162254599000.000000,11014876000.000000,,36642481000.000000,,2859368000.000000,-3515094000.000000,,-4222531000.000000,-47032891000.000000,-129371766000.000000,,28629042000.000000,-5112181000.000000,-4354831000.000000,,-540000000.000000,,-217350000.000000,,,-5112181000.000000,12202799000.000000,6983516000.000000,1734864000.000000,20921179000.000000
12M 2017,11178200000.000000,,289068455000.000000,29817148000.000000,6616065000.000000,325501668000.000000,,-57894726000.000000,-94993858000.000000,-62925919000.000000,-49303071000.000000,-32425918000.000000,,-12722716000.000000,-130622000.000000,-12853338000.000000,-3926638000.000000,-314323468000.000000,,11178200000.000000,-5956894000.000000,51910385000.000000,9955748000.000000,,73111331000.000000,,13007000.000000,,,-89582983000.000000,-6987144000.000000,-44377238000.000000,,-5956894000.000000,-5192366000.000000,-4354831000.000000,,-630085000.000000,,-207450000.000000,,,-5192366000.000000,28940000.000000,20921179000.000000,849505000.000000,21799624000.000000
