Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,,,,,3.36,,0.49,,,0.0
12M 2009,,,,,,,,,2.79,2.82,0.41,0.42,,,0.0
12M 2010,,,,,,,,,2.83,2.86,0.37,0.36,,,0.0
12M 2011,,,,,,,,,3.88,3.92,0.43,0.43,,,0.0
12M 2012,,,,,,,,,6.11,6.35,0.5,0.41,,,0.0
12M 2013,,,,,,,,,5.6,4.98,0.42,0.41,,,0.0
12M 2014,,,,,,,,,4.37,4.43,0.35,0.34,,,0.0
12M 2015,,,,,,,,,6.28,6.27,0.44,0.43,,,0.0
12M 2016,,,,,,,,,6.58,6.57,0.42,0.4,,,0.0
12M 2017,,,,,,,,,3.52,2.33,0.41,0.36,,,0.0
12M 2018,,,,,,,,,2.34,2.33,0.34,0.34,,,0.0
12M 2019,,,,,,,,,2.13,2.14,0.31,0.32,,,0.0
12M 2020,,,,,,,,,2.17,2.2,0.32,0.32,,,0.0
12M 2021,,,,,,,,,1.73,1.73,0.27,0.27,,,0.0
12M 2022,,,,,,,,,1.5,1.5,0.25,0.25,,,0.0
12M 2023,,,,,,,,,1.25,1.17,0.23,0.23,,,0.0
12M 2024,,,,,,,,,0.91,0.87,0.2,0.21,,,0.0
