Period,Aset,Kas Dan Setara Kas,Piutang Premi,Pihak Berelasi,Pihak Ketiga,Total Piutang Premi,Piutang Reasuransi,Piutang Lain-Lain,Deposito Berjangka,Efek Tersedia Untuk Dijual,Properti Investasi,Aset Reasuransi,Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Utang Klaim,Pihak Berelasi,Pihak Ketiga,Total Utang Klaim,Liabilitas Kontrak Asuransi,Estimasi Liabilitas Klaim,Pihak Berelasi,Pihak Ketiga,Total Estimasi Liabilitas Klaim,Premi Yang Belum Merupakan Pendapatan,Total Liabilitas Kontrak Asuransi,Utang Reasuransi,Utang Pajak,Beban Akrual,Utang Lain-Lain,Obligasi Subordinasi,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,5177920000.000000,,18028000.000000,37088502000.000000,37106530000.000000,11165413000.000000,1148901000.000000,29447741000.000000,4056944000.000000,45762329000.000000,,28604818000.000000,4011275000.000000,4812224000.000000,29033507000.000000,200327602000.000000,,,5898227000.000000,38436000.000000,5859791000.000000,5898227000.000000,52190010000.000000,,78502000.000000,25283206000.000000,25361708000.000000,26828302000.000000,52190010000.000000,27537656000.000000,1494444000.000000,8284267000.000000,8755318000.000000,4064100000.000000,11946038000.000000,120170060000.000000,,87096618000.000000,50000000.000000,-1175508000.000000,4260404000.000000,-5435912000.000000,-1175508000.000000,25288000.000000,-5838856000.000000,80157542000.000000,200327602000.000000,174193236.000000
12M 2009,,4485878000.000000,,,44093013000.000000,44093013000.000000,3423433000.000000,3623719000.000000,29794712000.000000,3279747000.000000,28692119000.000000,,27685504000.000000,2941602000.000000,11014264000.000000,27819922000.000000,186853913000.000000,,,7087307000.000000,2275000.000000,7085032000.000000,7087307000.000000,35268651000.000000,,,11576095000.000000,11576095000.000000,23692556000.000000,35268651000.000000,16339894000.000000,1257764000.000000,8277435000.000000,13419960000.000000,3478000000.000000,14464520000.000000,99593531000.000000,,87096618000.000000,50000000.000000,2461119000.000000,4260404000.000000,-1799285000.000000,2461119000.000000,25395000.000000,-2372750000.000000,87260382000.000000,186853913000.000000,174193236.000000
12M 2010,,3652892000.000000,,11967000.000000,66292246000.000000,66304213000.000000,16563702000.000000,4916272000.000000,31545561000.000000,3274878000.000000,30737136000.000000,,28090159000.000000,1871928000.000000,19445234000.000000,37199425000.000000,243601400000.000000,,,3176153000.000000,1300000.000000,3174853000.000000,3176153000.000000,52893469000.000000,,12394000.000000,15563809000.000000,15576203000.000000,37317266000.000000,52893469000.000000,31752308000.000000,752753000.000000,8185141000.000000,19892307000.000000,6574420000.000000,28738198000.000000,151964749000.000000,,87096618000.000000,50000000.000000,5137698000.000000,4260404000.000000,877294000.000000,5137698000.000000,25593000.000000,-673258000.000000,91636651000.000000,243601400000.000000,174193236.000000
12M 2011,,4687260000.000000,,31412000.000000,55062286000.000000,55093698000.000000,18904803000.000000,5549705000.000000,38142603000.000000,2323456000.000000,35230335000.000000,,25892701000.000000,1597015000.000000,19050359000.000000,39094074000.000000,245566009000.000000,,,4284629000.000000,25624000.000000,4259005000.000000,4284629000.000000,53804618000.000000,,283448000.000000,12702618000.000000,12986066000.000000,40818552000.000000,53804618000.000000,26417603000.000000,511613000.000000,9334492000.000000,6757121000.000000,1625692000.000000,41343291000.000000,144079059000.000000,,87096618000.000000,50000000.000000,14256698000.000000,4260404000.000000,9996294000.000000,14256698000.000000,25812000.000000,57822000.000000,101486950000.000000,245566009000.000000,174193236.000000
12M 2012,,14011479000.000000,,161999000.000000,73953485000.000000,74115484000.000000,17312824000.000000,16463341000.000000,78994036000.000000,2346906000.000000,39782932000.000000,59015239000.000000,24181008000.000000,734423000.000000,8890400000.000000,33861075000.000000,369709147000.000000,,,11549036000.000000,76886000.000000,11472150000.000000,11549036000.000000,165701280000.000000,,,,,,165701280000.000000,25301288000.000000,687481000.000000,10102320000.000000,14996295000.000000,1667230000.000000,20988349000.000000,250993279000.000000,,87096618000.000000,50000000.000000,29851135000.000000,4850193000.000000,25000942000.000000,29851135000.000000,25985000.000000,1692130000.000000,118715868000.000000,369709147000.000000,174193236.000000
12M 2013,,6419705000.000000,,196970000.000000,73127616000.000000,73324586000.000000,12188133000.000000,15137434000.000000,117693908000.000000,405537000.000000,17825800000.000000,74520039000.000000,34057036000.000000,471518000.000000,5639817000.000000,41264385000.000000,398947898000.000000,,,4380024000.000000,,4380024000.000000,4380024000.000000,200438796000.000000,,,,,,200438796000.000000,14374448000.000000,802000000.000000,11116697000.000000,16168662000.000000,1841041000.000000,21782318000.000000,270903986000.000000,,87096618000.000000,50000000.000000,45069361000.000000,5850193000.000000,39219168000.000000,45069361000.000000,26251000.000000,-4198318000.000000,128043912000.000000,398947898000.000000,174193236.000000
12M 2014,,11760509000.000000,,194323000.000000,86950586000.000000,87144909000.000000,12326241000.000000,11411788000.000000,126283329000.000000,468356000.000000,22163800000.000000,82586852000.000000,32490332000.000000,229609000.000000,5382802000.000000,47432865000.000000,439681392000.000000,,,1566373000.000000,,1566373000.000000,1566373000.000000,205664904000.000000,,,,,,205664904000.000000,39772880000.000000,4719950000.000000,13140714000.000000,11359640000.000000,,25836796000.000000,302061257000.000000,,87096618000.000000,50000000.000000,50337440000.000000,6839783000.000000,43497657000.000000,50337440000.000000,26570000.000000,109507000.000000,137620135000.000000,439681392000.000000,174193236.000000
12M 2015,,6983516000.000000,,752441000.000000,117499668000.000000,118252109000.000000,5752011000.000000,9839241000.000000,135380756000.000000,251649000.000000,37324500000.000000,69417230000.000000,32214535000.000000,1122766000.000000,6195375000.000000,71269311000.000000,494002999000.000000,,,798639000.000000,73872000.000000,724767000.000000,798639000.000000,245100141000.000000,,,,,,245100141000.000000,47570908000.000000,966695000.000000,18436063000.000000,12017472000.000000,,8407995000.000000,333297913000.000000,,87096618000.000000,50000000.000000,74632455000.000000,7331862000.000000,67300593000.000000,74632455000.000000,27027000.000000,-1101014000.000000,160705086000.000000,494002999000.000000,174193236.000000
12M 2016,,20921179000.000000,,1629179000.000000,120212473000.000000,121841652000.000000,12989745000.000000,6933511000.000000,102497923000.000000,391033000.000000,39679800000.000000,90004150000.000000,32790469000.000000,4002155000.000000,6089310000.000000,87757903000.000000,525898830000.000000,,,4710178000.000000,,4710178000.000000,4710178000.000000,281563544000.000000,,,,,,281563544000.000000,29602284000.000000,3615595000.000000,3062838000.000000,6879475000.000000,,22813294000.000000,352247208000.000000,,87096618000.000000,50000000.000000,87421595000.000000,8741826000.000000,78679769000.000000,87421595000.000000,31032000.000000,-947623000.000000,173651622000.000000,525898830000.000000,348386472.000000
12M 2017,,21799624000.000000,,2216185000.000000,137894866000.000000,140111051000.000000,25111779000.000000,13085548000.000000,94964776000.000000,458190000.000000,64739007000.000000,131006437000.000000,114005987000.000000,2888074000.000000,6158485000.000000,123773997000.000000,738102955000.000000,,,5647743000.000000,,5647743000.000000,5647743000.000000,336878876000.000000,,,,,,336878876000.000000,48260624000.000000,2494751000.000000,19839143000.000000,10087696000.000000,,47346107000.000000,470554940000.000000,,87096618000.000000,50000000.000000,95370975000.000000,9507065000.000000,85863910000.000000,95370975000.000000,121516000.000000,84908906000.000000,267548015000.000000,738102955000.000000,348386472.000000
12M 2018,,23975854000.000000,,3573547000.000000,139015064000.000000,142588611000.000000,35241672000.000000,8481617000.000000,114544426000.000000,450363000.000000,68072520000.000000,229641378000.000000,123308301000.000000,1914136000.000000,5768155000.000000,120485855000.000000,874472888000.000000,,,20491081000.000000,,20491081000.000000,20491081000.000000,450259212000.000000,,,,,,450259212000.000000,62560755000.000000,2488978000.000000,24137503000.000000,11869563000.000000,,21303887000.000000,593110979000.000000,,87096618000.000000,50000000.000000,112936985000.000000,10182635000.000000,102754350000.000000,112936985000.000000,128937000.000000,81149369000.000000,281361909000.000000,874472888000.000000,348386472.000000
12M 2019,,25446117000.000000,,3020251000.000000,140867986000.000000,143888237000.000000,28846599000.000000,4837171000.000000,100874830000.000000,437959000.000000,67291213000.000000,243772164000.000000,127895603000.000000,891342000.000000,6163605000.000000,107175745000.000000,857520585000.000000,,,10050449000.000000,,10050449000.000000,10050449000.000000,470546106000.000000,,,,,,470546106000.000000,53355107000.000000,1442510000.000000,3715880000.000000,6682080000.000000,,20242955000.000000,566035087000.000000,,87096618000.000000,50000000.000000,122867674000.000000,10879461000.000000,111988213000.000000,122867674000.000000,134004000.000000,81337202000.000000,291485498000.000000,857520585000.000000,348386472.000000
12M 2020,,26810850000.000000,,1246808000.000000,118590809000.000000,119837617000.000000,26371721000.000000,4727059000.000000,100577266000.000000,618749000.000000,101219947000.000000,249459844000.000000,125064327000.000000,207838000.000000,11370994000.000000,105502971000.000000,871769183000.000000,,,4804212000.000000,,4804212000.000000,4804212000.000000,441066879000.000000,,,,,,441066879000.000000,65611777000.000000,1947286000.000000,10992875000.000000,10823490000.000000,,22750933000.000000,557997452000.000000,,87096618000.000000,50000000.000000,149110586000.000000,11279914000.000000,137830672000.000000,149110586000.000000,144240000.000000,77370287000.000000,313771731000.000000,871769183000.000000,348386472.000000
12M 2021,,19190886000.000000,,381335000.000000,105762931000.000000,106144266000.000000,38392671000.000000,4686914000.000000,68189381000.000000,603665000.000000,126086716000.000000,278958493000.000000,155679201000.000000,52800000.000000,15984811000.000000,140687348000.000000,954657152000.000000,,,15889386000.000000,,15889386000.000000,15889386000.000000,459769140000.000000,,,,,,459769140000.000000,77344214000.000000,1836774000.000000,12163370000.000000,11904562000.000000,,20007239000.000000,598914685000.000000,,87096618000.000000,50000000.000000,167106634000.000000,12463329000.000000,154643305000.000000,167106634000.000000,158976000.000000,101330239000.000000,355742467000.000000,954657152000.000000,348386472.000000
