Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2010,4638514264715.000000,-4130721897824.000000,507792366891.000000,-214183271634.000000,-103238670485.000000,-102472460890.000000,-8472140259.000000,-214183271634.000000,293609095257.000000,3109375829.000000,2691468002.000000,-2784309188.000000,3202217015.000000,3109375829.000000,296718471086.000000,-76008011354.000000,-79701045063.000000,3693033709.000000,-76008011354.000000,220710459732.000000,-2079768730.000000,218630691002.000000,,218630691002.000000,218630691002.000000,217711572472.000000,919118530.000000,218630691002.000000,218630691002.000000,217711572472.000000,919118530.000000,218630691002.000000
12M 2011,6899545003371.000000,-6150714831146.000000,748830172225.000000,-363816554056.000000,-172544285324.000000,-183724049756.000000,-7548218976.000000,-363816554056.000000,385013618169.000000,-32006513964.000000,2979800633.000000,-36273661896.000000,1287347299.000000,-32006513964.000000,353007104205.000000,-96705219635.000000,-101772082000.000000,5066862365.000000,-96705219635.000000,256301884570.000000,,256301884570.000000,-4132311.000000,256297752259.000000,256301884570.000000,255392508024.000000,909376546.000000,256301884570.000000,256297752259.000000,255388375713.000000,909376546.000000,256297752259.000000
12M 2012,12883578236785.000000,-11737893473995.000000,1145684762790.000000,-518405253651.000000,-267151677082.000000,-291779974600.000000,40526398031.000000,-518405253651.000000,627279509139.000000,-43349799767.000000,6599692928.000000,-51101296233.000000,1151803538.000000,-43349799767.000000,583929709372.000000,-149793620966.000000,,,-149793620966.000000,434136088406.000000,,434136088406.000000,-43648422.000000,434092439984.000000,434136088406.000000,432900663762.000000,1235424644.000000,434136088406.000000,434092439984.000000,432857015402.000000,1235424582.000000,434092439984.000000
12M 2013,12727247545028.000000,-11558085128431.000000,1169162416597.000000,-622807731941.000000,-316018895861.000000,-362919789489.000000,56130953409.000000,-622807731941.000000,546354684656.000000,-89507715304.000000,5182200864.000000,-94318658688.000000,-371257480.000000,-89507715304.000000,456846969352.000000,-108232449731.000000,,,-108232449731.000000,348614519621.000000,,348614519621.000000,-290747571.000000,348323772050.000000,348614519621.000000,348651732970.000000,-37213349.000000,348614519621.000000,348323772050.000000,348360985814.000000,-37213764.000000,348323772050.000000
12M 2014,14451413262240.000000,-13162173355586.000000,1289239906654.000000,-811869786727.000000,-420147914926.000000,-460253237488.000000,68531365687.000000,-811869786727.000000,477370119927.000000,-181287763900.000000,1680042809.000000,-182422872833.000000,-544933876.000000,-181287763900.000000,296082356027.000000,-81695356498.000000,,,-81695356498.000000,214386999529.000000,,214386999529.000000,-3119701602.000000,211267297927.000000,214386999529.000000,211522119154.000000,2864880375.000000,214386999529.000000,211267297927.000000,209581915276.000000,1685382651.000000,211267297927.000000
12M 2015,20007597902207.000000,-18502000315432.000000,1505597586775.000000,-1028052018881.000000,-601366314407.000000,-511543497265.000000,84857792791.000000,-1028052018881.000000,477545567894.000000,-157144265297.000000,1215838290.000000,-155270103587.000000,-3090000000.000000,-157144265297.000000,320401302597.000000,-90589690022.000000,,,-90589690022.000000,229811612575.000000,,229811612575.000000,11048202005.000000,240859814580.000000,229811612575.000000,226023294406.000000,3788318169.000000,229811612575.000000,240859814580.000000,241211522137.000000,-351707557.000000,240859814580.000000
12M 2016,20547128076480.000000,-18754819501826.000000,1792308574654.000000,-1258759364180.000000,-738655401475.000000,-570070806072.000000,49966843367.000000,-1258759364180.000000,533549210474.000000,-150012596423.000000,4390983527.000000,-154403579950.000000,,-150012596423.000000,383536614051.000000,-121816006660.000000,,,-121816006660.000000,261720607391.000000,,261720607391.000000,-4236069220.000000,257484538171.000000,261720607391.000000,263755160047.000000,-2034552656.000000,261720607391.000000,257484538171.000000,262086437200.000000,-4601899029.000000,257484538171.000000
12M 2017,24229915013932.000000,-22071008279047.000000,2158906734885.000000,-1558857086523.000000,-955374833381.000000,-680469242864.000000,76986989722.000000,-1558857086523.000000,600049648362.000000,-120393449774.000000,2633537353.000000,-142827289931.000000,19800302804.000000,-120393449774.000000,479656198588.000000,-132506616601.000000,,,-132506616601.000000,347149581987.000000,,347149581987.000000,1396438701.000000,348546020688.000000,347149581987.000000,339458191100.000000,7691390887.000000,347149581987.000000,348546020688.000000,336171106037.000000,12374914651.000000,348546020688.000000
12M 2018,34744177481000.000000,-31574695864000.000000,3169481617000.000000,-1641989470000.000000,-1080320007000.000000,-771635051000.000000,209965588000.000000,-1641989470000.000000,1527492147000.000000,-324351303000.000000,4529345000.000000,-349162552000.000000,20281904000.000000,-324351303000.000000,1203140844000.000000,-313800061000.000000,,,-313800061000.000000,889340783000.000000,,889340783000.000000,22117535000.000000,911458318000.000000,889340783000.000000,850089697000.000000,39251086000.000000,889340783000.000000,911458318000.000000,869920409000.000000,41537909000.000000,911458318000.000000
12M 2019,32944902671000.000000,-30095879138000.000000,2849023533000.000000,-2071915367000.000000,-1363502575000.000000,-972931223000.000000,264518431000.000000,-2071915367000.000000,777108166000.000000,-304388170000.000000,5058592000.000000,-326036384000.000000,16589622000.000000,-304388170000.000000,472719996000.000000,-147136805000.000000,,,-147136805000.000000,325583191000.000000,,325583191000.000000,-8613486000.000000,316969705000.000000,325583191000.000000,295066452000.000000,30516739000.000000,325583191000.000000,316969705000.000000,289030244000.000000,27939461000.000000,316969705000.000000
