Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Pada Entitas Asosiasi,Aset Tetap,Aset Tak Berwujud,Properti Investasi,Aset Pajak Tangguhan,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2009,,,37579920586.000000,598869264206.000000,593305815403.000000,5563448803.000000,598869264206.000000,2599352585.000000,1765804987.000000,833547598.000000,2599352585.000000,298048352178.000000,221941825797.000000,1159038715352.000000,,,12736845244.000000,,,1302522451.000000,386923620.000000,80049640164.000000,94475931479.000000,1253514646831.000000,,,376522738681.000000,102800030000.000000,,199356586676.000000,21200549682.000000,220557136358.000000,,11315187105.000000,6085977562.000000,17401164667.000000,7463047905.000000,3696131090.000000,,1767624440.000000,,,,1767624440.000000,22837604221.000000,376522738681.000000,8053301653.000000,,,707056867.000000,,707056867.000000,7346244786.000000,8053301653.000000,384576040334.000000,,2000000000.000000,,329618450777.000000,,329618450777.000000,329618450777.000000,11892748192.000000,525427407528.000000,868938606497.000000,1253514646831.000000,2000000.000000
12M 2010,,,59262159225.000000,502446917740.000000,361314694816.000000,141132222924.000000,502446917740.000000,12943552391.000000,5413870101.000000,7529682290.000000,12943552391.000000,400951352975.000000,183873278540.000000,1159477260871.000000,,4802217015.000000,61854618233.000000,,,4995556160.000000,270846533.000000,53591048553.000000,125514286494.000000,1284991547365.000000,,,255948287058.000000,180340060000.000000,,51662761896.000000,1089000000.000000,52751761896.000000,,4798221365.000000,264060000.000000,5062281365.000000,6247067800.000000,2767408279.000000,,1034308381.000000,,,,1034308381.000000,7745399337.000000,255948287058.000000,12144194078.000000,,,100163333.000000,,100163333.000000,12044030745.000000,12144194078.000000,268092481136.000000,,500000000000.000000,,497330023249.000000,,497330023249.000000,497330023249.000000,13811866722.000000,5757176258.000000,1016899066229.000000,1284991547365.000000,500000.000000
12M 2011,,,71288408003.000000,825904763459.000000,756178515997.000000,69726247462.000000,825904763459.000000,198494640503.000000,59635346572.000000,138859293931.000000,198494640503.000000,790392188080.000000,322003448548.000000,2208083448593.000000,,6089564314.000000,108904024025.000000,,,13354168622.000000,495637699470.000000,97455283759.000000,721440740190.000000,2929524188783.000000,,,758752671670.000000,455346575150.000000,,223167134503.000000,,223167134503.000000,,20609452765.000000,,20609452765.000000,28769397037.000000,17929097937.000000,,1333522973.000000,,,,1333522973.000000,11597491305.000000,758752671670.000000,23369236209.000000,,,2419435142.000000,,2419435142.000000,20949801067.000000,23369236209.000000,782121907879.000000,,1450000000000.000000,417902923475.000000,265182657995.000000,1000000000.000000,264182657995.000000,265182657995.000000,5261835594.000000,9054863840.000000,2147402280904.000000,2929524188783.000000,2900000000.000000
12M 2012,,,251274231918.000000,1074953303107.000000,1074799306711.000000,153996396.000000,1074953303107.000000,54946130282.000000,54946130282.000000,,54946130282.000000,1242385860164.000000,215981691507.000000,2839541216978.000000,,7991367852.000000,183368225339.000000,681343959387.000000,,19132735091.000000,,156044195200.000000,1047880482869.000000,3887421699847.000000,,,1269906927128.000000,618041270730.000000,,444848037857.000000,133714501.000000,444981752358.000000,42986858535.000000,,,42986858535.000000,26653823613.000000,120533854878.000000,,3604202913.000000,,,,3604202913.000000,13105164101.000000,1269906927128.000000,38495010225.000000,162397249.000000,,8313931976.000000,,8313931976.000000,30018681000.000000,38495010225.000000,1308401937353.000000,,1450000000000.000000,427044105168.000000,698083321757.000000,2000000000.000000,696083321757.000000,698083321757.000000,6150577753.000000,-2258242184.000000,2579019762494.000000,3887421699847.000000,2900000000.000000
12M 2013,,,80460208801.000000,900584230422.000000,900558198922.000000,26031500.000000,900584230422.000000,289870616224.000000,289841125298.000000,29490926.000000,289870616224.000000,1841760416188.000000,665097869936.000000,3777773341571.000000,,2620110372.000000,216269684823.000000,678189834667.000000,,26950715611.000000,,299831023646.000000,1223861369119.000000,5001634710690.000000,,,2198488858051.000000,1161846298761.000000,,826202355652.000000,,826202355652.000000,73998862467.000000,,,73998862467.000000,22408261593.000000,104104121042.000000,,3532489691.000000,,,,3532489691.000000,6396468845.000000,2198488858051.000000,49802365921.000000,,,7256058921.000000,,7256058921.000000,42546307000.000000,49802365921.000000,2248291223972.000000,,1450000000000.000000,427044105168.000000,872735054727.000000,3000000000.000000,869735054727.000000,872735054727.000000,5971587466.000000,-2407260643.000000,2753343486718.000000,5001634710690.000000,2900000000.000000
12M 2014,,,169856774624.000000,1255134903899.000000,1255110962399.000000,23941500.000000,1255134903899.000000,491122226659.000000,491121624622.000000,602037.000000,491122226659.000000,1999824268969.000000,402667072919.000000,4318605247070.000000,,,402453027879.000000,696000686328.000000,,41798775689.000000,,661449476209.000000,1801701966105.000000,6120307213175.000000,,,2913604302228.000000,1438824981240.000000,,1182808504556.000000,,1182808504556.000000,143228611630.000000,,,143228611630.000000,31314896757.000000,87546141934.000000,,903090465.000000,3370271146.000000,338945659.000000,,4612307270.000000,25268858841.000000,2913604302228.000000,192916648345.000000,2677235090.000000,,123066189187.000000,3588452579.000000,126654641766.000000,63584771489.000000,192916648345.000000,3106520950573.000000,,1450000000000.000000,427044105168.000000,1084257173881.000000,4000000000.000000,1080257173881.000000,1084257173881.000000,53133781260.000000,-648797707.000000,3013786262602.000000,6120307213175.000000,2900000000.000000
12M 2015,,,126819990610.000000,1888819225353.000000,1888819225353.000000,,1888819225353.000000,498397429375.000000,495068286118.000000,3329143257.000000,498397429375.000000,2552505389695.000000,399022043357.000000,5465564078390.000000,,,436642144875.000000,690751485152.000000,,46920871408.000000,,1160421261660.000000,2334735763095.000000,7800299841485.000000,,,4399336252383.000000,1450083968233.000000,,2566440253444.000000,,2566440253444.000000,,306754184720.000000,6600000.000000,306760784720.000000,30948979507.000000,29860575911.000000,,9287226389.000000,2468733732.000000,273269601.000000,,12029229722.000000,3212460846.000000,4399336252383.000000,195557435149.000000,,,135757295505.000000,2105573528.000000,137862869033.000000,57694566116.000000,195557435149.000000,4594893687532.000000,,1450000000000.000000,427044105168.000000,1257224459018.000000,5000000000.000000,1252224459018.000000,1257224459018.000000,67133858391.000000,4003731376.000000,3205406153953.000000,7800299841485.000000,2900000000.000000
12M 2016,,,614544475410.000000,1441764097705.000000,1441764097705.000000,,1441764097705.000000,434469234142.000000,434468389505.000000,844637.000000,434469234142.000000,2202800410109.000000,474644526239.000000,5168222743605.000000,,1020000000.000000,457247659796.000000,685304842040.000000,,55036638509.000000,,1057772519897.000000,2256381660242.000000,7424604403847.000000,,,3935217294429.000000,801072184921.000000,,2613690338595.000000,,2613690338595.000000,,306548828244.000000,1019000000.000000,307567828244.000000,35484474675.000000,72688062260.000000,,99230706392.000000,1246311510.000000,171062787.000000,,100648080689.000000,4066325045.000000,3935217294429.000000,80225834405.000000,,,2535414435.000000,1410015573.000000,3945430008.000000,76280404397.000000,80225834405.000000,4015443128834.000000,,1450000000000.000000,433674207147.000000,1462979619065.000000,6000000000.000000,1456979619065.000000,1462979619065.000000,60637837164.000000,1869611637.000000,3409161275013.000000,7424604403847.000000,2900000000.000000
12M 2017,,,366395661376.000000,1570717316848.000000,1570717316848.000000,,1570717316848.000000,331830241029.000000,324020266364.000000,7809974665.000000,331830241029.000000,3388147153639.000000,1027527663415.000000,6684618036307.000000,,5303795344.000000,485804663533.000000,703059197718.000000,,71341500312.000000,,923748299841.000000,2189257456748.000000,8873875493055.000000,,,5048720022178.000000,1747242183267.000000,,2607357045722.000000,11974403074.000000,2619331448796.000000,,521604269922.000000,8500000000.000000,530104269922.000000,98491289098.000000,47369013353.000000,,127805744.000000,595084997.000000,517901733.000000,,1240792474.000000,4941025268.000000,5048720022178.000000,118500952147.000000,1146159095.000000,,2690004227.000000,1405935141.000000,4095939368.000000,113258853684.000000,118500952147.000000,5167220974325.000000,,1450000000000.000000,433716207147.000000,1744437810165.000000,7000000000.000000,1737437810165.000000,1744437810165.000000,79343561780.000000,-843060362.000000,3706654518730.000000,8873875493055.000000,2900000000.000000
12M 2018,,,272102741000.000000,1417241246000.000000,1416187875000.000000,1053371000.000000,1417241246000.000000,564905009000.000000,564704696000.000000,200313000.000000,564905009000.000000,6794575600000.000000,1004867317000.000000,10053691913000.000000,,16616204000.000000,553675716000.000000,713880259000.000000,,66459581000.000000,,1278578953000.000000,2629210713000.000000,12682902626000.000000,,,7740591920000.000000,4283991107000.000000,,2796633881000.000000,10010986000.000000,2806644867000.000000,,452864082000.000000,375295000.000000,453239377000.000000,88299376000.000000,91723168000.000000,,,638932000.000000,927647000.000000,,1566579000.000000,15127446000.000000,7740591920000.000000,116692469000.000000,1531373000.000000,,,839899000.000000,839899000.000000,114321197000.000000,116692469000.000000,7857284389000.000000,,1595000000000.000000,594376207000.000000,2484327506000.000000,8000000000.000000,2476327506000.000000,2484327506000.000000,132827603000.000000,19086921000.000000,4825618237000.000000,12682902626000.000000,3190000000.000000
