Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Karyawan,Pembayaran Kas Kepada Karyawan,Pembayaran Untuk Beban Usaha,Penerimaan Dari (Pembayaran Untuk) :,Pendapatan Bunga,Pajak Penghasilan,Beban Bunga,Kegiatan Usaha Lainnya,Total Penerimaan Dari (Pembayaran Untuk) :,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pencairan Deposito Berjangka,Hasil Penjualan Aset Tetap,Hasil Penjualan Investasi Jangka Pendek,Akuisisi Entitas Anak Dan Unit Bisnis Setelah Dikurangi Kas Yang Diperoleh,Pembelian Saham Anak Perusahaan Kepada Pihak Non Pengendali,Uang Muka Untuk Perolehan Aset Tetap,Perolehan Aset Tetap,Penambahan Sewa,Penambahan Aset Hak Guna,Penambahan Aset Tidak Berwujud,Penempatan Deposito Berjangka,Penambahan Sewa Dibayar Dimuka,Divestasi Entitas Anak Neto Dari Kas Yang Di Divestasi Di Anak-Anak Perusahaan,Penambahan Uang Jaminan,Penambahan Investasi Pada Entitas Asosiasi,Pembayaran Untuk Perolehan Tambahan Kepemilikan Pada Entitas Anak,Pelepasan Investasi Pada Entitas Asosiasi,Pengembalian Penyertaan Modal Pada Entitas Asosiasi,Hasil Likuidasi Entitas Asosiasi,Akuisisi Kepentingan Nonpengendali,Pembayaran Untuk Uang Muka Pemesanan Saham,Penerimaan Dividen Kas Dari Entitas Asosiasi,Pembayaran Dividen Kepada Kepentingan Non Pengendali,Penyertaan Saham,Perolehan Perangkat Lunak,Penerimaan (Pengeluaran) Kas Lainnya,Penempatan Investasi Jangka Pendek-Deposito Berjangka,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari :,Utang Bank Jangka Pendek,Obligasi,Penambahan Modal Dari Entitas Nonpengendali,Utang Bank Jangka Panjang,Penerbitan Modal Saham - Neto,Pelunasan Pinjaman Oleh Pihak Ketiga,Penjualan Sebagian Kepemilikan Pada Entitas Anak Tanpa Hilangnya Pengendalian,Kepentingan Nonpengendali Yang Berasal Dari Penerbitan Saham Baru Entitas Anak,Setoran Modal Ke Entitas Anak Dari Kepentingan Non Pengendali,Penambahan Aset Yang Terkait Program Pengampunan Pajak,Deposit Atas Penerbitan Saham,Utang Pengembalian Modal,Total Penerimaan Dari :,Pembayaran Untuk :,Utang Jangka Panjang,Utang Bank Jangka Pendek,Liabilitas Sewa,Penurunan Modal Saham Entitas Anak,Dividen Kas,Pinjaman Kepada Pihak Berelasi,Dividen Kas Untuk Kepentingan Non Pengendali,Saham Treasuri,Utang Pembiayaan Konsumen,Pengembalian Uang Muka Pembelian Saham,Utang Sewa Pembiayaan,Akuisisi Kepentingan Non Pengendali,Total Pembayaran Untuk :,Pemberian Pinjaman Ke Pihak Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2010,70803907645.000000,4714015775586.000000,-4411859078895.000000,,-141333185470.000000,,2005668516.000000,-74321973856.000000,-11440116384.000000,-6263181852.000000,-90019603576.000000,70803907645.000000,-71683579613.000000,,1791002880.000000,49000000.000000,-23750000000.000000,,,-35542310986.000000,,,,,-12141253293.000000,,-490018214.000000,-1600000000.000000,,,,,,,,,,,,,-71683579613.000000,25021880607.000000,,80000000000.000000,,,,,,,,,,,,80000000000.000000,,-2049249593.000000,,,,-50000000000.000000,,,,,,,,-52049249593.000000,-2928869800.000000,25021880607.000000,24142208639.000000,-45220109414.000000,,-21077900775.000000
12M 2011,-76788588453.000000,6740835579622.000000,-6582712605697.000000,,-176068096756.000000,,3294635592.000000,-77092197087.000000,-31377765037.000000,46331860910.000000,-58843465622.000000,-76788588453.000000,-858396413867.000000,,909548521.000000,158646454.000000,-683085734717.000000,,,-72619986654.000000,,,,,-29597645082.000000,,-773840394.000000,,,,,,,,,,,,,-73387401995.000000,-858396413867.000000,734344735948.000000,,,,,,877902923475.000000,2928869800.000000,,,,,,,880831793275.000000,,-1452057327.000000,-145035000000.000000,,,,,,,,,,,-146487057327.000000,,734344735948.000000,-200840266372.000000,-21077900775.000000,,-221918167147.000000
12M 2012,288112726768.000000,12865720762888.000000,-12139303028278.000000,,-267699305399.000000,,6599692928.000000,-184866714441.000000,-49032691150.000000,56694010220.000000,-170605702443.000000,288112726768.000000,-267733414406.000000,135405491681.000000,3452311002.000000,,-191947726257.000000,,,-86380687848.000000,,,,-71011750000.000000,-50988449754.000000,,-5142603230.000000,-750000000.000000,,,,,,-370000000.000000,,,,,,,-267733414406.000000,171134613592.000000,,174222797619.000000,,,,,,,,,,,,174222797619.000000,,-3088184027.000000,,,,,,,,,,,,-3088184027.000000,,171134613592.000000,191513925954.000000,-221918167147.000000,,-30404241193.000000
12M 2013,-362442456051.000000,12867517509212.000000,-12765989161934.000000,,-236185811026.000000,,5182200864.000000,-194040320083.000000,-88643488098.000000,49716615014.000000,-227784992303.000000,-362442456051.000000,-168785437794.000000,32479445980.000000,2905253989.000000,,,,,-88682841931.000000,,,,-2166296625.000000,-86719511395.000000,,-4188792292.000000,,,,,,,-1638000000.000000,5000000000.000000,,-25000000000.000000,-774695520.000000,,,-168785437794.000000,241210628411.000000,,424601785714.000000,,,,,,,,,,,,424601785714.000000,,-9391109477.000000,,,,-174000047826.000000,,,,,,,,-183391157303.000000,,241210628411.000000,-290017265434.000000,-30404241193.000000,,-320421506627.000000
12M 2014,18529068921.000000,14145727290672.000000,-13487715469093.000000,,,,1719258703.000000,-467170653107.000000,-174031358254.000000,,-639482752658.000000,18529068921.000000,-320756445238.000000,31919056751.000000,1261522557.000000,,-49411943182.000000,,,-193673713407.000000,,,,,-103146346249.000000,,-3972462132.000000,,,,,2075176496.000000,-578840000.000000,-2386000000.000000,,,,-2842896072.000000,,,-320756445238.000000,592047372665.000000,,567611568998.000000,,,,,,9779554159.000000,18749589839.000000,,,,,596140712996.000000,,-4083317288.000000,,,,-10023043.000000,,,,,,,,-4093340331.000000,,592047372665.000000,289819996348.000000,-320421506627.000000,207813023.000000,-30393697256.000000
12M 2015,193301681777.000000,19365549661929.000000,-18477457097871.000000,,,,1216840304.000000,-541774555531.000000,-154233167054.000000,,-694790882281.000000,193301681777.000000,-217172599264.000000,2725155245.000000,7454525029.000000,,-63560514.000000,,,-108711514382.000000,,,,,-104797985791.000000,,-12421045283.000000,,,,,,,-291000000.000000,,,,-1067173568.000000,,,-217172599264.000000,-342701713013.000000,,,,,,,,,8258488853.000000,4901000000.000000,,,,13159488853.000000,,-294194385401.000000,,,,-58000000000.000000,,,,-3666816465.000000,,,,-355861201866.000000,,-342701713013.000000,-366572630500.000000,-30393697256.000000,2711794577.000000,-394254533179.000000
12M 2016,1458882373916.000000,20985605444718.000000,-19353271973559.000000,,,,3612543149.000000,-26231384847.000000,-150832255545.000000,,-173451097243.000000,1458882373916.000000,-215646674101.000000,9570598563.000000,2628638314.000000,,,,,-92120744531.000000,,,,,-135202862085.000000,,2815772138.000000,-1000000.000000,,,,,-2482750000.000000,,,,,-854326500.000000,,,-215646674101.000000,-839861115672.000000,,,,,,,,,,,511000000.000000,,,511000000.000000,,-779735949041.000000,,,,-58000000000.000000,,,,-2636166631.000000,,,,-840372115672.000000,,-839861115672.000000,403374584143.000000,-394254533179.000000,2215356863.000000,11335407827.000000
12M 2017,-765037485224.000000,24166871511854.000000,-24823583795952.000000,,,,3411977729.000000,22922663508.000000,-134659842363.000000,,-108325201126.000000,-765037485224.000000,-272076272008.000000,,6362757402.000000,,-8074412694.000000,,,-118510696921.000000,,,,,-150128774466.000000,,-7741750098.000000,-1019000000.000000,,,,,,,7706532709.000000,,,-670927940.000000,,,-272076272008.000000,522021053750.000000,,575009926479.000000,,,,,,6867674742.000000,,9300000.000000,,,,581886901221.000000,,,,,,-58000000000.000000,,-503492974.000000,,-1298036085.000000,,,-64318412.000000,-59865847471.000000,,522021053750.000000,-515092703482.000000,11335407827.000000,2643453948.000000,-501113841707.000000
12M 2018,-2427388011000.000000,34886444916000.000000,-36424791541000.000000,,,,4529345000.000000,-567445788000.000000,-326124943000.000000,,-889041386000.000000,-2427388011000.000000,-398640137000.000000,,4502682000.000000,,100000.000000,,,-169531905000.000000,,,,,-220185401000.000000,,-18472642000.000000,-2423500000.000000,,,,,,,19202970000.000000,,,-11732441000.000000,,,-398640137000.000000,2618523738000.000000,,2415597458000.000000,,,,305660000000.000000,,,,27902400000.000000,,,,2749159858000.000000,,-2981380000.000000,,,,-110200000000.000000,,-15857100000.000000,,-1095757000.000000,,-501883000.000000,,-130636120000.000000,,2618523738000.000000,-207504410000.000000,-501113842000.000000,7104579000.000000,-701513673000.000000
12M 2019,2430790765000.000000,33398709513000.000000,-30439324267000.000000,,,,5058592000.000000,-216810666000.000000,-316842407000.000000,,-528594481000.000000,2430790765000.000000,-377007113000.000000,,5689457000.000000,,,,,-244958085000.000000,,,,,-125936584000.000000,,-17838625000.000000,-10692537000.000000,,2676025000.000000,,,,,14526209000.000000,,,-472973000.000000,,,-377007113000.000000,-1861393512000.000000,,,,,,,,,,18002500000.000000,,,,18002500000.000000,,,-1696011994000.000000,,,-159500000000.000000,,-548900000.000000,,-629363000.000000,-21825000000.000000,-880755000.000000,,-1879396012000.000000,,-1861393512000.000000,192390140000.000000,-701513673000.000000,4731953000.000000,-504391580000.000000
