Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Penjualan,Others,Total Beban Penjualan,Beban Umum Dan Administrasi,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Operasi Yang Dihentikan,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,5341054000000.000000,-3391458000000.000000,1949596000000.000000,-1532903000000.000000,,-604720000000.000000,,-604720000000.000000,-343493000000.000000,-532037000000.000000,-55678000000.000000,3025000000.000000,-1532903000000.000000,416693000000.000000,-118054000000.000000,14139000000.000000,-213900000000.000000,81707000000.000000,-118054000000.000000,298639000000.000000,-17338000000.000000,281301000000.000000,211000000.000000,,713000000.000000,282225000000.000000,,,282220000000.000000,282220000000.000000,,282220000000.000000,,,,
12M 2009,5943881000000.000000,-3694149000000.000000,2249732000000.000000,-467684000000.000000,,-498615000000.000000,,-498615000000.000000,-352921000000.000000,372203000000.000000,8667000000.000000,2982000000.000000,-467684000000.000000,1782048000000.000000,-485070000000.000000,24544000000.000000,-444887000000.000000,-64727000000.000000,-485070000000.000000,1296978000000.000000,-88257000000.000000,1208721000000.000000,168000000.000000,,-16722000000.000000,1192167000000.000000,,,895751000000.000000,895751000000.000000,,895751000000.000000,,,,
12M 2010,5960589000000.000000,-3711232000000.000000,2249357000000.000000,-865278000000.000000,,-598683000000.000000,,-598683000000.000000,-317328000000.000000,47079000000.000000,,3654000000.000000,-865278000000.000000,1384079000000.000000,-236122000000.000000,18142000000.000000,-232820000000.000000,-21444000000.000000,-236122000000.000000,1147957000000.000000,-317575000000.000000,830382000000.000000,,,,830382000000.000000,17633000000.000000,848015000000.000000,830382000000.000000,828422000000.000000,1960000000.000000,830382000000.000000,848015000000.000000,845913000000.000000,2102000000.000000,848015000000.000000
12M 2011,7523964000000.000000,-4672435000000.000000,2851529000000.000000,-1171484000000.000000,,-705024000000.000000,,-705024000000.000000,-445459000000.000000,-26378000000.000000,,5377000000.000000,-1171484000000.000000,1680045000000.000000,-146788000000.000000,45657000000.000000,-192445000000.000000,,-146788000000.000000,1533257000000.000000,-469697000000.000000,1063560000000.000000,,,,1063560000000.000000,-8573000000.000000,1054987000000.000000,1063560000000.000000,1063170000000.000000,390000000.000000,1063560000000.000000,1054987000000.000000,1054651000000.000000,336000000.000000,1054987000000.000000
12M 2012,9011076000000.000000,-5664231000000.000000,3346845000000.000000,-1308388000000.000000,,-223620000000.000000,-560419000000.000000,-784039000000.000000,-483684000000.000000,-4779000000.000000,-25031000000.000000,-10855000000.000000,-1308388000000.000000,2038457000000.000000,-165745000000.000000,16247000000.000000,-181992000000.000000,,-165745000000.000000,1872712000000.000000,-521921000000.000000,1350791000000.000000,,,,1350791000000.000000,30613000000.000000,1381404000000.000000,1350791000000.000000,1350250000000.000000,541000000.000000,1350791000000.000000,1381404000000.000000,1380445000000.000000,959000000.000000,1381404000000.000000
12M 2013,9686262000000.000000,-6330938000000.000000,3355324000000.000000,-1506656000000.000000,,-259065000000.000000,-666562000000.000000,-925627000000.000000,-397063000000.000000,-184782000000.000000,605000000.000000,211000000.000000,-1506656000000.000000,1848668000000.000000,-512120000000.000000,9195000000.000000,-521315000000.000000,,-512120000000.000000,1336548000000.000000,-384243000000.000000,952305000000.000000,,,,952305000000.000000,54058000000.000000,1006363000000.000000,952305000000.000000,952113000000.000000,192000000.000000,952305000000.000000,1006363000000.000000,1005649000000.000000,714000000.000000,1006363000000.000000
12M 2014,10528723000000.000000,-7502759000000.000000,3025964000000.000000,-1733999000000.000000,,-295982000000.000000,-817298000000.000000,-1113280000000.000000,-596309000000.000000,-15850000000.000000,-8370000000.000000,-190000000.000000,-1733999000000.000000,1291965000000.000000,-284568000000.000000,6217000000.000000,-290785000000.000000,,-284568000000.000000,1007397000000.000000,-338528000000.000000,668869000000.000000,,,,668869000000.000000,-16457000000.000000,652412000000.000000,668869000000.000000,668355000000.000000,514000000.000000,668869000000.000000,652412000000.000000,652048000000.000000,364000000.000000,652412000000.000000
12M 2015,9239022000000.000000,-7099577000000.000000,2139445000000.000000,-1813254000000.000000,,-322521000000.000000,-889615000000.000000,-1212136000000.000000,-603003000000.000000,3658000000.000000,-57000000.000000,-1716000000.000000,-1813254000000.000000,326191000000.000000,24227000000.000000,5737000000.000000,-563661000000.000000,582151000000.000000,24227000000.000000,350418000000.000000,-150930000000.000000,199488000000.000000,,-24361000000.000000,,175127000000.000000,-30144000000.000000,144983000000.000000,175127000000.000000,175127000000.000000,,175127000000.000000,144983000000.000000,144983000000.000000,,144983000000.000000
12M 2016,9458403000000.000000,-7527537000000.000000,1930866000000.000000,-1724994000000.000000,,-317457000000.000000,-783302000000.000000,-1100759000000.000000,-554434000000.000000,-35928000000.000000,-19035000000.000000,-14838000000.000000,-1724994000000.000000,205872000000.000000,-377904000000.000000,10142000000.000000,-386018000000.000000,-2028000000.000000,-377904000000.000000,-172032000000.000000,-112552000000.000000,-284584000000.000000,,,,-284584000000.000000,10266000000.000000,-274318000000.000000,-284584000000.000000,-284584000000.000000,,-284584000000.000000,-274318000000.000000,-274318000000.000000,,-274318000000.000000
12M 2017,9382120000000.000000,-7507994000000.000000,1874126000000.000000,-1655224000000.000000,,-1144078000000.000000,,-1144078000000.000000,-538004000000.000000,4507000000.000000,-2415000000.000000,24766000000.000000,-1655224000000.000000,218902000000.000000,-909357000000.000000,2958000000.000000,-912315000000.000000,,-909357000000.000000,-690455000000.000000,-67590000000.000000,-758045000000.000000,,,,-758045000000.000000,-105599000000.000000,-863644000000.000000,-758045000000.000000,-758045000000.000000,,-758045000000.000000,-863644000000.000000,-863644000000.000000,,-863644000000.000000
12M 2018,10377729000000.000000,-8734391000000.000000,1643338000000.000000,-1604175000000.000000,,-393261000000.000000,-838212000000.000000,-1231473000000.000000,-403724000000.000000,-38850000000.000000,105427000000.000000,-35555000000.000000,-1604175000000.000000,39163000000.000000,-723360000000.000000,5435000000.000000,-728795000000.000000,,-723360000000.000000,-684197000000.000000,-143788000000.000000,-827985000000.000000,,,,-827985000000.000000,47384000000.000000,-780601000000.000000,-827985000000.000000,-827985000000.000000,,-827985000000.000000,-780601000000.000000,-780601000000.000000,,-780601000000.000000
12M 2019,11057843000000.000000,-8172758000000.000000,2885085000000.000000,-1638960000000.000000,-1046109000000.000000,,,-1046109000000.000000,-661162000000.000000,51876000000.000000,-40938000000.000000,57373000000.000000,-1638960000000.000000,1246125000000.000000,-838515000000.000000,3851000000.000000,-842366000000.000000,,-838515000000.000000,407610000000.000000,91442000000.000000,499052000000.000000,,,,499052000000.000000,67210000000.000000,566262000000.000000,499052000000.000000,499052000000.000000,,499052000000.000000,566262000000.000000,566262000000.000000,,566262000000.000000
12M 2020,10108220000000.000000,-7124690000000.000000,2983530000000.000000,-1338678000000.000000,-965140000000.000000,,,-965140000000.000000,-397370000000.000000,-37909000000.000000,-16755000000.000000,78496000000.000000,-1338678000000.000000,1644852000000.000000,-666954000000.000000,6970000000.000000,-673924000000.000000,,-666954000000.000000,977898000000.000000,-326910000000.000000,650988000000.000000,,,,650988000000.000000,-32359000000.000000,618629000000.000000,650988000000.000000,650988000000.000000,,650988000000.000000,618629000000.000000,618629000000.000000,,618629000000.000000
12M 2021,11218181000000.000000,-8365429000000.000000,2852752000000.000000,-1314651000000.000000,-964184000000.000000,,,-964184000000.000000,-394547000000.000000,4020000000.000000,1093000000.000000,38967000000.000000,-1314651000000.000000,1538101000000.000000,-451284000000.000000,3572000000.000000,-454856000000.000000,,-451284000000.000000,1086817000000.000000,-373473000000.000000,713344000000.000000,,,,713344000000.000000,-19698000000.000000,693646000000.000000,713344000000.000000,713344000000.000000,,713344000000.000000,693646000000.000000,693646000000.000000,,693646000000.000000
12M 2022,12262048000000.000000,-9330140000000.000000,2931908000000.000000,-1486227000000.000000,-1040626000000.000000,,,-1040626000000.000000,-347121000000.000000,122000000.000000,-418000000.000000,-98184000000.000000,-1486227000000.000000,1445681000000.000000,-275811000000.000000,6678000000.000000,-282489000000.000000,,-275811000000.000000,1169870000000.000000,-330594000000.000000,839276000000.000000,,,,839276000000.000000,37970000000.000000,877246000000.000000,839276000000.000000,839276000000.000000,,839276000000.000000,877246000000.000000,877246000000.000000,,877246000000.000000
12M 2023,12371333000000.000000,-9597271000000.000000,2774062000000.000000,-1302903000000.000000,-948597000000.000000,,,-948597000000.000000,-352506000000.000000,-2271000000.000000,-261000000.000000,732000000.000000,-1302903000000.000000,1471159000000.000000,-240533000000.000000,5333000000.000000,-245866000000.000000,,-240533000000.000000,1230626000000.000000,-335981000000.000000,894645000000.000000,,,,894645000000.000000,1714000000.000000,896359000000.000000,894645000000.000000,894645000000.000000,,894645000000.000000,896359000000.000000,896359000000.000000,,896359000000.000000
