Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Gaji Kepada Karyawan,Pembayaran Kas Lainnya,Penerimaan Bunga,Pembayaran Bunga Dan Beban Keuangan,Pembayaran Pajak Penghasilan Badan,Pembayaran Pajak Lainnya,Penerimaan Pajak Penghasilan Badan,Penerimaan Pajak Lainnya,Pembayaran Utang Pajak,Pembayaran Pajak Berdasarkan Surat Ketetapan Pajak,Pembayaran Tsla,Penerimaan Dari Perjanjian Kesanggupan,Pembayaran Biaya Penerbitan Garansi Ekspor,Penerimaan Kembali Dari Kantor Pajak,Penerimaan Klaim Idemnifikasi,Penerimaan (Pengeluaran) Kas Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Penerimaan Dari Hasil Ganti Rugi Aset Tetap,Perolehan Aset Hak Guna,Penempatan Deposito,Penarikan Deposito Berjangka,Penarikan Kas Dan Setara Kas Yang Dibatasi Penggunaannya,Penempatan Kas Dan Setara Kas Yang Dibatasi Penggunaannya,Penerimaan Jaminan Performa Aset Tetap,Pembayaran Jaminan Performa Aset Tetap,Pembelian Entitas Anak Setelah Dikurangi Kas Yang Diperoleh,Investasi Saham,Pt Bintang Polindo Perkasa Dan Pelunasan Pinjaman,Pt Readymix Concrete Indonesia Dan Pelunasan,Pt Pandawa Lestari Perkasa Dan Pelunasan,Total Investasi Saham,Penerimaan Dari Penjualan Aset Agunan,Hasil Penjualan Invetasi Pada Entitas Anak,Pembayaran Dividen Entitas Anak,Pembelian Entitas Anak,Pelepasan /(Penempatan) Kas Dan Setara Kas Yang Dibatasi Penggunannya,Penerimaan Kas Atas Likuidasi Entitas Anak,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penarikan Pinjaman Bank Jangka Pendek,Pembayaran Pinjaman Bank Jangka Pendek,Penarikan Pinjaman Bank Jangka Panjang,Pembayaran Pinjaman Bank Jangka Panjang,Pembayaran Kembali Atas Liabilitas Sewa,Pembayaran Pokok Liabilitas Sewa,Pembayaran Dividen,Pembayaran Utang Sewa Pembiayaan,Pembayaran Dividen Entitas Anak,Pembayaran Biaya Transaksi,Kas Dan Setara Kas Yang Dibatasi Penggunaannya,Penerimaan (Pengeluaran) Kas Lainnya,Biaya Penerbitan Saham,Penerimaan Dari Penerbitan Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Dari Aset Dimiliki Untuk Dijual,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,1178381000000.000000,5679092000000.000000,-4378054000000.000000,,,15378000000.000000,-125398000000.000000,-17297000000.000000,,,,,,,,,4660000000.000000,,,1178381000000.000000,-587294000000.000000,-249833000000.000000,5888000000.000000,,,,,,,,,,,-297479000000.000000,-41087000000.000000,-4783000000.000000,-343349000000.000000,,,,,,,-587294000000.000000,-461823000000.000000,766939000000.000000,-499950000000.000000,1225530000000.000000,-1952391000000.000000,,,,-1951000000.000000,,,,,,,-461823000000.000000,129264000000.000000,764543000000.000000,,,893807000000.000000
12M 2009,1542865000000.000000,6363756000000.000000,-4481091000000.000000,,,25815000000.000000,-98834000000.000000,-175653000000.000000,,,,,-103830000000.000000,,,,12702000000.000000,,,1542865000000.000000,-470119000000.000000,-117474000000.000000,13143000000.000000,,,,,,,,,,,,,,,,,,,,-365788000000.000000,-470119000000.000000,-1586305000000.000000,102735000000.000000,-655673000000.000000,1000000000000.000000,-2031386000000.000000,,,,-1981000000.000000,,,,,,,-1586305000000.000000,-513559000000.000000,893807000000.000000,,,380248000000.000000
12M 2010,577632000000.000000,3324365000000.000000,-2306317000000.000000,,,11605000000.000000,-377779000000.000000,-76364000000.000000,,,,,-6137000000.000000,,,,8259000000.000000,,,577632000000.000000,-170390000000.000000,-171222000000.000000,832000000.000000,,,,,,,,,,,,,,,,,,,,,-170390000000.000000,-52189000000.000000,2364000000.000000,-54009000000.000000,,,,,,-544000000.000000,,,,,,,-52189000000.000000,355053000000.000000,715374000000.000000,,,1070427000000.000000
12M 2011,2086236000000.000000,8154659000000.000000,-5658110000000.000000,,,45657000000.000000,-82328000000.000000,-370273000000.000000,,,,,-4789000000.000000,,,,1420000000.000000,,,2086236000000.000000,-946310000000.000000,-950212000000.000000,3902000000.000000,,,,,,,,,,,,,,,,,,,,,-946310000000.000000,-1082375000000.000000,14928000000.000000,-5024000000.000000,,-735000000000.000000,,,-353730000000.000000,-3549000000.000000,,,,,,,-1082375000000.000000,57551000000.000000,1070427000000.000000,,-496000000.000000,1127482000000.000000
12M 2012,1692112000000.000000,9684125000000.000000,-7192169000000.000000,,,16247000000.000000,-156767000000.000000,-595674000000.000000,,,,,-205000000.000000,,,-69469000000.000000,6024000000.000000,,,1692112000000.000000,-1941639000000.000000,-1840146000000.000000,1049000000.000000,,,,,,,,,,-102542000000.000000,,,,-102542000000.000000,,,,,,,-1941639000000.000000,-327650000000.000000,458709000000.000000,-450312000000.000000,798693000000.000000,-632606000000.000000,,,-490608000000.000000,-11526000000.000000,,,,,,,-327650000000.000000,-577177000000.000000,1127482000000.000000,,5480000000.000000,555785000000.000000
12M 2013,2262247000000.000000,10426997000000.000000,-7571028000000.000000,,,9194000000.000000,-90413000000.000000,-483644000000.000000,,,,,-68000000.000000,,,-34166000000.000000,5375000000.000000,,,2262247000000.000000,-3077044000000.000000,-3078769000000.000000,1725000000.000000,,,,,,,,,,,,,,,,,,,,,-3077044000000.000000,618986000000.000000,1118810000000.000000,-1105000000000.000000,1645628000000.000000,-348288000000.000000,,,-651229000000.000000,-40692000000.000000,-243000000.000000,,,,,,618986000000.000000,-195811000000.000000,555785000000.000000,,15591000000.000000,375565000000.000000
12M 2014,1709438000000.000000,11406042000000.000000,-7009749000000.000000,-860651000000.000000,-1179612000000.000000,6217000000.000000,-197238000000.000000,-482679000000.000000,,,,,-454000000.000000,,,,27562000000.000000,,,1709438000000.000000,-2837693000000.000000,-2838343000000.000000,745000000.000000,,,,,,,,,,,,,,,,,-95000000.000000,,,,-2837693000000.000000,965182000000.000000,2447468000000.000000,-2065967000000.000000,2761050000000.000000,-1465296000000.000000,,,-666672000000.000000,-45401000000.000000,,,,,,,965182000000.000000,-163073000000.000000,375565000000.000000,,2078000000.000000,214570000000.000000
12M 2015,533786000000.000000,9952759000000.000000,-6397296000000.000000,-1254353000000.000000,-553623000000.000000,4590000000.000000,-420894000000.000000,-143274000000.000000,,,,-612796000000.000000,-47118000000.000000,,,,5791000000.000000,,,533786000000.000000,-506308000000.000000,-1522136000000.000000,1631000000.000000,,,,,,,,,,,,,,,,1014197000000.000000,,,,,-506308000000.000000,423314000000.000000,1979000000000.000000,-2329000000000.000000,1891873000000.000000,-840106000000.000000,,,-236903000000.000000,-41550000000.000000,,,,,,,423314000000.000000,450792000000.000000,214570000000.000000,-43346000000.000000,16319000000.000000,638335000000.000000
12M 2016,983560000000.000000,10408620000000.000000,-7496432000000.000000,-1212611000000.000000,-393824000000.000000,8114000000.000000,-314185000000.000000,-79758000000.000000,,,,,-2757000000.000000,,,,66393000000.000000,,,983560000000.000000,-2428967000000.000000,-553576000000.000000,2613000000.000000,,,,,,,,,,,,,,,,,,-1878004000000.000000,,,-2428967000000.000000,1131160000000.000000,2754528000000.000000,-2339000000000.000000,3145836000000.000000,-2321592000000.000000,,,-102030000000.000000,-6582000000.000000,,,,,,,1131160000000.000000,-314247000000.000000,638335000000.000000,,-259000000.000000,323829000000.000000
12M 2017,818464000000.000000,10242856000000.000000,-6386202000000.000000,-1254492000000.000000,-564865000000.000000,2958000000.000000,,-51709000000.000000,,,,,,,,,,,-1170082000000.000000,818464000000.000000,-293337000000.000000,-428702000000.000000,,,,,,,,,,,,,,,,135365000000.000000,,,,,,-293337000000.000000,-292104000000.000000,4225000000000.000000,-4292701000000.000000,,-204403000000.000000,,,,,,,,-20000000000.000000,,,-292104000000.000000,233023000000.000000,323829000000.000000,,-2341000000.000000,554511000000.000000
12M 2018,404517000000.000000,11633964000000.000000,-8162142000000.000000,-1176110000000.000000,-536817000000.000000,5435000000.000000,-635428000000.000000,-31656000000.000000,,,,-651658000000.000000,-48022000000.000000,,,,6951000000.000000,,,404517000000.000000,-434455000000.000000,-397046000000.000000,119933000000.000000,,,,,,,,-157342000000.000000,,,,,,,,,,,,,-434455000000.000000,-177307000000.000000,1264763000000.000000,-805000000000.000000,1127400000000.000000,-1747644000000.000000,,,,,,,-14576000000.000000,-2250000000.000000,,,-177307000000.000000,-207245000000.000000,547818000000.000000,,-3967000000.000000,336606000000.000000
12M 2019,-53247000000.000000,11645978000000.000000,-9049720000000.000000,-1372011000000.000000,,3851000000.000000,-780969000000.000000,-309776000000.000000,,,,,-190600000000.000000,,,,,,,-53247000000.000000,-273060000000.000000,-276433000000.000000,3373000000.000000,,,,,,,,,,,,,,,,,,,,,-273060000000.000000,375464000000.000000,1865000000000.000000,-3172083000000.000000,13336455000000.000000,-11574101000000.000000,,,,,,,-942000000.000000,-78865000000.000000,,,375464000000.000000,49157000000.000000,336606000000.000000,,988000000.000000,386751000000.000000
12M 2020,1000000000000.000000,10075278000000.000000,-7072023000000.000000,-1118037000000.000000,,6970000000.000000,-739806000000.000000,-84896000000.000000,-68234000000.000000,3743000000.000000,,,,-340395000000.000000,337400000000.000000,,,,,1000000000000.000000,-344714000000.000000,-389693000000.000000,,55061000000.000000,-9359000000.000000,,,,,,,,,,,,,,,,,-723000000.000000,,-344714000000.000000,-510963000000.000000,738000000000.000000,-738000000000.000000,1650000000000.000000,-1965657000000.000000,,-162488000000.000000,-27568000000.000000,,,,,-5250000000.000000,,,-510963000000.000000,144323000000.000000,386751000000.000000,,-4261000000.000000,526813000000.000000
12M 2021,1536576000000.000000,10223580000000.000000,-7070929000000.000000,-1204340000000.000000,,3572000000.000000,-444798000000.000000,-265405000000.000000,,294896000000.000000,,,,,,,,,,1536576000000.000000,-398477000000.000000,-485159000000.000000,36843000000.000000,68589000000.000000,-17757000000.000000,,,,,,,,,,,,,,,,,-993000000.000000,,-398477000000.000000,-1371477000000.000000,,,,-4000000000000.000000,,-281938000000.000000,-194746000000.000000,,,,,,-14702000000.000000,3119909000000.000000,-1371477000000.000000,-233378000000.000000,526813000000.000000,,-2868000000.000000,290567000000.000000
12M 2022,2995242000000.000000,12585901000000.000000,-8704066000000.000000,-1131782000000.000000,,6678000000.000000,-275986000000.000000,-275109000000.000000,,789606000000.000000,,,,,,,,,,2995242000000.000000,-931130000000.000000,-869504000000.000000,,48992000000.000000,-64147000000.000000,-192082000000.000000,152000000000.000000,,,,,,,,,,,,,,,-6389000000.000000,,-931130000000.000000,-2060427000000.000000,,,2744097000000.000000,-4400000000000.000000,,-188721000000.000000,-215803000000.000000,,,,,,,,-2060427000000.000000,3685000000.000000,290567000000.000000,,92000000.000000,294344000000.000000
12M 2023,1208081000000.000000,12563253000000.000000,-10919597000000.000000,-1021507000000.000000,,5333000000.000000,-250318000000.000000,-229996000000.000000,,1060913000000.000000,,,,,,,,,,1208081000000.000000,-807633000000.000000,-761667000000.000000,,,-41288000000.000000,,,572000000.000000,,,,,,,,,,,,,,-5250000000.000000,,-807633000000.000000,-355923000000.000000,,,,,,-110440000000.000000,-245483000000.000000,,,,,,,,-355923000000.000000,44525000000.000000,294344000000.000000,,586000000.000000,339455000000.000000
12M 2024,1876799000000.000000,13196148000000.000000,-9697530000000.000000,-977510000000.000000,,5545000000.000000,-245623000000.000000,-1065666000000.000000,,661435000000.000000,,,,,,,,,,1876799000000.000000,-767005000000.000000,-730229000000.000000,,,-27661000000.000000,,,1070000000.000000,,,,,,,,,,,,,,-10185000000.000000,,-767005000000.000000,-1299895000000.000000,,,,-800000000000.000000,,-237669000000.000000,-262226000000.000000,,,,,,,,-1299895000000.000000,-190101000000.000000,339455000000.000000,,988000000.000000,150342000000.000000
