Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Goodwill,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Others,Total Utang Pajak,Beban Akrual,Utang Bank Jangka Pendek,Pihak Berelasi,Pihak Ketiga,Total Utang Bank Jangka Pendek,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank,Utang Sewa Pembiayaan,Utang Jangka Panjang Dari Pihak Berelasi,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Liabilitas Derivatif,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Utang Sewa Pembiayaan,Utang Jangka Panjang Dari Pihak Berelasi,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lain-Lain,Pihak Berelasi,Total Utang Lain-Lain,Utang Lain Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,893807000000.000000,628837000000.000000,55282000000.000000,573555000000.000000,628837000000.000000,21354000000.000000,,,21354000000.000000,430460000000.000000,122632000000.000000,2097090000000.000000,,32916000000.000000,5831892000000.000000,,,247087000000.000000,6111895000000.000000,8208985000000.000000,,,1269636000000.000000,,20420000000.000000,330982000000.000000,351402000000.000000,123009000000.000000,,,123009000000.000000,44423000000.000000,,44423000000.000000,327628000000.000000,,,274718000000.000000,274718000000.000000,,5211000000.000000,2211000000.000000,141034000000.000000,148456000000.000000,,,1269636000000.000000,4133420000000.000000,288785000000.000000,,4899000000.000000,1619000000.000000,3622930000000.000000,3629448000000.000000,,,,124021000000.000000,91166000000.000000,4133420000000.000000,5403056000000.000000,,3831450000000.000000,3890522000000.000000,-5184046000000.000000,,-5184046000000.000000,-5184046000000.000000,1665000000.000000,266338000000.000000,2805929000000.000000,8208985000000.000000,7662900000.000000
12M 2009,,,380248000000.000000,604020000000.000000,34342000000.000000,569678000000.000000,604020000000.000000,59671000000.000000,,,59671000000.000000,382132000000.000000,50267000000.000000,1476338000000.000000,,25375000000.000000,5460935000000.000000,,,302718000000.000000,5789028000000.000000,7265366000000.000000,,,1162542000000.000000,,17454000000.000000,297870000000.000000,315324000000.000000,164670000000.000000,,,164670000000.000000,165547000000.000000,,165547000000.000000,342174000000.000000,,47000000000.000000,122243000000.000000,169243000000.000000,,3809000000.000000,1775000000.000000,,5584000000.000000,,,1162542000000.000000,2786641000000.000000,365902000000.000000,,1000000000000.000000,74000000.000000,940000000000.000000,1940074000000.000000,,,,376150000000.000000,104515000000.000000,2786641000000.000000,3949183000000.000000,,3831450000000.000000,3890522000000.000000,-4288295000000.000000,,-4288295000000.000000,-4288295000000.000000,1293000000.000000,-118787000000.000000,3316183000000.000000,7265366000000.000000,7662900000.000000
12M 2010,,,1070427000000.000000,591531000000.000000,26909000000.000000,564622000000.000000,591531000000.000000,51659000000.000000,,,51659000000.000000,499926000000.000000,39694000000.000000,2253237000000.000000,,24431000000.000000,7893251000000.000000,,,266330000000.000000,8184012000000.000000,10437249000000.000000,,,1355830000000.000000,,20365000000.000000,435322000000.000000,455687000000.000000,181649000000.000000,,,181649000000.000000,76675000000.000000,,76675000000.000000,248106000000.000000,,,63566000000.000000,63566000000.000000,,330000000000.000000,147000000.000000,,330147000000.000000,,,1355830000000.000000,2255416000000.000000,380979000000.000000,,670000000000.000000,,1060410000000.000000,1730410000000.000000,,,,15980000000.000000,128047000000.000000,2255416000000.000000,3611246000000.000000,,3831450000000.000000,2587309000000.000000,505145000000.000000,,505145000000.000000,505145000000.000000,3395000000.000000,-101296000000.000000,6826003000000.000000,10437249000000.000000,7662900000.000000
12M 2011,,,1127482000000.000000,651035000000.000000,12692000000.000000,638343000000.000000,651035000000.000000,53984000000.000000,,,53984000000.000000,570459000000.000000,65212000000.000000,2468172000000.000000,,15651000000.000000,8238252000000.000000,,,228426000000.000000,8482329000000.000000,10950501000000.000000,,,1683799000000.000000,,32253000000.000000,485701000000.000000,517954000000.000000,256531000000.000000,,,256531000000.000000,236816000000.000000,,236816000000.000000,331477000000.000000,,,72036000000.000000,72036000000.000000,,265000000000.000000,3985000000.000000,,268985000000.000000,,,1683799000000.000000,1739442000000.000000,378087000000.000000,,,5721000000.000000,1169961000000.000000,1175682000000.000000,,,,36692000000.000000,148981000000.000000,1739442000000.000000,3423241000000.000000,,3831450000000.000000,2587309000000.000000,1215821000000.000000,153258000000.000000,1062563000000.000000,1215821000000.000000,2495000000.000000,-109815000000.000000,7527260000000.000000,10950501000000.000000,7662900000.000000
12M 2012,,,555785000000.000000,810169000000.000000,1378000000.000000,808791000000.000000,810169000000.000000,36693000000.000000,,,36693000000.000000,687087000000.000000,97063000000.000000,2186797000000.000000,,8962000000.000000,9588783000000.000000,120242000000.000000,,263733000000.000000,9981720000000.000000,12168517000000.000000,,,1556875000000.000000,,42943000000.000000,663938000000.000000,706881000000.000000,282198000000.000000,,,282198000000.000000,149014000000.000000,,149014000000.000000,228299000000.000000,,,88467000000.000000,88467000000.000000,,22117000000.000000,24009000000.000000,,46126000000.000000,,55890000000.000000,1556875000000.000000,2193586000000.000000,368322000000.000000,,719929000000.000000,42148000000.000000,823097000000.000000,1585174000000.000000,,,,,240090000000.000000,2193586000000.000000,3750461000000.000000,,3831450000000.000000,2472381000000.000000,2075645000000.000000,306516000000.000000,1769129000000.000000,2075645000000.000000,3272000000.000000,35308000000.000000,8418056000000.000000,12168517000000.000000,7662900000.000000
12M 2013,,,375565000000.000000,957856000000.000000,1743000000.000000,956113000000.000000,957856000000.000000,61271000000.000000,,,61271000000.000000,591057000000.000000,99306000000.000000,2085055000000.000000,,6030000000.000000,12367323000000.000000,120242000000.000000,,316340000000.000000,12809935000000.000000,14894990000000.000000,,,3262054000000.000000,,38482000000.000000,847683000000.000000,886165000000.000000,466599000000.000000,,,466599000000.000000,90694000000.000000,,90694000000.000000,303914000000.000000,,,119202000000.000000,119202000000.000000,,176062000000.000000,45639000000.000000,1156432000000.000000,1378133000000.000000,,17347000000.000000,3262054000000.000000,2859989000000.000000,357713000000.000000,,2173863000000.000000,47856000000.000000,,2221719000000.000000,,,,,280557000000.000000,2859989000000.000000,6122043000000.000000,,3831450000000.000000,2472381000000.000000,2376529000000.000000,459774000000.000000,1916755000000.000000,2376529000000.000000,3743000000.000000,88844000000.000000,8772947000000.000000,14894990000000.000000,7662900000.000000
12M 2014,,,214570000000.000000,1035277000000.000000,23000000.000000,1035254000000.000000,1035277000000.000000,142884000000.000000,,,142884000000.000000,736995000000.000000,161243000000.000000,2290969000000.000000,,12502000000.000000,14498240000000.000000,120242000000.000000,,273399000000.000000,14904383000000.000000,17195352000000.000000,,,3807545000000.000000,,64058000000.000000,1002637000000.000000,1066695000000.000000,630110000000.000000,,,630110000000.000000,55629000000.000000,,55629000000.000000,523087000000.000000,,,495990000000.000000,495990000000.000000,,832291000000.000000,41750000000.000000,,874041000000.000000,,161993000000.000000,3807545000000.000000,4629215000000.000000,339054000000.000000,,4046192000000.000000,5987000000.000000,,4052179000000.000000,,,,,237982000000.000000,4629215000000.000000,8436760000000.000000,,3831450000000.000000,2472381000000.000000,2378212000000.000000,613032000000.000000,1765180000000.000000,2378212000000.000000,4012000000.000000,72537000000.000000,8758592000000.000000,17195352000000.000000,7662900000.000000
12M 2015,,,638335000000.000000,1069607000000.000000,12462000000.000000,1057145000000.000000,1069607000000.000000,140002000000.000000,,,140002000000.000000,553364000000.000000,180466000000.000000,2581774000000.000000,,56421000000.000000,14427080000000.000000,23366000000.000000,,232924000000.000000,14739791000000.000000,17321565000000.000000,,,3957441000000.000000,,35573000000.000000,1046549000000.000000,1082122000000.000000,418048000000.000000,,,418048000000.000000,59195000000.000000,,59195000000.000000,478938000000.000000,,,30000000000.000000,30000000000.000000,,1726542000000.000000,6582000000.000000,,1733124000000.000000,,156014000000.000000,3957441000000.000000,4914267000000.000000,239523000000.000000,,4205164000000.000000,,,4205164000000.000000,,,,,469580000000.000000,4914267000000.000000,8871708000000.000000,,3831450000000.000000,2587309000000.000000,2228859000000.000000,766290000000.000000,1462569000000.000000,2228859000000.000000,,-197761000000.000000,8449857000000.000000,17321565000000.000000,7662900000.000000
12M 2016,,,323829000000.000000,1040587000000.000000,17349000000.000000,1023238000000.000000,1040587000000.000000,216728000000.000000,,,216728000000.000000,556291000000.000000,302529000000.000000,2439964000000.000000,,73224000000.000000,16608121000000.000000,401809000000.000000,,240015000000.000000,17323169000000.000000,19763133000000.000000,,,5311358000000.000000,,14528000000.000000,1106476000000.000000,1121004000000.000000,280648000000.000000,,,280648000000.000000,62590000000.000000,,62590000000.000000,664410000000.000000,,,1161890000000.000000,1161890000000.000000,,1879765000000.000000,,,1879765000000.000000,,141051000000.000000,5311358000000.000000,6391180000000.000000,660507000000.000000,,5208134000000.000000,,,5208134000000.000000,,,,,522539000000.000000,6391180000000.000000,11702538000000.000000,,3831450000000.000000,2587309000000.000000,1829331000000.000000,766290000000.000000,1063041000000.000000,1829331000000.000000,,-187495000000.000000,8060595000000.000000,19763133000000.000000,7662900000.000000
12M 2017,,,554511000000.000000,1208291000000.000000,34678000000.000000,1173613000000.000000,1208291000000.000000,172612000000.000000,,,172612000000.000000,880760000000.000000,110837000000.000000,2927011000000.000000,,50081000000.000000,15999771000000.000000,401808000000.000000,,247732000000.000000,16699392000000.000000,19626403000000.000000,,,5384803000000.000000,,24926000000.000000,1335467000000.000000,1360393000000.000000,514474000000.000000,,,514474000000.000000,44384000000.000000,,44384000000.000000,781172000000.000000,,,847320000000.000000,847320000000.000000,,1720776000000.000000,,,1720776000000.000000,4563000000.000000,111721000000.000000,5384803000000.000000,7044649000000.000000,656803000000.000000,,5767152000000.000000,,,5767152000000.000000,,,,,620694000000.000000,7044649000000.000000,12429452000000.000000,,3831450000000.000000,2587309000000.000000,1071286000000.000000,766290000000.000000,304996000000.000000,1071286000000.000000,,-293094000000.000000,7196951000000.000000,19626403000000.000000,7662900000.000000
