Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Karyawan,Pembayaran Kas Kepada Pemasok,Pembayaran Pajak Penghasilan,Pembayaran Biaya Keuangan,Penerimaan Restitusi Pajak,Penerimaan Bunga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Piutang Pihak Berelasi,Penurunan (Kenaikan) Piutang Pihak Berelasi,Perolehan Aset Tak Berwujud,Pemberian Piutang Lain-Lain Kepada Pihak Berelasi,Penambahan Properti Investasi,Pembayaran Liabilitas Sewa,Penempatan Deposito Berjangka Jangka Panjang,Uang Muka Properti Investasi,Hasil Penjualan Saham Entitas Anak Dikurangi Kas Yang Dikeluarkan,Peningkatan (Penurunan) Bank Yang Dibatasi Penggunaannya,Pembayaran Utang Usaha Dan Utang Lain-Lain Atas Perolehan Investasi,Hasil Penjualan Aset Tetap,Hasil Penjualan Property Investasi,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Hasil Dari Penawaran Umum Perdana Saham,Setoran Modal Kepentingan Nonpengendali,Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Pendek,Penerimaan Setoran Modal Saham,Penerimaan Utang Lain-Lain Kepada Pihak Ketiga Jangka Panjang,Penerimaan Waran,Pembayaran Emisi Saham,Pembayaran Utang Sewa Pembiayaan,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,-17040017634.000000,67757301828.000000,-41770110220.000000,-7933540050.000000,-5561512272.000000,-29728297936.000000,,196141016.000000,-17040017634.000000,-116057018660.000000,3258755169.000000,,,,-57375208107.000000,,,,13148541365.000000,975370345.000000,-74932621485.000000,40002079.000000,300000000.000000,-1471858026.000000,-116057018660.000000,132661283797.000000,,,67510533615.000000,-15560594867.000000,,371648088323.000000,-289636615299.000000,33000000.000000,-1218750000.000000,-114377975.000000,132661283797.000000,-435752497.000000,17863023380.000000,17427270883.000000
12M 2019,-163537531103.000000,76262089853.000000,-155362913278.000000,-11042516295.000000,-10876549743.000000,-62952222072.000000,,434580432.000000,-163537531103.000000,-23081343010.000000,,,,-14586370075.000000,-3238043812.000000,,,,,-2428412832.000000,,104000000.000000,,-2932516291.000000,-23081343010.000000,185874957131.000000,255000000000.000000,22000000.000000,,-44635325111.000000,-19980000000.000000,,,775.000000,-4294740000.000000,-236978533.000000,185874957131.000000,-743916982.000000,17427270883.000000,16683353901.000000
12M 2020,701843342.000000,56239989406.000000,-33583530468.000000,-10932168559.000000,-5482209400.000000,-5696225848.000000,,155988211.000000,701843342.000000,981540393.000000,,,-149705835.000000,-405000000.000000,-3090132829.000000,-1515360000.000000,,,,7057160181.000000,,1562500.000000,,-916983624.000000,981540393.000000,-9282467838.000000,,,,-9282483493.000000,,,,15655.000000,,,-9282467838.000000,-7599084103.000000,16683353901.000000,9084269798.000000
12M 2021,13146527728.000000,47762056026.000000,-14010704280.000000,-9483842986.000000,-5500690592.000000,-5729393721.000000,,109103281.000000,13146527728.000000,-2332863308.000000,,,,,-1654857254.000000,,,,,-366419092.000000,,,,-311586962.000000,-2332863308.000000,-5320703335.000000,,,,-3805358835.000000,,,,15500.000000,,-1515360000.000000,-5320703335.000000,5492961085.000000,9084269798.000000,14577230883.000000
12M 2022,20248093922.000000,62803226107.000000,-30877502173.000000,-9596834796.000000,-8557238188.000000,-6593854233.000000,12927334041.000000,142963164.000000,20248093922.000000,-15095813285.000000,,,,,-6637206009.000000,,-8000000000.000000,,,367887763.000000,,,,-826495039.000000,-15095813285.000000,-6716813523.000000,,,,-5201453523.000000,,,,,,-1515360000.000000,-6716813523.000000,-1564532886.000000,14577230883.000000,13012697997.000000
12M 2023,5783166139.000000,56349898751.000000,-31056828655.000000,-10559607189.000000,-4261117759.000000,-5019410695.000000,,330231686.000000,5783166139.000000,-1970790640.000000,,,,,-1871837038.000000,,2000000000.000000,,,-277976681.000000,,,,-1820976921.000000,-1970790640.000000,-5179403744.000000,,,,-3664043744.000000,,,,,,-1515360000.000000,-5179403744.000000,-1367028245.000000,13012697997.000000,11645669752.000000
12M 2024,3639213004.000000,61646952065.000000,-40213684681.000000,-11659742552.000000,-5511956685.000000,-897891027.000000,,275535884.000000,3639213004.000000,-1682264566.000000,,,,,-897382503.000000,,,,,-53990981.000000,,,,-730891082.000000,-1682264566.000000,-5607939442.000000,,,,-3951867442.000000,,,,,,-1656072000.000000,-5607939442.000000,-3650991004.000000,11645669752.000000,7994678748.000000
