Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Final,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,70713626491.000000,-51305743163.000000,19407883328.000000,-312312555332.000000,-1005757425.000000,-20663979463.000000,-5313597852.000000,-285329220592.000000,-312312555332.000000,-292904672004.000000,-59997114521.000000,-59997114521.000000,-59997114521.000000,-352901786525.000000,-305966891.000000,-353207753416.000000,,-353207753416.000000,315410003.000000,-352892343413.000000,-353207753416.000000,-351740014248.000000,-1467739168.000000,-353207753416.000000,-352892343413.000000,-351424745220.000000,-1467598193.000000,-352892343413.000000
12M 2019,73785894974.000000,-56273494971.000000,17512400003.000000,-87978378087.000000,-686857285.000000,-24077244078.000000,-10619603638.000000,-52594673086.000000,-87978378087.000000,-70465978084.000000,-80056866106.000000,-80056866106.000000,-80056866106.000000,-150522844190.000000,-411556660.000000,-150934400850.000000,,-150934400850.000000,213255711.000000,-150721145139.000000,-150934400850.000000,-149288082567.000000,-1646318283.000000,-150934400850.000000,-150721145139.000000,-149074828044.000000,-1646317095.000000,-150721145139.000000
12M 2020,59434165247.000000,-55402405045.000000,4031760202.000000,-68270426376.000000,-136125084.000000,-22303637837.000000,-5107492830.000000,-40723170625.000000,-68270426376.000000,-64238666174.000000,-71049943113.000000,-71049943113.000000,-71049943113.000000,-135288609287.000000,-279020068.000000,-135567629355.000000,,-135567629355.000000,563983139.000000,-135003646216.000000,-135567629355.000000,-133876562372.000000,-1691066983.000000,-135567629355.000000,-135003646216.000000,-133312579483.000000,-1691066733.000000,-135003646216.000000
12M 2021,53791410731.000000,-52034980122.000000,1756430609.000000,-66669159388.000000,-24451821.000000,-21508175745.000000,-5554182994.000000,-39582348828.000000,-66669159388.000000,-64912728779.000000,-76091778557.000000,-76091778557.000000,-76091778557.000000,-141004507336.000000,-251774691.000000,-141256282027.000000,,-141256282027.000000,695437613.000000,-140560844414.000000,-141256282027.000000,-138882468469.000000,-2373813558.000000,-141256282027.000000,-140560844414.000000,-138187030856.000000,-2373813558.000000,-140560844414.000000
12M 2022,59529722921.000000,-55987150653.000000,3542572268.000000,-42125275396.000000,-30230853.000000,-20339421484.000000,-4859319810.000000,-16896303249.000000,-42125275396.000000,-38582703128.000000,-82571347070.000000,-82571347070.000000,-82571347070.000000,-121154050198.000000,-457658274.000000,-121611708472.000000,,-121611708472.000000,889591481.000000,-120722116991.000000,-121611708472.000000,-118446330813.000000,-3165377659.000000,-121611708472.000000,-120722116991.000000,-117556739332.000000,-3165377659.000000,-120722116991.000000
12M 2023,57342777981.000000,-58457783387.000000,-1115005406.000000,-60669128672.000000,-197711839.000000,-23109499708.000000,-4407446340.000000,-32954470785.000000,-60669128672.000000,-61784134078.000000,-83825643867.000000,-83825643867.000000,-83825643867.000000,-145609777945.000000,-726649181.000000,-146336427126.000000,,-146336427126.000000,-868313003.000000,-147204740129.000000,-146336427126.000000,-142968171677.000000,-3368255449.000000,-146336427126.000000,-147204740129.000000,-143836484680.000000,-3368255449.000000,-147204740129.000000
12M 2024,58900585637.000000,-56421517036.000000,2479068601.000000,-38104983233.000000,-302221202.000000,-25172834889.000000,-4284981838.000000,-8344945304.000000,-38104983233.000000,-35625914632.000000,-84235701838.000000,-84235701838.000000,-84235701838.000000,-119861616470.000000,-476250068.000000,-120337866538.000000,,-120337866538.000000,137685440.000000,-120200181098.000000,-120337866538.000000,-117499878518.000000,-2837988020.000000,-120337866538.000000,-120200181098.000000,-117362193078.000000,-2837988020.000000,-120200181098.000000
