Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Penerimaan Bunga,Pembayaran Bunga,Pembayaran Pajak,Pendapatan (Beban) Operasional Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Pengalihan Uang Muka Saham,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan (Pembayaran) Pinjaman Bank,Penerimaan (Pembayaran) Utang Sewa Pembiayaan,Penerimaan Dari (Pembayaran Untuk) Pihak Berelasi,Koreksi Saldo Laba,Pembayaran Lainnya,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2016,57391562.000000,159551729598.000000,-78314186675.000000,-50290075001.000000,89418726.000000,-7371404158.000000,-23608090928.000000,,57391562.000000,-35478941253.000000,-35478941253.000000,,-35478941253.000000,32448194198.000000,-5657855498.000000,133400000.000000,29307108368.000000,8665541328.000000,,32448194198.000000,-2973355493.000000,13609519914.000000,-599366307.000000,10036798114.000000
12M 2017,49533728753.000000,175613953688.000000,-46917007844.000000,-51144145503.000000,100855107.000000,-18787481702.000000,-9396027097.000000,63582104.000000,49533728753.000000,39832052733.000000,-60167947267.000000,100000000000.000000,39832052733.000000,-84907456339.000000,-134005718198.000000,-362992000.000000,49461253859.000000,,,-84907456339.000000,4458325147.000000,10036798114.000000,-23310077.000000,14471813184.000000
12M 2018,3090874603.000000,187109273179.000000,-120851366531.000000,-37198135609.000000,99887710.000000,-13865015551.000000,-12186309783.000000,-17458812.000000,3090874603.000000,-7090587062.000000,-7090587062.000000,,-7090587062.000000,10177175248.000000,451199423.000000,165096000.000000,9560879825.000000,,,10177175248.000000,6177462789.000000,14471813184.000000,141426477.000000,20790702450.000000
12M 2019,4771027889.000000,156205756731.000000,-97932752377.000000,-38906041828.000000,179583613.000000,-13011248153.000000,-1753382655.000000,-10887442.000000,4771027889.000000,-6642539622.000000,-6642539622.000000,,-6642539622.000000,-7053888295.000000,-5493674359.000000,-124891000.000000,-1435322936.000000,,,-7053888295.000000,-8925400028.000000,20790702450.000000,-171306651.000000,11693995771.000000
12M 2020,-274767212.000000,66537860386.000000,-36790729848.000000,-22580739558.000000,43911901.000000,-7283048973.000000,-202898096.000000,876976.000000,-274767212.000000,-2991453238.000000,-2991453238.000000,,-2991453238.000000,-1732131764.000000,-2858037629.000000,,1125905865.000000,,,-1732131764.000000,-4998352214.000000,8809646139.000000,4646178.000000,3815940103.000000
12M 2021,9640286376.000000,89031944693.000000,-47676323434.000000,-23066598024.000000,46262848.000000,-5714025164.000000,-2717066592.000000,-263907951.000000,9640286376.000000,-4731975012.000000,-4731975012.000000,,-4731975012.000000,-2860996789.000000,-1080682684.000000,,-1780314105.000000,,,-2860996789.000000,2047314575.000000,3815940103.000000,,5863254678.000000
12M 2022,7375766922.000000,94339840129.000000,-52448238039.000000,-20850829493.000000,54254125.000000,-8603875396.000000,-5106593475.000000,-8790929.000000,7375766922.000000,-14439669298.000000,-14439669298.000000,,-14439669298.000000,15217879785.000000,-5803253525.000000,337608000.000000,20683525310.000000,,,15217879785.000000,8153977409.000000,5863254678.000000,224853172.000000,14242085259.000000
12M 2023,6153228052.000000,132733816401.000000,-75716318188.000000,-31492866896.000000,64233321.000000,-19484644857.000000,103453928.000000,-54445657.000000,6153228052.000000,-15540689696.000000,-15540689696.000000,,-15540689696.000000,1601114535.000000,-11731244068.000000,-112536000.000000,13444894603.000000,,,1601114535.000000,-7786347109.000000,14242085259.000000,-14346586.000000,6441391564.000000
12M 2024,40368257761.000000,169846829643.000000,-64547777650.000000,-37365871243.000000,95335900.000000,-24268028258.000000,-3318738559.000000,-73492072.000000,40368257761.000000,-51051576742.000000,-51051576742.000000,,-51051576742.000000,8023910007.000000,-17019765337.000000,373664000.000000,24670011344.000000,,,8023910007.000000,-2659408974.000000,6441391564.000000,-739996199.000000,3041986391.000000
