Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Others,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2020,21112387933.000000,-12357306182.000000,8755081751.000000,-5608752760.000000,-2034301556.000000,-3574451204.000000,-5608752760.000000,3146328991.000000,-1158292149.000000,188956.000000,-229119994.000000,-929361111.000000,-1158292149.000000,1988036842.000000,-604867291.000000,-567894738.000000,19484597.000000,-56457150.000000,-604867291.000000,1383169551.000000,,,,1383169551.000000,1383169551.000000,1414846663.000000,-31677112.000000,1383169551.000000,1383169551.000000,1414846663.000000,-31677112.000000,1383169551.000000
12M 2021,25038111786.0,-15193922728.0,9844189058.0,-7637057495.0,-3211739579.0,-4425317916.0,-7637057495.0,2207131563.0,-741645206.0,303475.0,-188421452.0,-553527229.0,-741645206.0,1465486357.0,-564905610.0,-520604571.0,-31674386.0,-12626653.0,-564905610.0,900580747.0,-2368048.0,-2368048.0,-2368048.0,898212699.0,900580747.0,929020227.0,-28439480.0,900580747.0,898212699.0,926653795.0,-28441096.0,898212699.0
12M 2022,42236350827.000000,-23358363107.000000,18877987720.000000,-15899776624.000000,-7661061486.000000,-8238715138.000000,-15899776624.000000,2978211096.000000,476632240.000000,2458672.000000,-160344907.000000,634518475.000000,476632240.000000,3454843336.000000,-1188169516.000000,-1126408404.000000,-61761112.000000,,-1188169516.000000,2266673820.000000,-116787805.000000,-116787805.000000,-116787805.000000,2149886015.000000,2266673820.000000,2238131078.000000,28542742.000000,2266673820.000000,2149886015.000000,2121803083.000000,28082932.000000,2149886015.000000
12M 2023,48004920268.000000,-28756426573.000000,19248493695.000000,-17784274292.000000,-6551321310.000000,-11232952982.000000,-17784274292.000000,1464219403.000000,-391815640.000000,65420433.000000,-519708539.000000,62472466.000000,-391815640.000000,1072403763.000000,-765166324.000000,-695298023.000000,-69868301.000000,,-765166324.000000,307237439.000000,11745694.000000,11745694.000000,11745694.000000,318983133.000000,307237439.000000,307550007.000000,-312568.000000,307237439.000000,318983133.000000,319295186.000000,-312053.000000,318983133.000000
12M 2024,35026119215.000000,-24190967900.000000,10835151315.000000,-10753918530.000000,-2971696005.000000,-7782222525.000000,-10753918530.000000,81232785.000000,25966635.000000,1474110.000000,-59575298.000000,84067823.000000,25966635.000000,107199420.000000,27190076.000000,-43287698.000000,70477774.000000,,27190076.000000,134389496.000000,1234033.000000,1234033.000000,1234033.000000,135623529.000000,134389496.000000,134371998.000000,17498.000000,134389496.000000,135623529.000000,135606091.000000,17438.000000,135623529.000000
