Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Penerimaan Bunga,Pembayaran Beban Pajak,Pembayaran Beban Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Perolehan Aset Hak Guna,Penerimaan Untuk Piutang Lain-Lain Dari Pihak Berelasi,Pembayaran Untuk Piutang Lain-Lain Kepada Pihak Berelasi,Hasil Penjualan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Tambahan Modal Disetor,Pembayaran Utang Pembiayaan,Pembayaran Liabilitas Sewa,Penerimaan Setoran Modal,Pembayaran Pinjaman Bank,Pembayaran Dividen,Penerimaan (Pembayaran) Untuk Utang Lain-Lain Dari Pihak Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2020,1912723658.000000,20860452293.000000,-14583393401.000000,-4140130168.000000,188956.000000,,-224394022.000000,1912723658.000000,-889805619.000000,-197900619.000000,,,-700000000.000000,8095000.000000,-889805619.000000,-799183620.000000,,-43960558.000000,-755223062.000000,,,,,-799183620.000000,,223734419.000000,,79631720.000000,303366139.000000
12M 2021,3515742363.000000,24598167815.000000,-15518251592.000000,-5320341847.000000,303478.000000,-56813067.000000,-187322424.000000,3515742363.000000,-5563107409.000000,-3982778803.000000,,,-1580328606.000000,,-5563107409.000000,19444948869.000000,,-47717859.000000,-507333272.000000,20000000000.000000,,,,19444948869.000000,,17397583823.000000,,303366139.000000,17700949962.000000
12M 2022,-10378135260.000000,27693007371.000000,-27171994700.000000,-9496522324.000000,2458672.000000,-1244739372.000000,-160344907.000000,-10378135260.000000,-10408115868.000000,-10890376719.000000,-1590279030.000000,2072539881.000000,,,-10408115868.000000,3515005300.000000,,460534569.000000,292633849.000000,400000000.000000,2361836882.000000,,,3515005300.000000,,-17271245828.000000,,17700949961.000000,429704133.000000
12M 2023,-6417227185.000000,51360161441.000000,-44956516028.000000,-10426265441.000000,65420433.000000,-1940319051.000000,-519708539.000000,-6417227185.000000,-14058023429.000000,-14050306092.000000,-669717337.000000,,,662000000.000000,-14058023429.000000,42153432724.000000,43019278278.000000,-176300404.000000,-223780908.000000,5100072640.000000,-3201836882.000000,-2550000000.000000,186000000.000000,42153432724.000000,,21678182110.000000,,429704133.000000,22107886243.000000
12M 2024,-2696422796.000000,43068166105.000000,-38362820162.000000,-7264461495.000000,1474110.000000,-94812488.000000,-43968866.000000,-2696422796.000000,-4382594750.000000,-3825284194.000000,-755555556.000000,,,198245000.000000,-4382594750.000000,-809928101.000000,483920.000000,-318452738.000000,,42080.000000,,-306001363.000000,-186000000.000000,-809928101.000000,,-7888945647.000000,,22107886243.000000,14218940596.000000
