Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2020,,,303366139.000000,279796845.000000,279796845.000000,,279796845.000000,734209120.000000,700000000.000000,34209120.000000,734209120.000000,1962832916.000000,20000000.000000,3300205020.000000,,419820328.000000,19484597.000000,421147288.000000,860452213.000000,4160657233.000000,,,3040686961.000000,840000000.000000,,1374906395.000000,,1374906395.000000,,,,,119917989.000000,653449388.000000,,52413189.000000,,52413189.000000,,3040686961.000000,177195318.000000,,91735374.000000,,91735374.000000,,85459944.000000,177195318.000000,3217882279.000000,,,,909475802.000000,,909475802.000000,909475802.000000,33299152.000000,,942774954.000000,4160657233.000000,
12M 2021,,,17700949961.000000,702255442.000000,702255442.000000,,702255442.000000,2306028606.000000,2280328606.000000,25700000.000000,2306028606.000000,2537292182.000000,65547208.000000,23312073399.000000,,5477437086.000000,14831601.000000,505095531.000000,5997364218.000000,29309437617.000000,,,7341192894.000000,840000000.000000,,1578738600.000000,,1578738600.000000,,1399531389.000000,,1399531389.000000,256900380.000000,3198958448.000000,,67064077.000000,,67064077.000000,,7341192894.000000,127257070.000000,,29366627.000000,,29366627.000000,26353479.000000,71536964.000000,127257070.000000,7468449964.000000,,20000000000.000000,,1851505296.000000,,1851505296.000000,1851505296.000000,4858056.000000,-15375699.000000,21840987653.000000,29309437617.000000,200000.000000
12M 2022,,,429704133.000000,15688201656.000000,15688201656.000000,,15688201656.000000,265316975.000000,,265316975.000000,265316975.000000,2604215894.000000,106466290.000000,19093904948.000000,,15880261827.000000,23788048.000000,3769240792.000000,19673290667.000000,38767195615.000000,,,7708415977.000000,,,7273700409.000000,,7273700409.000000,,153873500.000000,,153873500.000000,,,,,215389955.000000,215389955.000000,65452113.000000,7708415977.000000,756854411.000000,,472451026.000000,77243894.000000,549694920.000000,85044146.000000,122115345.000000,756854411.000000,8465270388.000000,,20400000000.000000,-66917307.000000,4143224090.000000,100000000.000000,4043224090.000000,4143224090.000000,126630321.000000,-44547421.000000,24558389683.000000,33023660071.000000,2550000000.000000
12M 2023,,,22107886243.000000,12337292380.000000,12337292380.000000,,12337292380.000000,5332500.000000,,5332500.000000,5332500.000000,3026879933.000000,8332318139.000000,45809709195.000000,,28213028123.000000,26177845.000000,724632863.000000,28963838831.000000,74773548026.000000,,,3923952115.000000,,,1857414965.000000,,1857414965.000000,,1225000.000000,186000000.000000,187225000.000000,593654980.000000,931993925.000000,,159869868.000000,45519905.000000,205389773.000000,148273472.000000,3923952115.000000,502829013.000000,,220795001.000000,23333036.000000,244128037.000000,160615131.000000,98085845.000000,502829013.000000,4426781128.000000,,25500072640.000000,42952360971.000000,1928039005.000000,200000000.000000,1728039005.000000,1928039005.000000,-444119.000000,-33261599.000000,70346766898.000000,74773548026.000000,2550007264.000000
12M 2024,,,14218940596.000000,4161262547.000000,4161262547.000000,,4161262547.000000,,,,,2780029543.000000,22790827790.000000,43951060476.000000,,28362988162.000000,18331316.000000,720634136.000000,29101953614.000000,73053014090.000000,,,2533208250.000000,,,1127304069.000000,,1127304069.000000,,1725000.000000,,1725000.000000,219201340.000000,880469135.000000,,234758438.000000,64900500.000000,299658938.000000,4849768.000000,2533208250.000000,342890790.000000,,180103693.000000,3952441.000000,184056134.000000,82638889.000000,76195767.000000,342890790.000000,2876099040.000000,,25500114720.000000,42952844891.000000,1756409626.000000,250000000.000000,1506409626.000000,1756409626.000000,-426681.000000,-32027506.000000,70176915050.000000,73053014090.000000,2550011472.000000
