Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2020,,,0.00,0.00,,34.01%,155.57%,0.00%,13.73
12M 2021,0.00 B,4645.10,0.00,0.00,,3.17%,4.25%,19.12%,11.71
12M 2022,2.55 B,0.88,0.00,0.00,,5.77%,9.16%,11.23%,18.57
12M 2023,2.55 B,0.12,166.67,1.06,,0.41%,0.44%,2.87%,2.82
12M 2024,2.55 B,0.05,1140.00,4.15,,0.18%,0.19%,0.11%,1.36
