Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,177317183000.000000,-104677545000.000000,72639638000.000000,-67279857000.000000,-30194494000.000000,-36011539000.000000,-1073824000.000000,-67279857000.000000,5359781000.000000,-34498000.000000,,,-34498000.000000,-34498000.000000,5325283000.000000,-2116527000.000000,-2524599000.000000,408072000.000000,-2116527000.000000,3208756000.000000,,,,3208756000.000000,3208756000.000000,3208756000.000000,,3208756000.000000,,,,
12M 2009,181043444000.000000,-112987879000.000000,68055565000.000000,-65454564000.000000,-23382425000.000000,-37924028000.000000,-4148111000.000000,-65454564000.000000,2601001000.000000,-90862000.000000,,,-90862000.000000,-90862000.000000,2510139000.000000,-1065931000.000000,-1555367000.000000,489436000.000000,-1065931000.000000,1444208000.000000,,,,1444208000.000000,1444208000.000000,1444208000.000000,,1444208000.000000,,,,
12M 2010,182906314000.000000,-95994345000.000000,86911969000.000000,-79407883000.000000,-30496560000.000000,-43787434000.000000,-5123889000.000000,-79407883000.000000,7504086000.000000,218173000.000000,,,218173000.000000,218173000.000000,7722259000.000000,-2370054000.000000,-3130591000.000000,760537000.000000,-2370054000.000000,5352205000.000000,,,,5352205000.000000,5352205000.000000,5352205000.000000,,5352205000.000000,,,,
12M 2011,238766272000.000000,-130965208000.000000,107801064000.000000,-93680967000.000000,-32751998000.000000,-51869240000.000000,-9059729000.000000,-93680967000.000000,14120097000.000000,105548000.000000,,,105548000.000000,105548000.000000,14225645000.000000,-3846191000.000000,-6711109000.000000,2864918000.000000,-3846191000.000000,10379454000.000000,,,,10379454000.000000,10379454000.000000,10379454000.000000,,10379454000.000000,10379454000.000000,10379454000.000000,,10379454000.000000
12M 2012,263557243000.000000,-138145510000.000000,125411733000.000000,-86198793000.000000,-38605153000.000000,-60465358000.000000,12871718000.000000,-86198793000.000000,39212940000.000000,-4174435000.000000,91003000.000000,-4372924000.000000,107486000.000000,-4174435000.000000,35038505000.000000,-5395812000.000000,-6634295000.000000,1238483000.000000,-5395812000.000000,29642693000.000000,,,,29642693000.000000,29642693000.000000,29642693000.000000,,29642693000.000000,29642693000.000000,29642693000.000000,,29642693000.000000
12M 2013,262157289000.000000,-138847740000.000000,123309549000.000000,-109058890000.000000,-36762918000.000000,-69543566000.000000,-2752406000.000000,-109058890000.000000,14250659000.000000,-4048880000.000000,121228000.000000,-4309264000.000000,139156000.000000,-4048880000.000000,10201779000.000000,-2845515000.000000,,,-2845515000.000000,7356264000.000000,,,,7356264000.000000,7356264000.000000,7356264000.000000,,7356264000.000000,7356264000.000000,7356264000.000000,,7356264000.000000
12M 2014,316614348000.000000,-203198119000.000000,113416229000.000000,-89504429000.000000,-35752657000.000000,-63796293000.000000,10044521000.000000,-89504429000.000000,23911800000.000000,-6330495000.000000,138496000.000000,-5115818000.000000,-1353173000.000000,-6330495000.000000,17581305000.000000,-2583740000.000000,,,-2583740000.000000,14997565000.000000,,,,14997565000.000000,14997565000.000000,14997565000.000000,,14997565000.000000,14997565000.000000,14997565000.000000,,14997565000.000000
12M 2015,252446328000.000000,-139794033000.000000,112652295000.000000,-98834275000.000000,-32181391000.000000,-64971036000.000000,-1681848000.000000,-98834275000.000000,13818020000.000000,-9389838000.000000,78923000.000000,-7375595000.000000,-2093166000.000000,-9389838000.000000,4428182000.000000,-1811454000.000000,,,-1811454000.000000,2616728000.000000,3959131000.000000,3959131000.000000,3959131000.000000,6575859000.000000,6575859000.000000,6575859000.000000,,6575859000.000000,6575859000.000000,6575859000.000000,,6575859000.000000
12M 2016,231671907000.000000,-134296804000.000000,97375103000.000000,-104171568000.000000,-34264406000.000000,-66729244000.000000,-3177918000.000000,-104171568000.000000,-6796465000.000000,-11981130000.000000,59650000.000000,-12780780000.000000,740000000.000000,-11981130000.000000,-18777595000.000000,5194378000.000000,,,5194378000.000000,-13583217000.000000,19899000.000000,19899000.000000,19899000.000000,-13563318000.000000,-13583217000.000000,-13583217000.000000,,-13583217000.000000,-13563318000.000000,-13563318000.000000,,-13563318000.000000
12M 2017,287428993000.000000,-177614729000.000000,109814264000.000000,-95166983000.000000,-28935389000.000000,-64121714000.000000,-2109880000.000000,-95166983000.000000,14647281000.000000,-14470343000.000000,135336000.000000,-13789219000.000000,-816460000.000000,-14470343000.000000,176938000.000000,-610289000.000000,,,-610289000.000000,-433351000.000000,3496824000.000000,3496824000.000000,3496824000.000000,3063473000.000000,-433351000.000000,-150023000.000000,-283328000.000000,-433351000.000000,3063473000.000000,3346801000.000000,-283328000.000000,3063473000.000000
12M 2018,291545184000.000000,-182337713000.000000,109207471000.000000,-101331822000.000000,-37150920000.000000,-61918124000.000000,-2262778000.000000,-101331822000.000000,7875649000.000000,-4947989000.000000,264083000.000000,-5212072000.000000,,-4947989000.000000,2927660000.000000,63089000.000000,,,63089000.000000,2990749000.000000,1551854000.000000,1551854000.000000,1551854000.000000,4542603000.000000,2990749000.000000,2848073000.000000,142676000.000000,2990749000.000000,4542603000.000000,4399927000.000000,142676000.000000,4542603000.000000
12M 2019,305171707000.000000,-195623394000.000000,109548313000.000000,-97816162000.000000,-41041582000.000000,-61725876000.000000,4951296000.000000,-97816162000.000000,11732151000.000000,-9611799000.000000,84767000.000000,-9696566000.000000,,-9611799000.000000,2120352000.000000,-881707000.000000,,,-881707000.000000,1238645000.000000,1648576000.000000,,1648576000.000000,2887221000.000000,1238645000.000000,1105514000.000000,133131000.000000,1238645000.000000,2887221000.000000,2754090000.000000,133131000.000000,2887221000.000000
12M 2020,191646866000.000000,-134977880000.000000,56668986000.000000,-100627677000.000000,-35701569000.000000,-52519870000.000000,-12406238000.000000,-100627677000.000000,-43958691000.000000,-8096293000.000000,126566000.000000,-8222859000.000000,,-8096293000.000000,-52054984000.000000,1980039000.000000,,,1980039000.000000,-50074945000.000000,-652222000.000000,,-652222000.000000,-50727167000.000000,-50074945000.000000,-47744290000.000000,-2330655000.000000,-50074945000.000000,-50727167000.000000,-48359496000.000000,-2367671000.000000,-50727167000.000000
12M 2021,189126313000.000000,-114114991000.000000,75011322000.000000,-66176906000.000000,-32078299000.000000,-33749054000.000000,-349553000.000000,-66176906000.000000,8834416000.000000,-7567872000.000000,113645000.000000,-7681517000.000000,,-7567872000.000000,1266544000.000000,3476774000.000000,,,3476774000.000000,4743318000.000000,-751433000.000000,,-751433000.000000,3991885000.000000,4743318000.000000,4766895000.000000,-23577000.000000,4743318000.000000,3991885000.000000,4032689000.000000,-40804000.000000,3991885000.000000
12M 2022,211097821000.000000,-134068979000.000000,77028842000.000000,-74888117000.000000,-37903148000.000000,-36738832000.000000,-246137000.000000,-74888117000.000000,2140725000.000000,-7066025000.000000,81011000.000000,-8370553000.000000,1223517000.000000,-7066025000.000000,-4925300000.000000,1899861000.000000,-1552182000.000000,3452043000.000000,1899861000.000000,-3025439000.000000,1853572000.000000,,1853572000.000000,-1171867000.000000,-3025438000.000000,-3378506000.000000,353068000.000000,-3025438000.000000,-1171866000.000000,-1536922000.000000,365056000.000000,-1171866000.000000
12M 2023,216764616000.000000,-132011868000.000000,84752748000.000000,-78093395000.000000,-40008009000.000000,-42198341000.000000,4112955000.000000,-78093395000.000000,6659353000.000000,-7537592000.000000,459559000.000000,-7997151000.000000,,-7537592000.000000,-878239000.000000,2114065000.000000,-1661262000.000000,3775327000.000000,2114065000.000000,1235826000.000000,276620000.000000,,276620000.000000,1512446000.000000,1235826000.000000,905861000.000000,329965000.000000,1235826000.000000,1512446000.000000,1161882000.000000,350564000.000000,1512446000.000000
