Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Berelasi,Total Piutang Lain-Lain,Aset Tetap,Investasi Pada Entitas Asosiasi,Aset Pajak Tangguhan,Properti Investasi,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lain Jangka Panjang,Pihak Ketiga,Pihak Berelasi,Total Utang Lain Jangka Panjang,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,3867642000.000000,44818147000.000000,,,44818147000.000000,,,,,7890924000.000000,9911840000.000000,66488553000.000000,,81962000.000000,81962000.000000,81962000.000000,62284809000.000000,84252000.000000,2635312000.000000,,3020933000.000000,68107268000.000000,134595821000.000000,,,44654150000.000000,13892246000.000000,10238259000.000000,,,10238259000.000000,,,,,5499283000.000000,5472041000.000000,,388887000.000000,388887000.000000,9163434000.000000,44654150000.000000,19984790000.000000,,7439514000.000000,7439514000.000000,,,,,2548836000.000000,9996440000.000000,19984790000.000000,64638940000.000000,,72500000000.000000,22073795000.000000,-24632417000.000000,,,-24632417000.000000,,15503000.000000,69956881000.000000,134595821000.000000,725000000.000000
12M 2009,,,4297961000.000000,48909371000.000000,,,48909371000.000000,,,,,8035081000.000000,9680134000.000000,70922547000.000000,,82962000.000000,82962000.000000,82962000.000000,60754861000.000000,64640000.000000,3054656000.000000,,2870702000.000000,66827821000.000000,137750368000.000000,,,43243604000.000000,22989674000.000000,4795731000.000000,,,4795731000.000000,,,,,3698427000.000000,3981213000.000000,,,,7778559000.000000,43243604000.000000,23105675000.000000,,7939251000.000000,7939251000.000000,,,,,2478745000.000000,12687679000.000000,23105675000.000000,66349279000.000000,,72500000000.000000,22073795000.000000,-23188209000.000000,,,-23188209000.000000,,15503000.000000,71401089000.000000,137750368000.000000,725000000.000000
12M 2010,,,19405170000.000000,42565989000.000000,,,42565989000.000000,,,,,8394964000.000000,19444529000.000000,89810652000.000000,,82962000.000000,82962000.000000,82962000.000000,58457018000.000000,282813000.000000,3251851000.000000,,2620994000.000000,64695638000.000000,154506290000.000000,,,51968644000.000000,25297514000.000000,5840843000.000000,,,5840843000.000000,,,,,5238325000.000000,6170953000.000000,,,,9421009000.000000,51968644000.000000,25784352000.000000,,,,,,8264484000.000000,8264484000.000000,1915402000.000000,15604466000.000000,25784352000.000000,77752996000.000000,,72500000000.000000,22073795000.000000,-17836004000.000000,,-17836004000.000000,-17836004000.000000,,15503000.000000,76753294000.000000,154506290000.000000,725000000.000000
12M 2011,,,7660274000.000000,55379391000.000000,,,55379391000.000000,,,,,10312505000.000000,20158605000.000000,93510775000.000000,,90958000.000000,90958000.000000,90958000.000000,75648275000.000000,388361000.000000,4334416000.000000,,2371286000.000000,82833296000.000000,176344071000.000000,,,46490996000.000000,,6757397000.000000,,,6757397000.000000,,,,,7805004000.000000,6713826000.000000,,11118383000.000000,11118383000.000000,14096386000.000000,46490996000.000000,42720327000.000000,,14393166000.000000,14393166000.000000,,,8597833000.000000,8597833000.000000,133049000.000000,19596279000.000000,42720327000.000000,89211323000.000000,,72500000000.000000,22073795000.000000,-7456550000.000000,,-7456550000.000000,-7456550000.000000,,15503000.000000,87132748000.000000,176344071000.000000,725000000.000000
12M 2012,,,17437910000.000000,70694199000.000000,1527947000.000000,69166252000.000000,70694199000.000000,,,,,14135948000.000000,25359018000.000000,127627075000.000000,,82963000.000000,82963000.000000,82963000.000000,76678692000.000000,,5439848000.000000,,2617425000.000000,84818928000.000000,212446003000.000000,,,48138736000.000000,14984577000.000000,,11416280000.000000,,11416280000.000000,,,,,10169731000.000000,6210622000.000000,,3336000000.000000,3336000000.000000,2021526000.000000,48138736000.000000,47531826000.000000,,11057166000.000000,11057166000.000000,,,8916607000.000000,8916607000.000000,,27558053000.000000,47531826000.000000,95670562000.000000,,72500000000.000000,22073795000.000000,22186143000.000000,,,22186143000.000000,,15503000.000000,116775441000.000000,212446003000.000000,725000000.000000
12M 2013,,,21528858000.000000,61715599000.000000,1015858000.000000,60699741000.000000,61715599000.000000,,,,,12286427000.000000,42544677000.000000,138075561000.000000,,83405000.000000,83405000.000000,83405000.000000,99484100000.000000,,7165024000.000000,,2506874000.000000,109239403000.000000,247314964000.000000,,,52911874000.000000,31490708000.000000,,6006154000.000000,,6006154000.000000,10000000.000000,,,10000000.000000,5147943000.000000,4838064000.000000,,3336000000.000000,3336000000.000000,2083005000.000000,52911874000.000000,70996385000.000000,,26795432000.000000,26795432000.000000,,,9203855000.000000,9203855000.000000,132906000.000000,34864192000.000000,70996385000.000000,123908259000.000000,,72500000000.000000,22089298000.000000,28817407000.000000,1000000000.000000,27817407000.000000,28817407000.000000,,,123406705000.000000,247314964000.000000,725000000.000000
12M 2014,,,19365271000.000000,79241437000.000000,1102782000.000000,78138655000.000000,79241437000.000000,,,,,17499509000.000000,46288721000.000000,162394938000.000000,,684725000.000000,684725000.000000,684725000.000000,146496923000.000000,,8197339000.000000,,4997494000.000000,160376481000.000000,322771419000.000000,,,77932193000.000000,40993658000.000000,,20324413000.000000,,20324413000.000000,,,,,4819866000.000000,6082567000.000000,,3336000000.000000,3336000000.000000,2375689000.000000,77932193000.000000,106434956000.000000,,55978212000.000000,55978212000.000000,,,10835191000.000000,10835191000.000000,292600000.000000,39328953000.000000,106434956000.000000,184367149000.000000,,72500000000.000000,22089298000.000000,43814972000.000000,1100000000.000000,42714972000.000000,43814972000.000000,,,138404270000.000000,322771419000.000000,725000000.000000
12M 2015,,,14540495000.000000,68153916000.000000,1529325000.000000,66624591000.000000,68153916000.000000,,,,,21739507000.000000,32745685000.000000,137179603000.000000,,6231468000.000000,6231468000.000000,6231468000.000000,191538871000.000000,,8868908000.000000,,2654620000.000000,209293867000.000000,346473470000.000000,,,72869808000.000000,40119144000.000000,,15596811000.000000,,15596811000.000000,,,,,7877302000.000000,4515725000.000000,,1700000000.000000,1700000000.000000,3060826000.000000,72869808000.000000,122226772000.000000,,70408023000.000000,70408023000.000000,,,19935191000.000000,19935191000.000000,292600000.000000,31590958000.000000,122226772000.000000,195096580000.000000,,72500000000.000000,22089298000.000000,56787593000.000000,1200000000.000000,55587593000.000000,56787593000.000000,,,151376891000.000000,346473471000.000000,725000000.000000
12M 2016,,,11686283000.000000,61791506000.000000,1197671000.000000,60593835000.000000,61791506000.000000,,,,,15410609000.000000,69108238000.000000,157996636000.000000,,7231498000.000000,7231498000.000000,7231498000.000000,95417767000.000000,,15092779000.000000,62525778000.000000,3222207000.000000,183490029000.000000,341486665000.000000,,,71600611000.000000,40498073000.000000,,10259451000.000000,,10259451000.000000,,,,,10858725000.000000,3804139000.000000,,1600000000.000000,1600000000.000000,4580223000.000000,71600611000.000000,132072481000.000000,,69008023000.000000,69008023000.000000,,,26421768000.000000,26421768000.000000,292600000.000000,36350090000.000000,132072481000.000000,203673092000.000000,,72500000000.000000,22089298000.000000,43204376000.000000,1200000000.000000,42004376000.000000,43204376000.000000,,19899000.000000,137813573000.000000,341486665000.000000,725000000.000000
12M 2017,,,11935081000.000000,82127899000.000000,1561995000.000000,80565904000.000000,82127899000.000000,,,,,16105834000.000000,84102319000.000000,194271133000.000000,,8552453000.000000,8552453000.000000,8552453000.000000,99056906000.000000,,15218825000.000000,80554814000.000000,2248019000.000000,205631017000.000000,399902150000.000000,,,126366031000.000000,40558444000.000000,,16966343000.000000,,16966343000.000000,,11000000000.000000,7220403000.000000,18220403000.000000,20845150000.000000,11371865000.000000,,1200000000.000000,1200000000.000000,17203826000.000000,126366031000.000000,117659072000.000000,,68208023000.000000,68208023000.000000,,,14612764000.000000,14612764000.000000,418819000.000000,34419466000.000000,117659072000.000000,244025103000.000000,,72500000000.000000,22089298000.000000,38518866000.000000,1200000000.000000,37318866000.000000,38518866000.000000,14716672000.000000,8052211000.000000,155877047000.000000,399902150000.000000,725000000.000000
