Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Penjualan Barang Sisa,Pembayaran Kas Kepada:,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Total Pembayaran Kas Kepada:,Beban Usaha,Pembayaran Bunga,Pembayaran Pajak Penghasilan,Penerimaan Hasil Retritusi Pajak,Pendapatan/Beban Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penjualan Aset Tetap,Hasil Penjualan Saham Anak Usaha,Penerimaan Deviden,Penyertaan Dalam Saham,Tambahan Investasi Pada Entitas Asosiasi,Pembelian Aset,Obligasi,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Hutang Jangka Pendek,Pembayaran Pinjaman Bank Jangka Pendek,Penerimaan Hutang Jangka Panjang,Penerimaan Pendanaan Lainnya,Penerimaan (Pembayaran) Pinjaman Dari Pihak Berelasi,Penerimaan (Pembayaran) Pinjaman Dari Pihak Ketiga,Pembayaran Hutang Jangka Panjang,Tambahan Modal Dasar,Tambahan Modal Disetor,Pembayaran Deviden Kas,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Koreksi Saldo Laba - Dampak Implementasi Psak 71,Kas Dan Setara Kas Awal Periode,Dampak Konsolidasi Anak Usaha,Kas Dan Setara Kas Akhir Periode
12M 2008,9275733000.000000,183748514000.000000,1066958000.000000,,-71647798000.000000,-46839590000.000000,-118487388000.000000,-48766329000.000000,-2070843000.000000,-6418144000.000000,,202965000.000000,9275733000.000000,-11990199000.000000,58700000.000000,,,-118750000.000000,,,,-11930149000.000000,-11990199000.000000,5069365000.000000,,,5736032000.000000,,,,-666667000.000000,,,,5069365000.000000,2354899000.000000,,1512743000.000000,,3867642000.000000
12M 2009,-4311935000.000000,181040760000.000000,1003871000.000000,,-86411002000.000000,-52498964000.000000,-138909966000.000000,-43330303000.000000,-3050664000.000000,-1337743000.000000,,272110000.000000,-4311935000.000000,-4299425000.000000,258178000.000000,,,-71250000.000000,,,,-4486353000.000000,-4299425000.000000,9041679000.000000,,,12930568000.000000,,,,-3888889000.000000,,,,9041679000.000000,430319000.000000,,3867642000.000000,,4297961000.000000
12M 2010,20936266000.000000,196962290000.000000,718375000.000000,,-58927532000.000000,-62703160000.000000,-121630692000.000000,-52651610000.000000,-2576897000.000000,-74622000.000000,,189422000.000000,20936266000.000000,-8136897000.000000,79756000.000000,,,,,,,-8216653000.000000,-8136897000.000000,2307840000.000000,,,2307840000.000000,,,,,,,,2307840000.000000,15107209000.000000,,4297961000.000000,,19405170000.000000
12M 2011,11379003000.000000,218546402000.000000,1028419000.000000,,-202426725000.000000,,-202426725000.000000,,-2828779000.000000,-2585689000.000000,,-354625000.000000,11379003000.000000,-23321608000.000000,11465094000.000000,,,,,,,-34786702000.000000,-23321608000.000000,197709000.000000,,-17531457000.000000,19675166000.000000,,,,-1946000000.000000,,,,197709000.000000,-11744896000.000000,,19405170000.000000,,7660274000.000000
12M 2012,-5427890000.000000,231420679000.000000,1118379000.000000,,-228094669000.000000,,-228094669000.000000,,-4013278000.000000,-6071763000.000000,325508000.000000,-112746000.000000,-5427890000.000000,11323005000.000000,21008813000.000000,,,,,,,-9685808000.000000,11323005000.000000,3882521000.000000,7218521000.000000,,,,,,-3336000000.000000,,,,3882521000.000000,9777636000.000000,,7660274000.000000,,17437910000.000000
12M 2013,6581965000.000000,331304762000.000000,1080609000.000000,,-317378036000.000000,,-317378036000.000000,,-3899462000.000000,-5110202000.000000,,584294000.000000,6581965000.000000,-33963063000.000000,250000000.000000,,,,,,,-34213063000.000000,-33963063000.000000,31472046000.000000,16499325000.000000,,19033721000.000000,,,,-3336000000.000000,,,-725000000.000000,31472046000.000000,4090948000.000000,,17437910000.000000,,21528858000.000000
12M 2014,7862777000.000000,362581027000.000000,1381255000.000000,,-345579179000.000000,,-345579179000.000000,,-9048750000.000000,-1678582000.000000,,207006000.000000,7862777000.000000,-48712094000.000000,11620000000.000000,,,,,,,-60332094000.000000,-48712094000.000000,38685730000.000000,9502950000.000000,,32518780000.000000,,,,-3336000000.000000,,,,38685730000.000000,-2163587000.000000,,21528858000.000000,,19365271000.000000
12M 2015,4423461000.000000,244677431000.000000,1683248000.000000,,-230257824000.000000,,-230257824000.000000,,-13270418000.000000,-968798000.000000,,2559822000.000000,4423461000.000000,-27731753000.000000,461295000.000000,,,,,,,-28193048000.000000,-27731753000.000000,18483517000.000000,,-874513000.000000,15623811000.000000,,6564219000.000000,,-2830000000.000000,,,,18483517000.000000,-4824775000.000000,,19365271000.000000,,14540496000.000000
12M 2016,-4204988000.000000,342592918000.000000,1299879000.000000,,-334647378000.000000,,-334647378000.000000,,-13745409000.000000,-62271000.000000,,357273000.000000,-4204988000.000000,-3014699000.000000,655415000.000000,,,,,,,-3670114000.000000,-3014699000.000000,4365475000.000000,278929000.000000,,,,5486546000.000000,,-1400000000.000000,,,,4365475000.000000,-2854212000.000000,,14540495000.000000,,11686283000.000000
12M 2017,-5882110000.000000,279716203000.000000,1491822000.000000,-277749276000.000000,,,-277749276000.000000,,-12498468000.000000,-240948000.000000,,3398557000.000000,-5882110000.000000,-5241415000.000000,1700000.000000,,,,,,,-5243115000.000000,-5241415000.000000,11372323000.000000,60371000.000000,,,,511952000.000000,,-1200000000.000000,,12000000000.000000,,11372323000.000000,248798000.000000,,11686283000.000000,,11935081000.000000
