Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Karyawan,Penerimaan Penghasilan Bunga,Penerimaan Pajak,Pembayaran Pajak Penghasilan,Pembayaran Beban Keuangan,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Uang Muka Untuk Perolehan Aset Tetap,Perolehan Aset Tetap,Penerimaan Kas Dari Pelepasan Aset Tetap,Penambahan Aset Tidak Berwujud,Uang Muka Pembelian,Pencairan (Penempatan) Jaminan,Penempatan Investasi Jangka Pendek,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Pinjaman Jangka Pendek,Pembayaran Dari Pinjaman Jangka Pendek,Penerimaan Dari Utang Bank,Pembayaran Pinjaman Bank,Penerimaan (Pembayaran) Pinjaman Pihak Berelasi,Penerimaan Pinjaman Pihak Berelasi,Setoran Modal Saham,Pembayaran Imbalan Kerja Karyawan,Pengembalian (Penempatan) Pinjaman Pihak Ketiga,Penerimaan Dari Pinjaman Pihak Ketiga,Pembayaran Dari Pinjaman Pihak Ketiga,Pembayaran Sewa Pembiayaan Dan Pembiayaan Konsumen,Penerimaan Sewa Pembiayaan Dan Pembiayaan Konsumen,Pembayaran Utang Non Usaha Pihak Berelasi,Pembayaran Utang Non Usaha Pihak Ketiga,Penerimaan Utang Non Usaha Pihak Ketiga,Pembayaran Liabilitas Sewa,Agio Saham,Penerimaan Dari Utang Obligasi,Pembayaran Surat Utang Obligasi,Pembayaran Pinjaman Jangka Menengah,Pembayaran Dividen,Penerimaan Dari Surat Utang,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Bank Entitas Anak Yang Di Dekonsolidasi,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2017,-5634612.000000,134429761.000000,-131571391.000000,5283.000000,13422.000000,-2132655.000000,-6379032.000000,,-5634612.000000,-275461.000000,,-362284.000000,23107.000000,,,,63716.000000,-275461.000000,6023692.000000,79534109.000000,-76440785.000000,2029615.000000,-5306531.000000,6150507.000000,,,,,,,-59223.000000,,,-19784000.000000,,,,,,,-100000.000000,20000000.000000,6023692.000000,113619.000000,2036187.000000,,-73940.000000,2075866.000000
12M 2018,-38407423.000000,245012364.000000,-272549295.000000,1879021.000000,,-2114099.000000,-10635414.000000,,-38407423.000000,-16046006.000000,-14584628.000000,-1496478.000000,33258.000000,,,1842.000000,,-16046006.000000,58483184.000000,,,8884752.000000,-1283935.000000,-21398281.000000,,13090553.000000,-132113.000000,,,,-82030.000000,,,,,,16026645.000000,,,,-200000.000000,43577593.000000,58483184.000000,4029755.000000,2075866.000000,,-1570189.000000,4535432.000000
12M 2019,27069981.000000,288802940.000000,-247853068.000000,3191159.000000,326413.000000,-3873612.000000,-13523851.000000,,27069981.000000,-3968697.000000,-3596864.000000,-356653.000000,1434.000000,,,-16614.000000,,-3968697.000000,-6269058.000000,,,-9096818.000000,-3982912.000000,-15929404.000000,,,,-10448816.000000,,,-184030.000000,,-696173.000000,-14901.000000,,,,34383996.000000,,,-300000.000000,,-6269058.000000,16832226.000000,4535432.000000,,,21367658.000000
12M 2020,48726324.000000,245668756.000000,-185439110.000000,2322805.000000,1389744.000000,-3026914.000000,-12188957.000000,,48726324.000000,-87905836.000000,,-85021048.000000,9482.000000,-2000000.000000,,-894270.000000,,-87905836.000000,19206042.000000,82112084.000000,-87540911.000000,,,-8000000.000000,33349434.000000,,,,264612.000000,,-200292.000000,,,,,-618885.000000,,,,,-160000.000000,,19206042.000000,-19973470.000000,21367658.000000,,,1394188.000000
12M 2021,-46564523.000000,88779450.000000,-130672604.000000,279544.000000,786852.000000,-568212.000000,-5169553.000000,,-46564523.000000,5396066.000000,,-282451.000000,6294.000000,,,5672223.000000,,5396066.000000,42432852.000000,20876014.000000,-25440786.000000,,,-6610299.000000,43868033.000000,,,-2018121.000000,,,-68791.000000,,,,12593585.000000,-106783.000000,,,,,-660000.000000,,42432852.000000,1264395.000000,1394188.000000,-257849.000000,,2400734.000000
12M 2022,11733767.000000,64282746.000000,-50477844.000000,42243.000000,314827.000000,-1215240.000000,-1212965.000000,,11733767.000000,-328427.000000,,-361941.000000,29791.000000,,,3723.000000,,-328427.000000,-12217761.000000,21192532.000000,-25440786.000000,,,-424315.000000,347057.000000,,,198308.000000,,,-65181.000000,,,,4847367.000000,-230441.000000,,,-4845820.000000,-6996482.000000,-800000.000000,,-12217761.000000,-812421.000000,2400734.000000,,,1588313.000000
