Period,Total Pendapatan,Pendapatan Pembiayaan Konsumen,Pendapatan Bunga,Others,Total Pendapatan,Total Beban Usaha,Beban Umum Dan Administrasi,Pembentukan Cadangan Kerugian Penurunan Nilai,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Non-Operasional,Beban Non-Operasional,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,3592015596.000000,1136811330.000000,969318311.000000,1485885955.000000,3592015596.000000,-3003002883.000000,-2595668562.000000,-407334321.000000,,-3003002883.000000,589012713.000000,1802419136.000000,1802419136.000000,,1802419136.000000,2391431849.000000,-34488859.000000,2356942990.000000,461979875.000000,2818922865.000000,2356942990.000000,2356942990.000000,,2356942990.000000,2818922865.000000,2818922865.000000,,2818922865.000000
12M 2019,9774410425.000000,4264848791.000000,2518422624.000000,2991139010.000000,9774410425.000000,-2267645555.000000,-1943913313.000000,-323732242.000000,,-2267645555.000000,7506764870.000000,-594886793.000000,515719239.000000,-1110606032.000000,-594886793.000000,6911878077.000000,-960529954.000000,5951348123.000000,445375.000000,5951793498.000000,5951348123.000000,5951348123.000000,,5951348123.000000,5951793498.000000,5951793498.000000,,5951793498.000000
12M 2020,9615580115.000000,6232187264.000000,1725452558.000000,1657940293.000000,9615580115.000000,-3438722868.000000,-3344826148.000000,-93896720.000000,,-3438722868.000000,6176857247.000000,-654793327.000000,657231111.000000,-1312024438.000000,-654793327.000000,5522063920.000000,-624214353.000000,4897849567.000000,-288052450.000000,4609797117.000000,4897849567.000000,4897849567.000000,,4897849567.000000,4609797117.000000,4609797117.000000,,4609797117.000000
12M 2021,12133241277.000000,11708717784.000000,424523493.000000,,12133241277.000000,-3668853251.000000,-3618546604.000000,-50306647.000000,,-3668853251.000000,8464388026.000000,2633258713.000000,3537894457.000000,-904635744.000000,2633258713.000000,11097646739.000000,-1897728629.000000,9199918110.000000,33769420.000000,9233687530.000000,9199918110.000000,9199918110.000000,,9199918110.000000,9233687530.000000,9233687530.000000,,9233687530.000000
12M 2022,10958334007.000000,10417063853.000000,541270154.000000,,10958334007.000000,-8409207248.000000,-4663516399.000000,379355068.000000,-4125045917.000000,-8409207248.000000,2549126759.000000,7798367386.000000,7798367386.000000,,7798367386.000000,10347494145.000000,-2035089577.000000,8312404568.000000,-319870980.000000,7992533588.000000,8312404568.000000,8312404568.000000,,8312404568.000000,7992533588.000000,7992533588.000000,,7992533588.000000
12M 2023,9549440635.000000,6757016214.000000,2792424421.000000,,9549440635.000000,-5474428042.000000,-5474428042.000000,,,-5474428042.000000,4075012593.000000,-159577499.000000,,-159577499.000000,-159577499.000000,3915435094.000000,-39656444.000000,3875778650.000000,48295385.000000,3924074035.000000,3875778650.000000,3875778650.000000,,3875778650.000000,3924074035.000000,3924074035.000000,,3924074035.000000
12M 2024,14530779524.000000,13073679773.000000,1457099751.000000,,14530779524.000000,-4416585629.000000,-4416585629.000000,,,-4416585629.000000,10114193895.000000,3266854232.000000,,3266854232.000000,3266854232.000000,13381048127.000000,-2345822521.000000,11035225606.000000,198326887.000000,11233552493.000000,11035225606.000000,11035225606.000000,,11035225606.000000,11233552493.000000,11233552493.000000,,11233552493.000000
