Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari :,Pembiayaan Konsumen,Pembiayaan Modal Usaha,Pendapatan Bunga,Kegiatan Operasi Lainnya,Total Penerimaan Kas Dari :,Pengeluaran Kas Untuk :,Pembiayaan Konsumen,Pembiayaan Modal Usaha,Beban Usaha,Pajak Penghasilan,Total Pengeluaran Kas Untuk :,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pembelian Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penawaran Umum Perdana Saham Perusahaan,Pembayaran Liabilitas Sewa,Tambahan Setoran Modal,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2018,-37889063571.000000,,15661755427.000000,20163847199.000000,885963307.000000,171353547.000000,36882919480.000000,,-32482845185.000000,-39738300000.000000,-2540837866.000000,-10000000.000000,-74771983051.000000,-37889063571.000000,,,,47500000000.000000,47500000000.000000,,,47500000000.000000,9610936429.000000,40290601311.000000,1631065589.000000,51532603329.000000
12M 2019,-21817371424.000000,,44684785360.000000,23001215803.000000,2567079726.000000,402818650.000000,70655899539.000000,,-64386051845.000000,-25965246000.000000,-1864952550.000000,-257020568.000000,-92473270963.000000,-21817371424.000000,,,,30657586667.000000,,,30657586667.000000,30657586667.000000,8840215243.000000,51532603329.000000,-1008522770.000000,59364295802.000000
12M 2020,5485140649.000000,,26897636172.000000,16220000450.000000,1725452558.000000,113935427.000000,44957024607.000000,,-23179895500.000000,-12000000000.000000,-2842979073.000000,-1449009385.000000,-39471883958.000000,5485140649.000000,-1026953000.000000,-1026953000.000000,-1026953000.000000,-588600000.000000,,-588600000.000000,,-588600000.000000,3869587649.000000,59364295802.000000,151330070.000000,63385213521.000000
12M 2021,7787408058.000000,,102288368997.000000,,424523493.000000,-721846300.000000,101991046190.000000,,-90271916747.000000,,-2693400349.000000,-1238321036.000000,-94203638132.000000,7787408058.000000,,,,-614342659.000000,,-614342659.000000,,-614342659.000000,7173065399.000000,63385213521.000000,329317537.000000,70887596457.000000
12M 2022,41408424694.000000,,90844442181.000000,,541270154.000000,,91385712335.000000,,-43399296330.000000,,-4912553576.000000,-1665437735.000000,-49977287641.000000,41408424694.000000,,,,-614342659.000000,,-614342659.000000,,-614342659.000000,40794082035.000000,70887596457.000000,5535810085.000000,117217488577.000000
12M 2023,6557668259.000000,,32670898470.000000,,2792424421.000000,,35463322891.000000,,-14583074638.000000,,-13161343545.000000,-1161236449.000000,-28905654632.000000,6557668259.000000,,,,-614342659.000000,,-614342659.000000,,-614342659.000000,5943325600.000000,117217488577.000000,-1081523349.000000,122079290828.000000
12M 2024,-41475264690.000000,,38683804241.000000,,1457099751.000000,,40140903992.000000,,-44224590683.000000,,-35712175460.000000,-1679402539.000000,-81616168682.000000,-41475264690.000000,-1533200.000000,-1533200.000000,-1533200.000000,-614342659.000000,,-614342659.000000,,-614342659.000000,-42091140549.000000,122079290828.000000,2994294689.000000,82982444968.000000
