Period,Aset,Kas Dan Setara Kas,Portofolio Efek,Piutang Pembiayaan Konsumen,Piutang Lain-Lain,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Beban Akrual,Utang Lain-Lain,Liabilitas Pajak Tangguhan,Utang Pajak,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2018,,51532603329.000000,,26762488057.000000,120308429.000000,49171794.000000,64673921.000000,20653627348.000000,99182872878.000000,,,5000000.000000,,,175183759.000000,38545000.000000,218728759.000000,,100000000000.000000,21915748000.000000,-23413583756.000000,461979875.000000,98964144119.000000,99182872878.000000,1000000000.000000
12M 2019,,59364295802.000000,,50282776965.000000,68224468.000000,38194031.000000,107395382.000000,26837558176.000000,136698444824.000000,,,30360000.000000,,,1013392540.000000,81168000.000000,1124920540.000000,,130000000000.000000,22573334667.000000,-17462235633.000000,462425250.000000,135573524284.000000,136698444824.000000,1300000000.000000
12M 2020,,63385213521.000000,,76499758007.000000,,992435527.000000,279387566.000000,165302677.000000,141322097298.000000,,,28600000.000000,,,485962897.000000,624213000.000000,1138775897.000000,,130000000000.000000,22573334667.000000,-12564386066.000000,174372800.000000,140183321401.000000,141322097298.000000,1300000000.000000
12M 2021,,70887596457.000000,,81480116015.000000,,857064126.000000,324887965.000000,163910665.000000,153713575228.000000,,,,2000000.000000,,1148534297.000000,3146032000.000000,4296566297.000000,,130000000000.000000,22573334667.000000,-3364467956.000000,208142220.000000,149417008931.000000,153713575228.000000,1300000000.000000
12M 2022,,117217488577.000000,,43923964336.000000,100000000.000000,723635008.000000,,891730268.000000,162856818189.000000,,,,39916000.000000,1098189034.000000,159012636.000000,4150158000.000000,5447275670.000000,,130000000000.000000,22573334667.000000,4947936612.000000,-111728760.000000,157409542519.000000,162856818189.000000,1300000000.000000
12M 2023,,122079290828.000000,,40747174608.000000,477868555.000000,590779723.000000,,798114480.000000,164693228194.000000,,,,37540000.000000,413271910.000000,845896769.000000,2062902961.000000,3359611640.000000,,130000000000.000000,22573334667.000000,8823715262.000000,-63433375.000000,161333616554.000000,164693228194.000000,1300000000.000000
12M 2024,,82982444968.000000,,91530710196.000000,,460695598.000000,,1549693404.000000,176523544166.000000,,,,33855000.000000,1089616954.000000,1387356990.000000,1445546175.000000,3956375119.000000,,130000000000.000000,22573334667.000000,19858940868.000000,134893512.000000,172567169047.000000,176523544166.000000,1300000000.000000
