Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2018,1.00 B,2.36,0.00,0.00,0.60 B,2.38%,2.38%,1.19%,
12M 2019,1.30 B,4.58,24.02,14.63,7.52 B,4.35%,4.39%,6.36%,
12M 2020,1.30 B,3.77,30.50,15.55,6.71 B,3.47%,3.49%,4.44%,
12M 2021,1.30 B,7.08,87.57,66.43,9.22 B,5.99%,6.16%,5.74%,
12M 2022,1.30 B,6.39,77.93,59.08,3.30 B,5.10%,5.28%,1.61%,
12M 2023,1.30 B,2.98,89.93,36.48,4.82 B,2.35%,2.40%,2.49%,
12M 2024,1.30 B,8.49,38.16,28.99,10.86 B,6.25%,6.39%,5.93%,
