Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Pada Entitas Asosiasi,Aset Tetap,Aset Pajak Tangguhan,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Utang Sewa Pembiayaan,Utang Pembiayaan Konsumen,Utang Bank,Liabilitas Keuangan Lainnya,Pihak Ketiga,Pihak Berelasi,Total Liabilitas Keuangan Lainnya,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Liabilitas Keuangan Lainnya,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2019,,,601177392.000000,,13060053762.000000,13060053762.000000,,13060053762.000000,69121725.000000,69121725.000000,,69121725.000000,13964273025.000000,799524271.000000,28494150175.000000,,,9440018870.000000,564127225.000000,,,10004146095.000000,38498296270.000000,,,69165223576.000000,,2240160000.000000,,31423741030.000000,,31423741030.000000,,,33462410880.000000,33462410880.000000,55000000.000000,658795215.000000,246725569.000000,,,,,,,1078390882.000000,69165223576.000000,180208089990.000000,349792711.000000,122669204680.000000,,23324881587.000000,,,23324881587.000000,,,33864211012.000000,180208089990.000000,249373313566.000000,,26000000000.000000,,-236875017296.000000,,-236875017296.000000,-236875017296.000000,,,-210875017296.000000,38498296270.000000,1040000.000000
12M 2020,,,45206615029.000000,,22010922197.000000,22010922197.000000,,22010922197.000000,207995905.000000,207995905.000000,,207995905.000000,17789445481.000000,8829450457.000000,94044429069.000000,,,11140132638.000000,831915484.000000,,44184653.000000,12016232775.000000,106060661844.000000,,,117827755363.000000,,35616543061.000000,,31963766302.000000,,31963766302.000000,,,24777523419.000000,24777523419.000000,203707783.000000,16841722230.000000,278240330.000000,,,,,,,8146252238.000000,117827755363.000000,146969418751.000000,71552381.000000,89041513091.000000,,23324881587.000000,,,23324881587.000000,,,34531471692.000000,146969418751.000000,264797174114.000000,,26000000000.000000,,-184736512270.000000,,-184736512270.000000,-184736512270.000000,,,-158736512270.000000,106060661844.000000,1040000.000000
12M 2021,,,2751998794.000000,,47308173172.000000,47308173172.000000,,47308173172.000000,41188797.000000,41188797.000000,,41188797.000000,60623383050.000000,7169113860.000000,117893857673.000000,,,49201170073.000000,691014782.000000,,114046336317.000000,163938521172.000000,281832378845.000000,,,234895312977.000000,,35781813101.000000,,63624032375.000000,,63624032375.000000,,,52029999569.000000,52029999569.000000,28016130774.000000,18781002796.000000,71552382.000000,,,,,,,36590781980.000000,234895312977.000000,111706083646.000000,,53672734176.000000,,23297510127.000000,,,23297510127.000000,,,34735839343.000000,111706083646.000000,346601396623.000000,,26000000000.000000,,-90769017778.000000,,,-90769017778.000000,,,-64769017778.000000,281832378845.000000,1040000.000000
12M 2022,,,3728834343.000000,,99070776397.000000,99070776397.000000,,99070776397.000000,22475218.000000,22475218.000000,,22475218.000000,33638140265.000000,17246628366.000000,153706854589.000000,,,131768344552.000000,3182177032.000000,,14994084434.000000,149944606018.000000,303651460607.000000,,,200223857799.000000,,,,73745628862.000000,,73745628862.000000,,,25786478361.000000,25786478361.000000,14128041662.000000,11283960694.000000,,,39066062832.000000,,,,,36213685388.000000,200223857799.000000,60459576417.000000,,36086057805.000000,22788670239.000000,,,,,,,1584848373.000000,60459576417.000000,260683434216.000000,,45200000000.000000,,-69968325408.000000,,,-69968325408.000000,,67736351799.000000,42968026391.000000,303651460607.000000,1808000.000000
12M 2023,,,6544979628.000000,,51241105715.000000,44645979140.000000,6595126575.000000,51241105715.000000,63833152.000000,63833152.000000,,63833152.000000,27669726124.000000,40041089133.000000,125560733752.000000,,,127885985279.000000,6389958031.000000,,2431480964.000000,136707424274.000000,262268158026.000000,,,55031318962.000000,,,,12773528124.000000,27036713.000000,12800564837.000000,,,4953820038.000000,4953820038.000000,3374701325.000000,6943642908.000000,,,16881196762.000000,,,,,10077393092.000000,55031318962.000000,37556442022.000000,,35646717104.000000,,,,,,,,1909724918.000000,37556442022.000000,92587760984.000000,,56500082730.000000,98424039845.000000,-48289266644.000000,,,-48289266644.000000,,63045541111.000000,169680397042.000000,262268158026.000000,5650008273.000000
12M 2024,,,877527359.000000,,26764483150.000000,22927373050.000000,3837110100.000000,26764483150.000000,305833152.000000,305833152.000000,,305833152.000000,45294673113.000000,26480368378.000000,99722885152.000000,,,122629990439.000000,10220003590.000000,,2515598884.000000,135365592913.000000,235088478065.000000,,,33969395939.000000,,,,13794485381.000000,1860519481.000000,15655004862.000000,,284486038.000000,,284486038.000000,5695380212.000000,2531853283.000000,,500817000.000000,,,,,,9301854544.000000,33969395939.000000,39241563812.000000,,37371707436.000000,,,,,,,,1869856376.000000,39241563812.000000,73210959751.000000,,56500161810.000000,98425146965.000000,-51662474167.000000,,,-51662474167.000000,,58614683706.000000,161877518314.000000,235088478065.000000,5650016181.000000
