Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Penerimaan Bunga,Pembayaran Beban Usaha,Pembayaran Pajak,Pembayaran Kas Untuk Pajak,Penerimaan Restitusi Pajak,Pembayaran Bunga,Pembayaran Operasi Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Aset Tetap - Penjualan,Perolehan Aset Tetap,Perolehan Aset Takberwujud,Perolehan Aset Hak-Guna,Penjualan Penyertaan Saham,Penempatan Uang Muka Pembelian Aset Tetap,"Pengurangan (Penambahan) Atas Investasi Jangka Pendek, Neto",Piutang Kepada Pemegang Saham,Penerimaan Dari Pemegang Saham,Penambahan Penyertaan Saham,Penempatan Investasi Jangka Pendek,Penerimaan Atas Investasi Jangka Pendek,Penjualan Entitas Anak,"Perolehan Entitas Anak, Setelah Dikurangi Kas Dan Setara Kas Yang Diperoleh",Penerimaan Dividen Kas,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Setoran Modal Saham,Pembayaran Utang Lain-Lain,Pembayaran Utang Pemegang Saham,Pembayaran Pihak Berelasi,Peneriman Dari Pihak Berelasi,Penerimaan Penawaran Umum,Kenaikan Tambahan Modal Disetor Melalui Pelaksanaan Waran,Kenaikan Modal Disetor Melalui Pelaksanaan Waran,Penerimaan Utang Lain-Lain,Perolehan Utang Bank,Pembayaran Utang Bank,Pembayaran Dividen Tunai,Pembayaran Biaya Emisi Saham,Pembayaran Dividen Interim,Pembayaran Liabilitas Sewa,Pembayaran Utang Pembiayaan Konsumen,Total Arus Kas Dari Aktivitas Pendanaan,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Dari Entitas Yang Tidak Lagi Dikonsolidasikan,Kas Dan Setara Kas Akhir Periode
12M 2019,7144034807.000000,60066598927.000000,-17997186930.000000,-12160748185.000000,,,-1793318.000000,,,-52772989.000000,-22710062698.000000,7144034807.000000,-1436536322.000000,,-1436536322.000000,,,,,,,,,,,,,,-1436536322.000000,-6896718017.000000,,,-6197632091.000000,,976630000.000000,,,,,,-1500000000.000000,,,,,-175715926.000000,-6896718017.000000,55279506.000000,-1133940026.000000,1735117418.000000,,601177392.000000
12M 2020,59252382747.000000,289682597466.000000,-226767737688.000000,-2864743469.000000,956380565.000000,,-645913665.000000,,,,-1108200462.000000,59252382747.000000,-4406120582.000000,,-4406120582.000000,,,,,,,,,,,,,,-4406120582.000000,-10232787699.000000,,,-7279061851.000000,-400000000.000000,,,,,,,-2287720000.000000,,,,,-266005848.000000,-10232787699.000000,-8036829.000000,44605437637.000000,601177392.000000,,45206615029.000000
12M 2021,120240890999.000000,458178505386.000000,-305731908585.000000,-1758118371.000000,260706323.000000,,-28510437294.000000,,,,-2197856460.000000,120240890999.000000,-126444692541.000000,,-12426429141.000000,,,,,,-114018263400.000000,,,,,,,,-126444692541.000000,-35894789650.000000,,,,,,,,,,,-35616549321.000000,,,,,-278240329.000000,-35894789650.000000,-356025043.000000,-42454616235.000000,45206615029.000000,,2751998794.000000
12M 2022,-52939695763.000000,254102959065.000000,-245865824869.000000,-25465541737.000000,1712464.000000,,,-31308977169.000000,,,-4404023517.000000,-52939695763.000000,88713301651.000000,985000000.000000,-10533033810.000000,-977083867.000000,,,,,99238419328.000000,,,,,,,,88713301651.000000,-34840604023.000000,,,,,,,,,,,-34025933266.000000,,-743118375.000000,,,-71552382.000000,-34840604023.000000,43833684.000000,976835549.000000,2751998794.000000,,3728834343.000000
12M 2023,-71318005228.000000,266894895855.000000,-256921243983.000000,-43459226161.000000,141148829.000000,,,-6455308379.000000,,,-31518271389.000000,-71318005228.000000,7409850560.000000,,-5994702764.000000,-1375290748.000000,,,,,14779844072.000000,,,,,,,,7409850560.000000,66726160598.000000,11300000000.000000,,,,,101700000000.000000,1158220.000000,82730.000000,,,-43741080352.000000,,-2534000000.000000,,,,66726160598.000000,-1860645.000000,2816145285.000000,3728834343.000000,,6544979628.000000
12M 2024,16069654585.000000,186106389167.000000,-121716672858.000000,-31666941743.000000,5913872.000000,,,-4675604494.000000,2343776561.000000,-4668750.000000,-14322537170.000000,16069654585.000000,-4154305204.000000,155000000.000000,-4079598204.000000,,,,-229707000.000000,,,,,,,,,,-4154305204.000000,-17584243668.000000,,,,,,,1107120.000000,79080.000000,,,-17464753618.000000,,,,,-120676250.000000,-17584243668.000000,1442018.000000,-5667452269.000000,6544979628.000000,,877527359.000000
