Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Pendapatan Keuangan,Beban Keuangan,Keuntungan Atas Penjualan Entitas Anak,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,1057356098304.000000,-820554917152.000000,236801181152.000000,-190649161290.000000,,-99120693779.000000,-91528467511.000000,,-190649161290.000000,46152019862.000000,-31704819400.000000,2100687797.000000,2611027812.000000,88237343.000000,-29514477146.000000,,,-6990295206.000000,-31704819400.000000,14447200462.000000,-12388101023.000000,-3716222934.000000,-8671878089.000000,-12388101023.000000,2059099439.000000,,,2059099439.000000,2059099439.000000,,2059099439.000000,,,,
12M 2009,898945672531.000000,-702304037886.000000,196641634645.000000,-181001789107.000000,,-98240862935.000000,-82760926172.000000,,-181001789107.000000,15639845538.000000,6779678670.000000,14235935653.000000,7905716474.000000,91139036.000000,-36795248809.000000,18752580777.000000,,2589555539.000000,6779678670.000000,22419524208.000000,-10395597840.000000,-7370182508.000000,-3025415332.000000,-10395597840.000000,12023926368.000000,,,12023926368.000000,12023926368.000000,,12023926368.000000,,,,
12M 2010,733000865114.000000,-503381550754.000000,229619314360.000000,-182207928066.000000,,-108645719558.000000,-73562208508.000000,,-182207928066.000000,47411386294.000000,-2630475323.000000,34855895620.000000,-412747459.000000,248047418.000000,-34299584153.000000,,,-3022086749.000000,-2630475323.000000,44780910971.000000,-2803963709.000000,-3128510654.000000,324546945.000000,-2803963709.000000,41976947262.000000,,,41976947262.000000,41976947262.000000,,41976947262.000000,,,,
12M 2011,896933008515.000000,-608910352293.000000,288022656222.000000,-185739553320.000000,,-133680378977.000000,-84916432397.000000,32857258054.000000,-185739553320.000000,102283102902.000000,-32266255701.000000,,,767137809.000000,-33033393510.000000,,,,-32266255701.000000,70016847201.000000,-13301088461.000000,-10935063427.000000,-2366025034.000000,-13301088461.000000,56715758740.000000,,56715758740.000000,56715758740.000000,56647782443.000000,67976297.000000,56715758740.000000,56715758740.000000,56647782443.000000,67976297.000000,56715758740.000000
12M 2012,1009310267345.000000,-639077589119.000000,370232678226.000000,-248633542938.000000,,-237095344810.000000,-44048307020.000000,32510108892.000000,-248633542938.000000,121599135288.000000,-54574277176.000000,,,2809684455.000000,-57383961631.000000,,,,-54574277176.000000,67024858112.000000,-11298949632.000000,-11298949632.000000,,-11298949632.000000,55725908480.000000,,55725908480.000000,55725908480.000000,55647615232.000000,78293248.000000,55725908480.000000,55725908480.000000,55647615232.000000,78293248.000000,55725908480.000000
12M 2013,1273490330003.000000,-781121072482.000000,492369257521.000000,-376202628837.000000,,-327694680652.000000,-66100399536.000000,17592451351.000000,-376202628837.000000,116166628684.000000,-51118715688.000000,,,7388612881.000000,-58507328569.000000,,,,-51118715688.000000,65047912996.000000,-14902225445.000000,-14902225445.000000,,-14902225445.000000,50145687551.000000,,50145687551.000000,50145687551.000000,49226833922.000000,918853629.000000,50145687551.000000,50145687551.000000,49226833922.000000,918853629.000000,50145687551.000000
12M 2014,1437940463601.000000,-852885851258.000000,585054612343.000000,-434626342270.000000,,-385844863991.000000,-80924936237.000000,32143457958.000000,-434626342270.000000,150428270073.000000,-89437866798.000000,,,1318712401.000000,-90756579199.000000,,,,-89437866798.000000,60990403275.000000,-21369155747.000000,,,-21369155747.000000,39621247528.000000,,39621247528.000000,39621247528.000000,40347520732.000000,-726273204.000000,39621247528.000000,39621247528.000000,40347520732.000000,-726273204.000000,39621247528.000000
12M 2015,1228726626567.000000,-825425833652.000000,403300792915.000000,-321296191813.000000,,-428455494431.000000,-94898673262.000000,202057975880.000000,-321296191813.000000,82004601102.000000,-118240973322.000000,,,17781152536.000000,-136743111709.000000,,720985851.000000,,-118240973322.000000,-36236372220.000000,-26791388155.000000,,,-26791388155.000000,-63027760375.000000,8258998500.000000,-54768761875.000000,-63027760375.000000,-58424132673.000000,-4603627702.000000,-63027760375.000000,-54768761875.000000,-50165134173.000000,-4603627702.000000,-54768761875.000000
12M 2016,891421165094.000000,-618155090319.000000,273266074775.000000,-1034582058454.000000,,-626601357439.000000,-117214219796.000000,-290766481219.000000,-1034582058454.000000,-761315983679.000000,-112262099687.000000,,,3687644642.000000,-116244272050.000000,,294527721.000000,,-112262099687.000000,-873578083366.000000,234000484626.000000,,234000484626.000000,234000484626.000000,-639577598740.000000,856919250.000000,-638720679490.000000,-639577598740.000000,-636483619623.000000,-3093979117.000000,-639577598740.000000,-638720679490.000000,-638720679490.000000,,-638720679490.000000
12M 2017,224602172163.000000,-155353421628.000000,69248750535.000000,-911009904941.000000,,-293708598353.000000,-85655257520.000000,-531646049068.000000,-911009904941.000000,-841761154406.000000,-109958586427.000000,,,808850999.000000,-95371989834.000000,,-15395447592.000000,,-109958586427.000000,-951719740833.000000,-110747530634.000000,,-110747530634.000000,-110747530634.000000,-1062467271467.000000,1829030500.000000,-1060638240967.000000,-1062467271467.000000,-1057926237090.000000,-4541034377.000000,-1062467271467.000000,-1060638240967.000000,-1060638240967.000000,,-1060638240967.000000
