Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Beban Operasi,"Gaji, Upah Dan Kesejahteraan Karyawan",Penerimaan Sewa,Penerimaan Bunga,Penerimaan Pajak,Pembayaran Pajak,Beban Bunga,Lain-Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Penerimaan Dari Penjualan Aset Yang Dimiliki Untuk Dijual,Penerimaan Dari Piutang Lain-Lain Pihak Ketiga,Penurunan Piutang Pihak - Pihak Berelasi,Uang Muka Untuk Perolehan Aset Tetap,Perolehan Aset Tetap,Penambahan Aset Tidak Berwujud,Kenaikan Piutang Hubungan Istimewa,Penurunan Deposito Berjangka,Pembayaran Uang Muka Pembelian Peralatan,Penambahan Kas Yang Dibatasi Penggunaannya,Penambahan Penyertaan Saham,Penjualan Entitas Anak,Penambahan Biaya Renovasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Hutang Pihak - Pihak Berelasi,Penerimaan Dari Pemegang Saham,Pembayaran Dari Pemegang Saham,Perolehan Pinjaman Jangka Pendek Dan Panjang,Pembayaran Pinjaman Jangka Pendek Dan Panjang,Pembayaran Dividen,Pembayaran Utang Sewa Pembiayaan,Penurunan Utang Lain-Lain Ke Pihak Berelasi,Penerimaan Dari Pinjaman Non-Bank Jangka Pendek,Penerimaan Dari Utang Lain-Lain Pihak Ketiga,Penerimaan Dari Pinjaman Non-Bank Jangka Panjang,Perolehan Pinjaman Jangka Panjang Non-Bank Pihak Ketiga,Perolehan Pinjaman Jangka Pendek Non-Bank Pihak Berelasi,Perolehan Pinjaman Jangka Panjang Non-Bank Pihak Berelasi,Pembayaran Pinjaman Jangka Pendek Non-Bank,Pembayaran Pinjaman Jangka Pendek Non-Bank Pihak Ketiga,Pembayaran Pinjaman Jangka Panjang Non-Bank,Biaya Penerbitan Pinjaman Jangka Panjang Non-Bank,Perolehan Atas Kepentingan Non-Pengendali,Pembayaran Liabilitas Sewa,Pembayaran Utang Pembiayaan Konsumen,Penerimaan Dari Pihak Berelasi,Penerimaan Dari Penerbitan Saham Baru,Pembayaran Biaya Emisi Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,64835813522.000000,1069799994277.000000,-796624536319.000000,-44846206522.000000,-118540665234.000000,,88237343.000000,,-8732175906.000000,-27466297679.000000,-8842536438.000000,64835813522.000000,-6597300422.000000,3134586415.000000,,,,,-9492912512.000000,,-238974325.000000,,,,,,,-6597300422.000000,-69614714890.000000,,,,286129804780.000000,-347843195190.000000,,-362213726.000000,,,,,,,,,,,,,,-7539110754.000000,,,,-69614714890.000000,-11376201790.000000,25481063721.000000,,14104861931.000000
12M 2009,-72008896572.000000,917726180568.000000,-673783217605.000000,-80008895641.000000,-102554649326.000000,,91193036.000000,,-7056593087.000000,-30300256035.000000,-96122658482.000000,-72008896572.000000,35022698186.000000,18978071737.000000,,,,,-20895500982.000000,,36940127431.000000,,,,,,,35022698186.000000,32617899946.000000,,,,206574175596.000000,-165107317967.000000,,-67130000.000000,,,,,,,,,,,,,,-8781827683.000000,,,,32617899946.000000,-4368298440.000000,14104861929.000000,,9736563489.000000
12M 2010,20141020970.000000,716096619885.000000,-494491169096.000000,-100456479603.000000,-74312229815.000000,,248047412.000000,2532308518.000000,-6027890463.000000,-23430908623.000000,-17277245.000000,20141020970.000000,-13255507241.000000,43443376055.000000,,,,,-56698883296.000000,,,,,,,,,-13255507241.000000,909257872.000000,,,,335547057078.000000,-324269944806.000000,,-867892810.000000,,,,,,,,,,,,,,-9499961590.000000,,,,909257872.000000,7794771601.000000,9736563489.000000,-30762138.000000,17500572952.000000
12M 2011,-50452241257.000000,867432634814.000000,-614251131930.000000,-159282084150.000000,-82015511187.000000,,445424434.000000,7960691792.000000,-44275317168.000000,-12789985618.000000,-13676962244.000000,-50452241257.000000,-54739320089.000000,33693118330.000000,,,,,-88432438419.000000,,,,,,,,,-54739320089.000000,162577109523.000000,,,,354774594187.000000,-172502016269.000000,-3017826876.000000,-7200790034.000000,,,,,,,,,,,,,,-9476851485.000000,,,,162577109523.000000,57385548177.000000,17500572952.000000,10509924.000000,74896631053.000000
12M 2012,47687250223.000000,1049322221875.000000,-640038823820.000000,-210254964182.000000,-98306982401.000000,25296712610.000000,1853498153.000000,,-63487957340.000000,-16493149431.000000,-203305241.000000,47687250223.000000,-410506529232.000000,3908028810.000000,,,,,-131204661399.000000,,,-124000000000.000000,-21042800975.000000,,,,-138167095668.000000,-410506529232.000000,559354969619.000000,1000000000.000000,,,426254435624.000000,-359484043795.000000,-3380352143.000000,-14093885154.000000,,,,,,,,,,,,,,-5982872442.000000,,527849769150.000000,-12808081621.000000,559354969619.000000,196535690610.000000,74896631053.000000,1638127100.000000,273070448763.000000
12M 2013,34778131109.000000,1289462803141.000000,-824790602351.000000,-247262316115.000000,-151974386780.000000,27004208618.000000,7388612881.000000,,-51778623998.000000,-11103256645.000000,-2168307642.000000,34778131109.000000,-288734016957.000000,633491453.000000,,,,,-364201647490.000000,,,124000000000.000000,-21213808745.000000,,,,-27952052175.000000,-288734016957.000000,124055445540.000000,-1000000000.000000,,,336055419690.000000,-175446504079.000000,-14715811745.000000,-17191639540.000000,,,,,,,,,,,,,,-3646018786.000000,,,,124055445540.000000,-129900440308.000000,273070448763.000000,2771494181.000000,145941502636.000000
12M 2014,21592688812.000000,1411280431586.000000,-953036564396.000000,-186954335792.000000,-169596023874.000000,23387865976.000000,1190843549.000000,,-91278127571.000000,-12560793227.000000,-840607439.000000,21592688812.000000,-527943537347.000000,180000000.000000,,,,,-435639359332.000000,,,-50000000000.000000,-36201891569.000000,-2431560034.000000,,,-3850726412.000000,-527943537347.000000,407481483301.000000,1040810600.000000,,,483352240905.000000,-338758043378.000000,-8317632726.000000,-14599360752.000000,,,,,,,,,,,,,,-1760714558.000000,,286958328840.000000,-434145630.000000,407481483301.000000,-98869365234.000000,133627074869.000000,224041287.000000,34981750922.000000
12M 2015,253418917186.000000,1244758665480.000000,-673376618994.000000,-169642478631.000000,-175262264388.000000,15408963652.000000,4787340967.000000,,-115221128568.000000,-38897762327.000000,160864199995.000000,253418917186.000000,-362587754363.000000,9941083905.000000,,,,-11658018298.000000,-337067931189.000000,,,,,6197111219.000000,-30000000000.000000,,,-362587754363.000000,-14101292419.000000,-474467865.000000,,,,,,-12653278492.000000,,,,,,,,,,,,,,-973546062.000000,,,,-14101292419.000000,-5084258125.000000,34981750922.000000,752700064.000000,30650192861.000000
12M 2016,-81197970364.000000,969829372916.000000,-585036908379.000000,-194289521090.000000,-155199992498.000000,,3687644642.000000,,-99297027322.000000,-20891538633.000000,,-81197970364.000000,73429091554.000000,106853506151.000000,,,,,-26845456332.000000,-14853353711.000000,,,,8274395446.000000,,,,73429091554.000000,203555650420.000000,,,,,,,-18005049703.000000,,,,,120000000000.000000,81800271064.000000,24974877000.000000,,-490886981.000000,-4723560960.000000,,,,,,,,203555650420.000000,-13604321318.000000,30650192861.000000,,17045871543.000000
12M 2017,-98973639290.000000,235366182756.000000,-130217245079.000000,-96747153052.000000,-65501486290.000000,,808850999.000000,,-36823122659.000000,-5859665965.000000,,-98973639290.000000,206988731416.000000,268844473857.000000,,,,,-60565967898.000000,-1521051904.000000,,,,274481136.000000,,-43203775.000000,,206988731416.000000,108400074201.000000,,119373257461.000000,,,,,-5374686424.000000,,,,,,14829416038.000000,,-18852631649.000000,,-1575281225.000000,,,,,,,,108400074201.000000,-5422015563.000000,17045871543.000000,,11623855980.000000
