Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.50,496.20,0.50,496.20,183 B,56 B,239 B,225 B,99 B
12M 2009,0.44,514.99,0.44,514.99,218 B,32 B,250 B,241 B,59 B
12M 2010,3.77,575.93,3.77,575.93,155 B,113 B,268 B,250 B,245 B
12M 2011,4.57,654.47,4.57,654.47,207 B,250 B,457 B,382 B,353 B
12M 2012,3.22,236.37,3.22,236.37,240 B,298 B,537 B,264 B,558 B
12M 2013,3.13,246.21,3.13,246.21,320 B,372 B,692 B,558 B,289 B
12M 2014,2.31,292.83,2.31,292.83,396 B,433 B,829 B,794 B,255 B
12M 2015,0.54,280.05,0.54,280.05,723 B,240 B,963 B,933 B,(247 B)
12M 2016,0.78,141.10,0.78,141.10,701 B,284 B,986 B,969 B,(695 B)
12M 2017,-0.56,-89.75,-0.56,-89.75,756 B,19 B,776 B,764 B,"(1,071 B)"
12M 2018,-0.62,-80.11,-0.62,-80.11,390 B,399 B,789 B,380 B,(651 B)
12M 2019,-1.16,-43.28,-1.16,-43.28,158 B,402 B,561 B,394 B,(399 B)
12M 2020,-0.71,-70.48,-0.71,-70.48,206 B,350 B,556 B,553 B,(379 B)
12M 2021,-0.93,-53.85,-0.93,-53.85,227 B,291 B,518 B,516 B,(281 B)
12M 2022,-1.17,-42.57,-1.17,-42.57,49 B,383 B,432 B,429 B,(110 B)
12M 2023,-0.15,-41.00,-0.15,-41.00,37 B,381 B,418 B,417 B,(95 B)
12M 2024,-0.17,-40.51,-0.17,-40.51,66 B,290 B,356 B,354 B,(145 B)
