Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Piutang Retensi,Pihak Ketiga,Pihak Berelasi,Total Piutang Retensi,Piutang Pihak Berelasi,Adjustment,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Pada Entitas Asosiasi,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Lembaga Keuangan Lain,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Pinjaman Jangka Pendek,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Lembaga Keuangan Lain,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Adjustment,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2020,,,120711025.000000,7826401044.000000,7826401044.000000,,7826401044.000000,,,,,55317196.000000,55317196.000000,,55317196.000000,19473876076.000000,,34106214.000000,27510411555.000000,,,18430354491.000000,,18430354491.000000,45940766046.000000,,,6614640778.000000,994285940.000000,,395124051.000000,,395124051.000000,77147535.000000,3294898126.000000,,319134539.000000,297408000.000000,1236642587.000000,1853185126.000000,,,6614640778.000000,4335058517.000000,,3037104701.000000,123920000.000000,1020110811.000000,4181135512.000000,153923005.000000,4335058517.000000,10949699295.000000,,42920000000.000000,,-7817202788.000000,,-7817202788.000000,-7817202788.000000,,,-111730461.000000,34991066751.000000,45940766046.000000,5000000.000000
12M 2021,,,2185265058.000000,18072120091.000000,18072120091.000000,,18072120091.000000,,,,,,,,,2927435553.000000,,14297306883.000000,37482127585.000000,,,37528151720.000000,,37528151720.000000,75010279305.000000,,,25873882004.000000,998721723.000000,,12196146308.000000,1990463805.000000,14186610113.000000,5222295327.000000,4116429624.000000,,848815437.000000,120872800.000000,380136980.000000,1349825217.000000,,,25873882004.000000,3083086162.000000,,2188289263.000000,,639973831.000000,2828263094.000000,254823068.000000,3083086162.000000,28956968166.000000,,42920000000.000000,,3247609994.000000,,3247609994.000000,3247609994.000000,,,-114298855.000000,46053311139.000000,75010279305.000000,5000000.000000
12M 2022,,,2368326351.000000,264188748.000000,264188748.000000,,264188748.000000,,,,,10926143028.000000,10926143028.000000,,10926143028.000000,1835175052.000000,,9803964025.000000,25197797204.000000,,7437037112.000000,48078820382.000000,820328000.000000,56336185494.000000,81533982698.000000,,,9286038008.000000,994330189.000000,,5648459712.000000,,5648459712.000000,2341017254.000000,,,,,302230853.000000,302230853.000000,,,9286038008.000000,324621196.000000,,,,,,324621196.000000,324621196.000000,9610659204.000000,,42920000000.000000,,22637493658.000000,,22637493658.000000,22637493658.000000,,,-155032508.000000,65402461150.000000,75013120354.000000,5000000.000000
12M 2023,,,28769409874.000000,5058796734.000000,,,5058796734.000000,50010000.000000,,50010000.000000,50010000.000000,19097098354.000000,19097098354.000000,,19097098354.000000,,,94018841334.000000,146994156296.000000,,10708245353.000000,57127429228.000000,687270137.000000,68522944718.000000,215517101014.000000,,,43683732053.000000,,,22134052708.000000,770000000.000000,22904052708.000000,16479007883.000000,3440893289.000000,,,482350395.000000,377427778.000000,859778173.000000,,,43683732053.000000,564429933.000000,,,228539311.000000,,228539311.000000,335890622.000000,564429933.000000,44248161986.000000,,71533325000.000000,69630418610.000000,30050792345.000000,10730000000.000000,19320792345.000000,30050792345.000000,,,54403073.000000,171268939028.000000,215517101014.000000,2861333000.000000
12M 2024,,,18511724455.000000,75510038.000000,,,75510038.000000,6845345925.000000,6345345925.000000,500000000.000000,6845345925.000000,8444221411.000000,8444221411.000000,,8444221411.000000,,,114044967567.000000,147921769396.000000,,14625000000.000000,53419243214.000000,1983523657.000000,70027766871.000000,217949536267.000000,,,36281490531.000000,,,29665571249.000000,,29665571249.000000,784046420.000000,3401416412.000000,,,1210478547.000000,384289795.000000,1594768342.000000,500000000.000000,335688108.000000,36281490531.000000,1766641671.000000,,,83640037.000000,1333144752.000000,1416784789.000000,349856882.000000,1766641671.000000,38048132202.000000,,71533325000.000000,69630418610.000000,38560045876.000000,14306665000.000000,24253380876.000000,38560045876.000000,,,177614579.000000,179901404065.000000,217949536267.000000,2861333000.000000
