Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Untuk Beban Usaha,Pembayaran Kepada Karyawan,Pembayaran Beban Operasi Lainnya,Penerimaan Kas Lainnya,Penerimaan Bunga,Pembayaran Bunga,Pembayaran Bunga Atas Liabilitas Sewa,Pembayaran Pajak Penghasilan,Penerimaan Pajak Atas Restitusi,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Piutang Pihak Berelasi,Perolehan Aset Tetap,Perolehan Investasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan (Pembayaran) Utang Bank Jangka Panjang,Penambahan (Pembayaran) Utang Bank Jangka Pendek,Penerimaan (Pembayaran) Pinjaman,Pihak Berelasi,Pihak Ketiga,Total Penerimaan (Pembayaran) Pinjaman,Pembayaran Utang Pembiayaan Konsumen,Investasi Pada Entitas Asosiasi,Tambahan Modal Disetor Dari Penawaran Umum Perdana,Kenaikan Modal Saham,Pembayaran Biaya Emisi Saham,Pembayaran Utang Lembaga Keuangan,Pembayaran Liabilitas Sewa,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2020,1640395177.000000,10866478091.000000,-6734029852.000000,-585145805.000000,-931947732.000000,,,1538654.000000,-288339938.000000,-272335741.000000,-415822500.000000,,,1640395177.000000,-4544928901.000000,599494735.000000,-5144423636.000000,,-4544928901.000000,2933949588.000000,2156239240.000000,994285940.000000,,,,,,,,,,-60997592.000000,-155578000.000000,,2933949588.000000,29415864.000000,,91295161.000000,120711025.000000
12M 2021,8754146813.000000,135823906412.000000,-109767586453.000000,-7062465659.000000,-1237698140.000000,,,16166468.000000,-454868515.000000,-265168524.000000,-8298138776.000000,,,8754146813.000000,-4837796236.000000,16604222159.000000,-21442018395.000000,,-4837796236.000000,-1851796544.000000,-319134540.000000,4435783.000000,,,,,,,,,,-300455200.000000,-1236642587.000000,,-1851796544.000000,2064554033.000000,,120711025.000000,2185265058.000000
12M 2022,21814012246.000000,205437961573.000000,-169827170839.000000,-1439019700.000000,-2801334208.000000,,12827219.000000,33785953.000000,-513525307.000000,-119863020.000000,-8969649425.000000,,,21814012246.000000,-20100849931.000000,1102955551.000000,-13503805482.000000,-7700000000.000000,-20100849931.000000,-1530101022.000000,-880719829.000000,-4391534.000000,,,,,,,,,,-264852679.000000,-380136980.000000,,-1530101022.000000,183061293.000000,,2185265058.000000,2368326351.000000
12M 2023,-38046568942.000000,100131120250.000000,-118749081868.000000,-9327743156.000000,-4306764983.000000,-8998362.000000,2860532.000000,6400891.000000,-124414991.000000,,-5669947255.000000,,,-38046568942.000000,-15019996397.000000,,-15019996397.000000,,-15019996397.000000,79467648862.000000,-3150715060.000000,,,1835175052.000000,-50010000.000000,1785165052.000000,,-5600000000.000000,69630418610.000000,17883325000.000000,,-742801762.000000,-337742978.000000,,79467648862.000000,26401083523.000000,,2368326351.000000,28769409874.000000
12M 2024,-90698640.000000,71791930893.000000,-61234001315.000000,-5135126941.000000,-4016178954.000000,-12457096.000000,,361904967.000000,-352584601.000000,,-1494185593.000000,,,-90698640.000000,-60032512.000000,,-60032512.000000,,-60032512.000000,-10106954267.000000,,,,-6345345925.000000,500000000.000000,-5845345925.000000,,-1325000000.000000,,,,-2112771122.000000,-823837220.000000,,-10106954267.000000,-10257685419.000000,,28769409874.000000,18511724455.000000
