Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2020,36374649943.000000,-24227620406.000000,12147029537.000000,-10929969521.000000,-2947192351.000000,-7982777170.000000,-10929969521.000000,1217060016.000000,1514056159.000000,1514056159.000000,1514056159.000000,2731116175.000000,-37192507.000000,2693923668.000000,2693923668.000000,-29328000.000000,2664595668.000000,2693923668.000000,2693923668.000000,,2693923668.000000,2664595668.000000,2664595668.000000,,2664595668.000000
12M 2021,30960690602.000000,-19421948739.000000,11538741863.000000,-8809200060.000000,-2241264415.000000,-6567935645.000000,-8809200060.000000,2729541803.000000,1568913363.000000,1568913363.000000,1568913363.000000,4298455166.000000,-33057404.000000,4265397762.000000,4265397762.000000,76911900.000000,4342309662.000000,4265397762.000000,4265397762.000000,,4265397762.000000,4342308662.000000,4342308662.000000,,4342308662.000000
12M 2022,28883803740.000000,-18207539651.000000,10676264089.000000,-9689914749.000000,-2116822557.000000,-7573092192.000000,-9689914749.000000,986349340.000000,754299379.000000,754299379.000000,754299379.000000,1740648719.000000,-944251.000000,1739704468.000000,1739704468.000000,137417580.000000,1877122048.000000,1739704468.000000,1739704468.000000,,1739704468.000000,1877122048.000000,1877122048.000000,,1877122048.000000
12M 2023,47963695000.000000,-33217022198.000000,14746672802.000000,-12947689792.000000,-4583345625.000000,-8364344167.000000,-12947689792.000000,1798983010.000000,1881688066.000000,1881688066.000000,1881688066.000000,3680671076.000000,-247646503.000000,3433024573.000000,3433024573.000000,-224472300.000000,3208552273.000000,3433024573.000000,3433024573.000000,,3433024573.000000,3208552273.000000,3208552273.000000,,3208552273.000000
12M 2024,65018425000.000000,-45448641175.000000,19569783825.000000,-18771400086.000000,-4709138446.000000,-14062261640.000000,-18771400086.000000,798383739.000000,5055712096.000000,5055712096.000000,5055712096.000000,5854095835.000000,-67723209.000000,5786372626.000000,5786372626.000000,48430980.000000,5834803606.000000,5786372626.000000,5786372626.000000,,5786372626.000000,5834803606.000000,5834803606.000000,,5834803606.000000
