Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Persediaan,Tanah Untuk Dikembangkan,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Others,Total Utang Pajak,Beban Akrual,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Bank,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2020,,,9533592713.000000,5626057500.000000,5626057500.000000,5626057500.000000,81314627.000000,81314627.000000,81314627.000000,65841940459.000000,190213300.000000,81273118599.000000,,30738535051.000000,89994920751.000000,2807762154.000000,103232800.000000,457645853.000000,124102096609.000000,205375215208.000000,,,69799845244.000000,,984094501.000000,984094501.000000,,26180690693.000000,1468384216.000000,27649074909.000000,,119459241.000000,119459241.000000,11669452086.000000,,20340000000.000000,20340000000.000000,9037764507.000000,69799845244.000000,105461156258.000000,,,,,,,25879157997.000000,25879157997.000000,79581998261.000000,105461156258.000000,175261001502.000000,,30000000000.000000,,,114213706.000000,30114213706.000000,205375215208.000000,30000.000000
12M 2021,,,16068640181.000000,5142585000.000000,5142585000.000000,5142585000.000000,916893296.000000,916893296.000000,916893296.000000,87971508689.000000,181100000.000000,110280727166.000000,,41345585030.000000,123166589924.000000,2289666368.000000,111451120.000000,147999017.000000,167061291459.000000,277342018625.000000,,,66663899297.000000,,132850000.000000,132850000.000000,,19864122226.000000,1408227374.000000,21272349600.000000,,188348024.000000,188348024.000000,23374816607.000000,,16541267749.000000,16541267749.000000,5154267317.000000,66663899297.000000,160221595960.000000,,,,48306304475.000000,48306304475.000000,,26212362773.000000,26212362773.000000,85702928712.000000,160221595960.000000,226885495257.000000,,30000000000.000000,,,20456523368.000000,50456523368.000000,277342018625.000000,30000.000000
12M 2022,,,7761536872.000000,4679578500.000000,4679578500.000000,4679578500.000000,7780371954.000000,7780371954.000000,7780371954.000000,107197509554.000000,70856321.000000,127489853201.000000,,46489141433.000000,217227655694.000000,2221193383.000000,116068480.000000,57774311.000000,266111833301.000000,393601686502.000000,,,87781065195.000000,,3715129470.000000,3715129470.000000,,,1292656529.000000,1292656529.000000,,296487905.000000,296487905.000000,37550577173.000000,,41836517607.000000,41836517607.000000,3089696511.000000,87781065195.000000,223484113891.000000,,,,126838464924.000000,126838464924.000000,,,,96645648967.000000,223484113891.000000,311265179086.000000,,40916000000.000000,56084000000.000000,,-14663492584.000000,82336507416.000000,393601686502.000000,40916.000000
12M 2023,,,33098282486.000000,3286598725.000000,3286598725.000000,3286598725.000000,5067544750.000000,5067544750.000000,5067544750.000000,120966124135.000000,873322092.000000,163291872188.000000,,49458668055.000000,261265170061.000000,1750310835.000000,216502220.000000,,312690651171.000000,475982523359.000000,,,49254955504.000000,,1666466057.000000,1666466057.000000,,,9392533947.000000,9392533947.000000,,482010171.000000,482010171.000000,5214908016.000000,,28095000000.000000,28095000000.000000,4404037313.000000,49254955504.000000,42260483501.000000,,,33722382501.000000,,33722382501.000000,,7554000000.000000,7554000000.000000,984101000.000000,42260483501.000000,91515439005.000000,,147514413480.000000,248407611185.000000,,-11454940311.000000,384467084354.000000,475982523359.000000,7375720674.000000
12M 2024,,,6880665400.000000,10939250645.000000,10939250645.000000,10939250645.000000,84529200.000000,84529200.000000,84529200.000000,116833334793.000000,297183046.000000,135034963084.000000,,60398791987.000000,272054797732.000000,1159068481.000000,509943283.000000,,334122601483.000000,469157564567.000000,,,35024913021.000000,,1543110681.000000,1543110681.000000,,,2500000000.000000,2500000000.000000,,1545117100.000000,1545117100.000000,1881895561.000000,,22209442982.000000,22209442982.000000,5345346697.000000,35024913021.000000,43830763586.000000,,,33722382501.000000,7084272067.000000,40806654568.000000,,1735807018.000000,1735807018.000000,1288302000.000000,43830763586.000000,78855676607.000000,,147514413480.000000,248407611185.000000,,-5620136708.000000,390301887957.000000,469157564564.000000,7375720674.000000
