Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penerimaan Dari Aktivitas Operasi Lainnya,Pembayaran Kas Untuk:,Direksi Dan Karyawan,Kontraktor Dan Pemasok,Aktivitas Operasi Lainnya,Total Pembayaran Kas Untuk:,Penerimaan Bunga,Pembayaran Bunga,Pembayaran Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penambahan Tanah Untuk Dikembangkan,Perolehan Aset Tetap,Penjualan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Penawaran Umum Perdana Saham,Pembayaran Biaya Emisi Saham,Penerimaan Utang Bank,Pembayaran Utang Bank,Penerimaan Pinjaman Pemegang Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Pada Awal Periode,Kas Dan Bank Pada Akhir Periode
12M 2020,7985550392.000000,39646447950.000000,1750289072.000000,,-4935706534.000000,-24383915302.000000,-3855331879.000000,-33174953715.000000,39372476.000000,-275605391.000000,,7985550392.000000,-21292371828.000000,-21078080675.000000,-93303000.000000,-120988153.000000,-21292371828.000000,17504701544.000000,,,2850000000.000000,-11617055167.000000,26271756711.000000,17504701544.000000,4197880108.000000,6335712605.000000,10533592713.000000
12M 2021,690523668.000000,27560665912.000000,1714289180.000000,,-4497678426.000000,-20462084092.000000,-3511616819.000000,-28471379337.000000,55015370.000000,-168067457.000000,,690523668.000000,-6456954709.000000,-6729706645.000000,-36894900.000000,309646836.000000,-6456954709.000000,12301478509.000000,,,4700000000.000000,-8165527475.000000,15767005984.000000,12301478509.000000,6535047468.000000,9533592713.000000,16068640181.000000
12M 2022,844651249.000000,27282239434.000000,836524445.000000,,-5164244988.000000,-17770075489.000000,-4216664578.000000,-27150985055.000000,33731216.000000,-115956281.000000,-40902510.000000,844651249.000000,-29260667672.000000,-28848517278.000000,-502375100.000000,90224706.000000,-29260667672.000000,20108913114.000000,,,8000000000.000000,-8917112915.000000,21026026029.000000,20108913114.000000,-8307103309.000000,16068640181.000000,7761536872.000000
12M 2023,-451395690.000000,50671015577.000000,1458245020.000000,,-5600981137.000000,-39257247734.000000,-7958161872.000000,-52816390743.000000,469042482.000000,,-233308026.000000,-451395690.000000,-170859884787.000000,-170719451992.000000,-140432795.000000,,-170859884787.000000,196648026091.000000,207000000000.000000,-4164456302.000000,39000000000.000000,-45187517607.000000,,196648026091.000000,25336745614.000000,7761536872.000000,33098282486.000000
12M 2024,-9217106542.000000,58307082464.000000,2194730458.000000,,-10961547210.000000,-43998330422.000000,-14733705206.000000,-69693582838.000000,170661422.000000,,-195998048.000000,-9217106542.000000,-5296760544.000000,-5276773544.000000,-19987000.000000,,-5296760544.000000,-11703750000.000000,,,18096000000.000000,-29799750000.000000,,-11703750000.000000,-26217617086.000000,33098282486.000000,6880665400.000000
